wad scarce seek better 44
war another great battle 41
war became more bitter 92
war became more clearly 45
war became more common 47
war became more costly 47
war became more fierce 81
war became more languid 43
war became more likely 186
war became more obvious 56
war became more serious 199
war became more violent 58
war before pearl harbor 211
war caused great damage 40
war clouds grew darker 143
war clouds over europe 585
war clouds were already 171
war clouds were gathering 3478
war clouds were hovering 173
war effort even before 56
war gathering over europe 41
war loomed ever closer 72
war loomed ever larger 100
war loomed over europe 55
war orders from abroad 197
war orders from europe 251
war orders were placed 105
war passed over before 92
war raises many strange 57
war return from france 41
war seemed less likely 53
war seemed more likely 110
war seemed more remote 60
war seemed most likely 51
war seemed very remote 82
war should come before 131
war should have become 44
war should have broken 147
war should have caused 49
war should have lasted 43
war should have passed 44
war should have taught 257
war should last another 63
war twelve years before 86
war twenty years before 109
war twenty years earlier 191
war without ranging fathers 54
war without such changes 46
war without their assent 88
was absent from almost 44
was absent from attica 49
was absent from berlin 735
was absent from boston 291
was absent from canada 108
was absent from church 290
was absent from dinner 142
was absent from dublin 214
was absent from earlier 223
was absent from england 1997
was absent from europe 114
was absent from france 307
was absent from geneva 68
was absent from lisbon 70
was absent from london 1431
was absent from madras 46
was absent from madrid 77
was absent from meetings 63
was absent from mexico 80
was absent from moscow 162
was absent from naples 52
was absent from normal 72
was absent from office 62
was absent from ottawa 76
was absent from oxford 161
was absent from parade 54
was absent from prague 87
was absent from public 141
was absent from school 5492
was absent from sydney 50
was absent from venice 154
was absent from vienna 195
was absent last winter 53
was absent some little 63
was absent some twenty 67
was across lake ladoga 54
was across open ground 53
was active even before 65
was active from around 75
was active just before 61
was afraid coming before 50
was afraid lest someone 49
was afraid lest something 94
was afraid lest william 68
was afraid mark antony 49
was afraid your letter 61
was agreed there should 357
was agreed upon amongst 51
was agreed upon before 988
was agreed upon earlier 132
was agreed upon except 71
was agreed upon instead 40
was agreed upon should 68
was agreed upon through 137
was agreed upon without 277
was almost angry enough 108
was almost bald except 50
was almost bare except 125
was almost bent double 1290
was almost cold enough 91
was almost dark already 93
was almost dark before 1392
was almost dark enough 121
was almost dark except 81
was almost dark inside 550
was almost dawn before 1359
was almost deep enough 92
was almost done before 45
was almost down before 64
was almost down behind 45
was almost dusk before 209
