we act upon assumptions 45
we add more information 78
we all came downstairs 140
we all drew pleasurable 47
we all feel vulnerable 53
we all felt completely 41
we all have assumptions 63
we all have confidence 298
we all have difficulty 196
we all have discovered 70
we all have essentially 50
we all have experience 763
we all have individual 227
we all have limitations 184
we all have obligations 112
we all have particular 55
we all have potentially 76
we all have prejudices 186
we all have reservoirs 40
we all have shortcomings 74
we all have sufficient 69
we all have tremendous 53
we all have unconscious 60
we all heard distinctly 40
we all just armadillos 78
we all knew beforehand 148
we all know beforehand 118
we all make assumptions 119
we all make sacrifices 80
we all must contribute 57
we all must eventually 130
we all must experience 135
we all must ultimately 65
we all must understand 171
we all need assistance 52
we all need information 41
we all such integrated 42
we all talk shakespeare 145
we all three absolutely 59
we all three dismounted 49
we all went downstairs 866
we all went immediately 43
we all were accustomed 70
we all were experiencing 58
we all were interested 133
we all will eventually 81
we all will experience 132
we and other researchers 394
we any more successful 53
we are able absolutely 42
we are able accurately 154
we are able adequately 129
we are able completely 64
we are able consciously 80
we are able definitely 126
we are able distinctly 127
we are able immediately 163
we are able indirectly 41
we are able positively 51
we are also accustomed 235
we are also acquainted 316
we are also admonished 129
we are also completely 62
we are also conditioned 60
we are also confronted 1142
we are also constantly 335
we are also constructing 63
we are also contributing 95
we are also determined 338
we are also encountering 51
we are also encouraged 623
we are also establishing 64
we are also experiencing 404
we are also fascinated 80
we are also frequently 142
we are also frightened 91
we are also identified 42
we are also immediately 64
we are also implicated 58
we are also implicitly 235
we are also indirectly 76
we are also inevitably 67
we are also influenced 448
we are also instructed 208
we are also interested 13334
we are also interpreting 47
we are also introduced 353
we are also potentially 49
we are also privileged 126
we are also profoundly 66
we are also programmed 42
we are also recognized 56
we are also recommending 41
we are also restricted 44
we are also sanctified 68
we are also spectators 42
we are also surrounded 154
we are also vulnerable 175
we are asking reservists 64
we are best acquainted 3629
we are born physically 66
we are busy constructing 51
we are coming dangerously 173
we are coming perilously 42
we are dealing essentially 623
we are dealing explicitly 51
we are dealing ultimately 66
we are even accustomed 50
we are even astonished 40
we are even encouraged 54
we are even interested 45
we are even introduced 50
we are even moderately 40
we are ever acquainted 95
we are ever completely 60
we are ever confronted 107
we are ever solicitous 60
we are ever surrounded 73
we are facing tremendous 62
we are from completely 75
we are from foreigners 50
we are giving assistance 59
we are giving information 72
we are great navigators 52
we are having difficulty 1032
we are having discussions 108
we are held spellbound 125
we are here abundantly 100
we are here admonished 50
we are here confronted 3659
we are here distinguishing 68
we are here encountering 102
we are here essentially 47
we are here illustrating 56
we are here immediately 280
we are here instructed 72
