wage earners irrespective of 40
wait seemed interminable to 50
wall varies considerably in 69
want greater participation in 76
wave decays exponentially as 47
wealth became concentrated in 623
wealth through participation in 77
well before commencement of 45
well beyond consideration of 62
well enough academically to 125
well enough approximated by 52
well enough authenticated to 59
well enough consolidated to 43
well filled notwithstanding the 42
went without remonstrance or 130
were active contributors to 247
were active participants as 47
were active participants at 125
were active participants in 10363
were active participants of 161
were active participants on 97
were active participants or 57
were active particularly in 49
were active practitioners of 76
were active protagonists of 40
were actual participants in 232
were actual reproductions of 46
were agents provocateurs in 55
were almost contemptuous of 47
were almost continuously at 281
were almost continuously in 413
were almost continuously on 124
were almost disappointed at 45
were almost disappointed to 53
were almost exterminated at 56
were almost exterminated by 795
were almost exterminated in 1051
were almost exterminated to 41
were almost impenetrable to 72
were almost inaccessible by 46
were almost inaccessible to 265
were almost invulnerable to 120
were almost irresistible in 52
were almost overshadowed by 98
were almost photographic in 42
were almost revolutionary in 133
were almost unbelievable in 60
were almost undetectable in 60
were almost unobtainable at 49
were almost unobtainable in 130
were almost unparalleled in 90
were already acclimatized to 41
were already accomplished in 71
were already acknowledged as 163
were already acknowledged by 79
were already acknowledged in 40
were already acknowledged to 53
were already apprehensive of 89
were already communicated to 40
were already concentrated at 47
were already concentrated in 334
were already concentrated on 113
were already considerable in 51
were already contaminated by 82
were already demonstrated in 56
were already disappointed by 40
were already discontented at 41
were already disillusioned by 61
were already domesticated in 135
were already enfranchised by 53
were already foreshadowed by 108
were already foreshadowed in 238
were already impoverished by 102
were already incarcerated in 53
were already incorporated in 458
were already insufficient to 95
were already investigated by 41
were already investigated in 64
were already manufactured in 83
were already overburdened by 116
were already overextended in 48
were already overshadowed by 85
were already participants in 109
were already prepossessed in 51
were already recognizable in 45
were already subordinated to 53
were already substantially in 44
were always accomplished in 221
were always acknowledged as 200
were always acknowledged by 94
were always acknowledged to 55
were always administered by 78
were always administered in 77
were always alternatives to 40
were always antagonistic to 73
were always apprehensive of 168
were always communicated to 65
were always concentrated in 110
were always concentrated on 99
were always conservative in 60
were always contemptuous of 55
were always contradicted by 90
were always difficulties in 180
were always disappointed in 57
were always disappointed to 45
were always insufficient to 88
were always intelligible to 83
were always overshadowed by 293
were always precipitated by 67
were always proportionate to 112
were always subordinated to 687
were always supplemented by 148
were another demonstration of 57
were another manifestation of 394
were barely acknowledged by 42
were barely recognizable as 325
were becoming acculturated to 41
were becoming apprehensive as 50
were becoming apprehensive of 82
were becoming concentrated in 137
were becoming disillusioned by 81
were becoming insufficient to 55
were before acknowledged by 43
were better accommodated to 106
were better alternatives to 53
were buried individually in 50
were called collectively by 46
were called collectively the 191
were called individually to 71
were called respectively the 499
were called specifically to 41
were caused intentionally by 47
were caused specifically by 45
were changed dramatically by 105
were changed dramatically in 46
were changed respectively to 80
were changed substantially in 56
were chosen commissioners to 83
were chosen deliberately to 171
were chosen intentionally to 42
were chosen irrespective of 71
were chosen specifically to 325
were clearly antagonistic to 84
were clearly apprehensive of 41
were clearly attributable to 336
were clearly communicated to 133
were clearly concentrated in 145
were clearly conservative in 42
were clearly contradicted by 54
were clearly demonstrated as 92
were clearly demonstrated at 54
were clearly demonstrated by 672
were clearly demonstrated in 1910
were clearly demonstrated on 93
were clearly demonstrated to 176
were clearly disappointed by 65
were clearly disappointed in 41
were clearly disconcerted by 58
were clearly foreshadowed by 58
were clearly foreshadowed in 159
were clearly inapplicable to 58
were clearly inappropriate in 46
were clearly inappropriate to 54
were clearly instrumental in 208
were clearly insufficient to 456
were clearly intelligible to 44
were clearly overshadowed by 161
were clearly recognizable as 497
were clearly recognizable by 66
were clearly recognizable in 130
were clearly revolutionary in 46
were clearly subordinated to 353
were clearly unacceptable to 400
were clearly unaccustomed to 57
were clearly uninterested in 54
were common complications of 53
were common constituents of 73
were common denominators in 44
were common particularly in 43
were created individually by 47
were created specifically as 136
were created specifically in 45
were created specifically to 872
were created spontaneously by 45
were created subsequently to 49
were crucial contributors to 40
were crucial determinants in 55
were crucial determinants of 188
were crucial participants in 98
were deemed inaccessible to 67
were deemed inapplicable to 55
were deemed inappropriate by 83
were deemed inappropriate in 54
were deemed inappropriate to 66
were deemed insufficient by 188
were deemed insufficient in 45
were deemed insufficient to 421
were deemed objectionable by 44
were deemed satisfactory by 111
were deemed satisfactory to 60
were deemed unacceptable by 200
were deemed unacceptable in 40
were deemed unacceptable to 48
were deeply antagonistic to 102
were deeply apprehensive of 147
were deeply conservative in 67
were deeply disappointed at 365
were deeply disappointed by 590
were deeply disappointed in 281
were deeply disappointed to 180
were deeply disillusioned by 175
were denied participation in 779
were devout communicants of 150
were direct beneficiaries of 364
were direct consequences of 872
were direct continuations of 130
were direct participants in 318
were direct predecessors of 42
were edited respectively by 63
were engaged continuously in 54
were enough difficulties in 54
were enough overshadowed to 52
were enough similarities in 84
were enough similarities to 164
were exciting developments in 44
were fairly attributable to 81
were fairly conservative in 107
were fairly satisfactory in 55
were fairly satisfactory to 73
were family consultations at 88
were filled respectively by 109
were firmly subordinated to 229
were flatly contradicted by 334
were forced continuously to 45
were formed incrustations of 58
were formed irrespective of 97
were formed respectively by 42
were formed respectively in 42
were formed specifically to 389
were formed spontaneously by 104
were formed spontaneously in 99
were formed subsequently to 100
were formed successively in 57
were former participants in 87
were freely acknowledged by 60
were freely administered to 51
were freely communicated by 67
were freely communicated to 186
were freely transferable by 60
were further acknowledged by 50
were further complemented by 107
were further complications in 116
were further concentrated by 71
were further concentrated in 157
were further consequences of 84
were further consolidated by 257
were further consolidated in 281
were further corroborated by 329
were further corroborated in 42
were further demonstrated by 227
were further demonstrated in 352
were further developments in 407
were further developments of 199
were further difficulties in 130
were further disillusioned by 53
were further disseminated by 40
were further disturbances at 83
were further disturbances in 171
were further illustrations of 43
were further impoverished by 118
were further improvements in 153
were further investigated by 931
were further investigated in 346
were further investigated to 73
were further marginalized by 70
were further modifications in 41
were further subordinated to 62
were further substantiated by 493
were further substantiated in 101
were further supplemented by 755
were further supplemented in 84
were granting independence to 54
were greater difficulties in 70
were greater improvements in 42
were greatly apprehensive of 114
were greatly disappointed at 1140
were greatly disappointed by 493
were greatly disappointed in 1236
were greatly disappointed on 267
were greatly disappointed to 539
were greatly disconcerted at 113
were greatly disconcerted by 165
were greatly disillusioned by 46
were greatly dissatisfied at 120
were greatly impoverished by 168
were greatly instrumental in 555
were greatly overbalanced by 65
were greatly overshadowed by 286
were greatly supplemented by 45
were hardly inappropriate in 89
were hardly intelligible to 59
were hardly proportionate to 43
were hardly recognizable as 436
were hardly recognizable in 51
were hardly revolutionary in 57
were hardly satisfactory to 45
were heavily concentrated at 143
were heavily concentrated in 5141
were heavily concentrated on 762
were heavily contaminated by 155
were heavily overshadowed by 60
were heavily supplemented by 76
were helped considerably by 415
were helped substantially by 52
were helped tremendously by 90
were highly accomplished in 258
were highly acculturated to 45
were highly antagonistic to 88
were highly apprehensive of 61
were highly complimented by 416
were highly complimented in 56
were highly complimented on 77
were highly concentrated at 80
were highly concentrated in 3757
were highly concentrated on 267
were highly conservative in 124
were highly contaminated by 55
were highly contemptuous of 45
were highly controversial at 116
were highly controversial in 217
were highly discontented at 51
were highly dissatisfied at 42
were highly heterogeneous in 70
were highly inconsistent in 55
were highly instrumental in 852
were highly knowledgeable in 48
were highly knowledgeable of 42
were highly objectionable to 140
were highly reproducible in 61
were highly satisfactory in 111
were highly satisfactory to 499
were highly unacceptable to 48
were housed individually in 1481
were indeed attributable to 59
were indeed concentrated in 45
were indeed discoverable in 57
were indeed incorporated in 42
were indeed instrumental in 111
were indeed insufficient to 43
were indeed revolutionary in 42
were initial difficulties in 136
were instead concentrated in 47
were instead concentrated on 43
were issued certificates of 94
were issued concurrently in 67
were issued respectively by 59
were issued respectively in 83
were issued subsequently to 55
were issued successively in 47
were itself metaphysical or 44
were joined subsequently by 79
were joined unexpectedly by 54
were judged inapplicable to 54
were judged insufficient to 92
were judged unacceptable by 50
were justly acknowledged to 47
