wad live quieter in 129
wan face lighted up 134
war acts against the 186
war aims against the 110
war aims between the 163
war aims defined by 40
war also against the 92
war also altered the 56
war also appeared to 54
war also brought an 177
war also brought in 45
war also brought the 305
war also brought to 214
war also enabled the 52
war also exposed the 98
war also offered the 42
war also reduced the 89
war also revealed the 126
war also revived the 45
war also ushered in 41
war also weakened the 52
war among members of 146
war anew against the 45
war base against the 65
war bears witness to 58
war been brought to 142
war been carried on 625
war been limited to 45
war came because of 116
war came because the 99
war came between the 186
war came together in 42
war club against the 61
war debt payment to 46
war drum throbbed no 555
war even against an 234
war even against the 275
war ever carried on 241
war five millions of 77
war from beginning to 656
war from congress to 63
war from germany to 57
war from happening as 50
war from happening in 75
war from january to 45
war from motives of 396
war from outside the 63
war from returning to 103
war from tacitus to 51
war from virginia to 42
war game between the 98
war gave impetus to 300
war gave occasion to 44
war gave promise of 84
war great numbers of 149
war have appeared in 81
war have brought the 99
war have brought to 136
war have brought us 105
war have enabled me 54
war have focused on 83
war have managed to 41
war have reduced the 75
war have refused to 48
war have revealed the 90
war have visited the 43
war have wrought in 52
war having opposed the 41
war held captive in 56
war into cambodia in 60
war into germany by 49
war into millions of 51
war just because he 60
war just because it 73
war just because of 80
war just because the 65
war just because we 45
war just brought to 67
war land reforms in 44
war made against it 53
war made against the 84
war made between the 116
war made glorious by 82
war many members of 80
war many millions of 101
war meant murdering the 47
war more against the 70
war more popular in 67
war must confirm or 82
war must include the 69
war must involve the 162
war must precede the 57
war must somehow be 94
war only affects the 47
war only against the 536
war only because he 215
war only because it 397
war only because of 652
war only because the 207
war only because we 48
war only insofar as 106
war over britain in 45
war over control of 620
war over germany in 44
war over kashmir in 234
war over morocco in 59
war over slavery in 42
war pact between the 127
war plan against the 426
war poems appeared in 84
war poems written by 113
war raging against the 42
war raging between the 576
war raging outside the 40
war runs counter to 97
war some members of 77
war songs against the 40
war soon brought to 56
war there against the 145
war there appeared in 109
war there appeared to 96
war there between the 80
war there existed an 51
war there existed in 119
war there existed the 42
war there planned the 72
war time control of 48
war upon denmark in 46
war upon diseases of 42
war upon everything in 42
war upon freedom of 70
war upon germany by 89
war upon germany if 84
war upon germany in 295
war upon germany on 133
war upon germany or 44
war upon germany the 41
war upon himself by 48
war upon slavery in 185
war upon society in 93
war upon treaties is 49
war vast numbers of 42
war very similar to 48
war waging between the 54
war went against the 487
war went against us 48
war went merrily on 83
war were accused of 82
war were against the 47
war were against us 49
war were allowed to 919
war were applied to 108
war were arrived at 53
war were assumed to 43
war were beginning to 1069
war were blocked up 55
war were branded as 93
war were brought in 220
war were brought to 972
war were brought up 120
war were capable of 161
war were carried by 43
war were carried on 1152
war were carried to 90
war were central to 56
war were certain to 92
war were covered by 92
war were debated in 279
war were decided by 51
war were devoted to 298
war were dressed in 45
war were evident in 135
war were exposed to 88
war were familiar to 42
war were granted to 141
war were hurried on 115
war were invited to 140
war were kindled in 56
war were largely the 67
war were lighted up 176
war were limited to 215
war were located in 98
war were masters of 53
war were matched by 77
war were matters of 107
war were members of 141
war were obliged to 341
war were offered to 51
war were opposed to 89
war were ordered to 607
war were outside the 59
war were painted in 131
war were perhaps the 51
war were preparing to 82
war were present in 87
war were printed in 41
war were reduced to 483
war were related to 117
war were released by 108
war were released in 77
war were released on 56
war were released to 53
war were removed by 47
war were removed to 59
war were reputed to 41
war were returning to 58
war were revived by 41
war were rounded up 54
war were settled by 63
war were settled in 102
war were shipped to 76
war were similar to 251
war were subject to 242
war were superior to 107
war were trembling in 47
war were unknown to 48
war were unwilling to 82
war were victims of 61
war were visible in 48
war were written by 129
war were written in 44
war when applied to 51
war when members of 45
war when millions of 102
war when outside the 43
war will consist in 75
war will consist of 82
war will destroy the 232
war will destroy us 96
war will finally be 102
war will increase in 67
war will increase the 133
war will involve the 84
war will perhaps be 92
war will present to 41
war will produce the 85
war will provide the 55
war will require the 121
war will shortly be 67
war will somehow be 54
war will succeed in 82
war will suffice to 79
war work because of 131
war work council of 64
war work outside the 41
war years against the 122
war years allowed the 40
war years appeared to 123
war years because it 130
war years because of 1328
war years because the 322
war years beginning in 42
war years between the 298
war years brought an 314
war years brought the 420
war years brought to 211
war years despite the 165
war years dragged on 308
war years enabled the 101
war years following the 59
war years reduced the 65
war years revealed the 47
war years ushered in 71
war zone because of 71
war zone between the 121
was able because of 148
was able between the 47
was able briefly to 263
was able closely to 54
was able exactly to 57
was able finally to 2350
was able forthwith to 75
was able frankly to 45
was able happily to 62
was able herself to 132
was able himself to 744
was able however to 243
was able largely to 431
was able legally to 151
was able moreover to 61
was able perhaps to 59
was able plainly to 52
was able proudly to 265
was able quickly to 1168
was able quietly to 349
was able rapidly to 438
was able rightly to 70
was able roughly to 69
was able shortly to 119
was able somehow to 584
was able steadily to 155
was able swiftly to 132
was able therewith to 45
was able totally to 95
was able towards the 88
was able unaided to 55
was able usually to 113
was able utterly to 116
was able vividly to 76
was ably abetted by 254
was ably advised by 78
was ably carried on 743
was ably chaired by 70
was ably covered by 69
was ably debated in 42
was ably exposed by 127
was ably handled by 456
was ably managed by 269
was ably opposed by 241
was ably refuted by 188
was ably replied to 104
was ably written by 41
was aching because of 70
was acting according to 2627
was acting against me 53
was acting against my 156
was acting against the 1953
was acting because of 96
was acting captain in 42
was acting captain of 130
was acting colonel of 52
was acting counter to 111
was acting exactly as 180
was acting largely as 40
was acting largely on 92
was acting legally in 52
was acting manager at 59
was acting manager of 141
was acting outside of 260
was acting outside the 1134
was acting rightly in 100
was acting towards me 78
was acting towards the 63
was adding rapidly to 48
was aged thirteen at 40
was airing himself in 117
was along because he 41
was also abetted by 365
was also absence of 77
was also absorbing the 111
was also abusive to 48
was also acceded to 168
was also accepting the 137
was also according to 585
was also accused as 44
was also accused at 58
was also accused by 1083
was also accused in 201
was also accused of 18169
was also acquiring an 42
was also acquiring the 117
was also adamant in 177
was also adamant on 83
was also adapted as 236
was also adapted by 402
was also adapted in 175
was also adapted to 1596
was also adduced as 255
was also adduced by 114
was also adduced to 89
was also adhered to 322
was also adjusting to 102
was also admiral of 109
was also admired as 380
was also admired by 723
was also admired in 123
was also adopted as 2731
was also adopted at 1025
was also adopted by 13071
was also adopted in 11220
was also adopted of 153
was also adopted on 417
was also adopted so 141
was also adopted the 45
was also adopted to 813
was also adorned by 217
was also advancing in 131
was also advancing on 77
was also advancing the 50
was also advancing to 81
was also adverse to 292
was also advised as 93
was also advised by 917
was also advised in 113
was also advised of 327
was also advised on 55
was also advised to 2469
was also adviser to 195
was also affecting the 465
was also affirming the 44
was also affixed to 291
was also against an 70
was also against it 368
was also against me 67
was also against my 54
was also against the 4257
was also against us 110
was also agitating the 46
was also alarmed at 663
was also alarmed by 1052
was also alarmed to 85
was also alerted by 50
was also alerted to 222
was also aligned to 50
was also alleged by 444
was also alleged in 723
was also alleged to 2218
was also allowed an 125
was also allowed as 187
was also allowed at 59
was also allowed by 387
was also allowed if 54
was also allowed in 1544
was also allowed on 319
was also allowed the 465
was also allowed to 12345
was also alluded to 972
was also altered as 71
was also altered at 71
was also altered by 594
was also altered in 841
was also altered so 185
was also altered to 462
was also amended as 71
was also amended at 89
was also amended by 967
was also amended in 1106
was also amended on 64
was also amended so 578
was also amended to 2021
was also anathema to 296
was also annexed as 43
was also annexed by 203
was also annexed in 102
was also annexed to 570
was also annoyed at 555
was also annoyed by 885
was also annoyed to 95
was also answering the 50
was also appealed to 668
was also applied as 825
was also applied at 500
was also applied by 2475
was also applied in 11102
was also applied on 1057
was also applied to 33959
was also aroused at 47
was also aroused by 1185
was also aroused in 208
was also aroused to 58
was also arranged as 171
was also arranged at 237
was also arranged by 509
was also arranged in 527
was also arranged on 89
was also arranged so 289
was also arranged to 657
was also arrayed in 87
was also arrived at 750
was also ashamed of 585
was also ashamed to 153
was also aspired to 54
was also assayed by 185
was also assayed in 161
was also asserting the 72
was also assessing the 46
was also assisting in 126
was also assisting the 117
was also assumed as 124
was also assumed at 88
was also assumed by 1215
was also assumed in 638
was also assumed the 48
was also assumed to 2347
was also assured by 782
was also assured in 68
was also assured of 652
was also assured the 45
was also assured to 43
was also atrophy of 96
was also attacking the 412
was also attending the 895
was also attending to 284
was also attired in 134
was also attuned to 453
was also audible in 86
was also auditor of 55
was also authored by 85
was also availed of 108
was also avoided by 254
was also avoided in 107
was also awakening to 57
was also awarded an 698
was also awarded as 89
was also awarded by 149
was also awarded in 154
was also awarded the 6142
was also awarded to 1337
was also awkward to 46
was also baffled by 248
was also baffled in 77
was also bailiff of 68
was also baptizing in 177
was also because at 56
was also because he 1327
was also because in 151
was also because it 454
was also because my 53
was also because of 3824
was also because so 41
was also because the 2801
was also because we 202
was also beginning at 61
was also beginning in 186
was also beginning the 104
was also beginning to 20230
was also beheaded at 53
was also beheaded by 44
was also beheaded in 88
was also beheaded on 52
was also beloved by 342
was also beloved of 88
was also bemused by 82
was also between the 352
was also blessed by 478
was also blessed in 280
was also blessed to 205
was also blinded by 87
was also blocked by 1356
was also blocked in 147
was also blocked up 111
was also blunted by 110
was also blurred by 41
was also boarded up 90
was also boosted by 768
was also boosted in 41
was also bothered by 1360
was also bounded by 183
was also branded as 293
was also branded in 49
was also briefed by 146
was also briefed on 246
was also briefed to 48
was also briefly in 103
was also briefly the 81
was also broader in 48
was also broadly in 41
was also brought as 152
was also brought by 585
was also brought in 5125
was also brought on 1207
was also brought the 53
was also brought to 8411
was also brought up 6210
was also capable in 50
was also capable of 16870
was also capable to 57
was also capital of 88
was also captain in 56
was also captain of 1664
was also capturing the 41
was also careful in 258
was also careful of 89
was also careful to 6318
was also carried as 191
was also carried at 97
was also carried by 1771
was also carried in 2711
was also carried on 14066
was also carried the 68
was also carried to 1540
was also carried up 159
was also cashier of 116
was also cautious in 219
was also central in 614
was also central to 4976
was also certain he 138
was also certain it 57
was also certain of 231
was also certain the 88
was also certain to 498
was also chained to 127
was also chaired by 189
was also champion of 61
was also charged as 279
was also charged at 90
was also charged by 745
was also charged in 460
was also charged of 52
was also charged on 519
was also charged to 1418
was also charmed by 353
was also checked as 51
was also checked at 129
was also checked by 1441
was also checked in 631
was also checked on 92
was also checked to 119
was also cheered by 461
was also chiefly an 57
was also claimed as 705
was also claimed at 96
was also claimed by 3715
was also claimed in 543
was also claimed on 79
was also claimed to 952
was also classed as 481
was also closely in 111
was also closest to 174
was also clouded by 238
was also coached by 69
was also coached in 41
was also coauthor of 182
was also colonel of 625
was also colored by 501
was also colored in 61
was also comfort in 109
was also competing in 155
was also complex in 56
was also composing the 60
was also concern at 189
was also concern in 211
was also concern to 100
was also confusing to 65
was also congenial to 409
was also content to 539
was also correct in 3769
was also correct on 47
was also correct to 302
was also couched in 353
was also counsel in 122
was also counsel to 139
was also counted as 896
was also counted in 317
was also counted on 66
was also counter to 61
was also coupled to 226
was also courted by 259
was also covered by 2754
was also covered in 3151
was also covered on 72
was also covered up 109
was also coveted by 277
was also cracked in 49
was also creative in 81
was also crossed at 59
was also crossed by 325
was also crossed in 41
was also crossed to 71
was also crowned at 122
was also crowned by 138
was also crowned in 69
was also crowned king 193
was also crushed by 214
was also crushed in 131
was also curator of 459
was also current at 168
was also current in 1049
was also damaged as 41
was also damaged at 51
was also damaged by 1093
was also damaged in 344
was also daunted by 50
was also dazzled by 151
was also debated at 181
was also debated by 139
was also debated in 456
was also decided as 111
was also decided at 1261
was also decided by 1283
was also decided in 1479
was also decided on 702
was also decided the 81
was also decided to 16651
was also decline in 99
was also declining at 98
was also declining in 170
was also decreasing in 57
was also decreed at 84
