war gold exchange standard 105
war upon british property 72
war upon private property 50
was acting foreign minister 106
was also acutely conscious 496
was also african american 439
was also applied directly 83
was also attending lectures 50
was also attending physician 139
was also awarded honorary 107
was also briefly examined 41
was also briefly involved 78
was also briefly mentioned 138
was also closely attached 51
was also closely examined 62
was also closely followed 106
was also closely involved 1256
was also closely observed 63
was also elected annually 41
was also elected chairman 541
was also elected delegate 60
was also elected governor 121
was also elected honorary 52
was also elected treasurer 176
was also equally apparent 57
was also equally critical 48
was also examining chaplain 75
was also finance minister 93
was also foreign minister 462
was also gathered concerning 44
was also granted authority 137
was also granted observer 56
was also harshly critical 72
was also hastily reported 45
was also increasing evidence 174
was also increasing interest 93
was also increasing pressure 98
was also largely absorbed 43
was also largely affected 60
was also largely attended 55
was also largely composed 68
was also largely confined 110
was also largely employed 198
was also largely financed 46
was also largely increased 87
was also largely indebted 76
was also largely inspired 61
was also listening intently 103
was also measured directly 173
was also medical director 90
was also musical director 166
was also national chairman 52
was also quickly apparent 54
was also rapidly developing 109
was also receiving attention 166
was also reduced compared 54
was also reduced slightly 45
was also reduced somewhat 41
was also refused admission 59
was also related directly 55
was also reliably informed 94
was also reliably reported 44
was also renewed interest 160
was also sharply attacked 48
was also sharply critical 364
was also somehow involved 42
was also strongly addicted 65
was also strongly affected 562
was also strongly attached 126
was also strongly attacked 103
was also strongly critical 136
was also strongly defended 86
was also strongly endorsed 101
was also strongly enjoined 65
was also strongly inclined 131
was also strongly involved 50
was also strongly positive 51
was also strongly promoted 45
was also strongly resented 40
was also strongly resisted 47
was also strongly stressed 51
was also suffering severely 85
was also tacitly accepted 44
was also twisted spirally 47
was also vaguely conscious 42
was also wounded mortally 66
was also wounded severely 73
was asking awkward questions 66
was asking herself questions 70
was asking himself questions 394
was asking himself seriously 76
was asking pointed questions 42
was asking similar questions 74
was bent forward slightly 112
was born outside australia 82
was born shortly thereafter 227
was bringing foreign officers 71
was busy answering questions 94
was busy preparing breakfast 219
was done between december 55
was done between february 72
was done between november 48
was done shortly thereafter 58
was done towards completing 43
was duly elected chairman 180
was duly elected governor 136
was duly elected treasurer 75
was even himself startled 53
was even stronger evidence 85
was even visibly gratifying 132
was ever elected governor 158
was ever refused admission 67
was ever steadily sensible 89
was ever strongly attached 131
was facing increasing pressure 85
was facing similar problems 121
was felt against catholics 73
was from colonel beverley 79
was from letters received 64
was giving careful attention 58
was giving increasing attention 77
was good because everyone 54
was good medical practice 81
was great popular enthusiasm 69
was great popular interest 88
was half african american 56
was having behavior problems 51
was having certain problems 48
was having illicit relations 117
was having increasing problems 129
was having marital problems 824
was having marital troubles 61
was having marriage problems 84
was having medical problems 76
was having medical treatment 60
was having similar problems 373
was having similar troubles 61
was having stomach problems 108
was having trouble attracting 123
was having trouble collecting 449
was having trouble completing 127
was having trouble conceiving 156
was having trouble connecting 114
was having trouble containing 181
was having trouble continuing 42
was having trouble convincing 574
was having trouble delivering 78
was having trouble developing 56
was having trouble explaining 129
was having trouble expressing 98
was having trouble functioning 132
was having trouble justifying 46
was having trouble navigating 41
was having trouble negotiating 108
was having trouble organizing 78
was having trouble persuading 130
was having trouble processing 390
was having trouble recovering 61
was having trouble recruiting 272
was having trouble separating 115
was having trouble supporting 84
was having trouble sustaining 53
was having trouble swallowing 438
was heading towards disaster 69
was heard trembling slightly 69
was held between december 101
was held between february 104
was held between generals 56
was held between november 162
was held between officials 46
was held roughly constant 42
was held shortly thereafter 115
was here legally employed 88
was here visibly elevated 58
was john russell bartlett 62
was just because everyone 55
was just beginning business 91
was just finishing breakfast 421
was kept answering questions 52
was kept closely confined 278
was kept closely informed 646
was kept roughly constant 51
was kept totally ignorant 41
was laid utterly desolate 55
was leaning forward anxiously 44
was leaning forward earnestly 52
was leaning forward intently 138
was leaning forward slightly 312
was left largely unchanged 132
was left totally unguarded 47
was left utterly desolate 65
was left utterly helpless 40
was less closely involved 72
