waged such memorable wars 134
wages during maternity leave 126
wages have generally been 138
wages have sometimes been 82
wages were converted into 42
wages were dependent upon 53
wages were generally paid 112
wages were prevented from 44
wages were regularly paid 53
wages were sometimes paid 70
wages were unusually high 56
wages will gradually rise 42
waiting their dismissal from 152
waiting three different days 61
walks were converted into 40
walls have evidently been 80
walls have generally been 51
walls have witnessed many 43
walls over backwards true 69
walls were converted into 98
walls were decorated only 44
walls were destroyed during 40
walls were extremely thick 112
walls were immensely thick 87
walls were perfectly bare 62
walls were plastered over 428
walls were protected from 62
walls were scribbled over 136
walls were separated from 65
walls were separated into 42
walls were sometimes made 45
walls were unusually thick 40
wards were converted into 45
wares were recovered from 64
warmth into intensity like 76
warmth when separated from 41
waste much sentiment over 43
waste upon themselves their 89
waste were permitted upon 41
watch more carefully over 352
watch more television have 55
watch more television tend 151
watch most carefully over 158
watch their movements from 50
watch their movements will 43
watch their proceedings most 81
watch their television sets 121
watch very carefully what 614
watch very carefully when 45
watch what everybody else 157
water from catchment areas 67
water from condensed steam 259
water from different areas 83
water from evaporating from 210
water from evaporating into 45
water from irrigated areas 60
water from irrigated land 69
water from overflowing into 44
water from penetrating into 384
water from percolating down 49
water from percolating into 99
water from somewhere else 152
water from sprinkler heads 43
water from surrounding areas 124
water from surrounding land 51
water have generally been 141
water have previously been 58
water have sometimes been 45
water having previously been 60
water into jerusalem from 43
water into saturated steam 105
water just downstream from 72
water made available from 101
water mass movements over 177
water must evaporate from 154
water over themselves from 120
water very different from 159
water were available from 53
water were collected during 51
water were collected from 397
water were converted into 145
water were different from 41
water were extracted from 78
water were purchased from 50
water were separated from 86
water when converted into 215
water when separated from 76
water will certainly have 61
water will evaporate during 48
water will evaporate from 830
water will evaporate into 216
water will evaporate more 299
water will evaporate very 40
water will generally have 48
water will gradually pass 49
water will gradually rise 224
water will instantly rise 69
water will naturally flow 92
water will penetrate into 198
water will percolate into 158
waves from different areas 42
waves have different wave 44
waves like mountains rising 76
waves rose mountains high 146
waves were mountains high 231
waves were reflected back 56
waves were reflected from 222
waves will propagate along 73
waxed very indignant over 83
weaken their influence over 126
weaned their affections from 110
weapon more effective from 42
weather data available from 89
weather data collected from 95
weather felt extremely cold 43
weather grew intensely cold 44
weather there descended upon 49
wedding made everybody eager 95
weeds were converted into 204
weeks from christmas till 67
weeks paid maternity leave 975
weeks paid paternity leave 303
weeks those barbarians kept 58
weeks were difficult ones 43
weeks were frittered away 44
weigh very carefully what 121
wells must gradually grow 118
wells were completed during 128
wells were installed along 43
where asian americans were 52
where crying blemishes were 43
where early christians were 64
where food resources were 258
where food shortages were 135
where four conditions were 57
where four countries meet 42
where good arguments pass 61
where great fertility made 44
where great festivals were 53
where great interests were 106
where having carefully seen 68
where health conditions were 94
where heavy batteries were 56
where high mountains rise 62
where home conditions were 65
where land resources were 43
where living conditions have 120
where living conditions were 1429
where living standards have 193
where living standards were 326
where lord mansfield said 56
where lord mansfield says 42
where many accidents have 56
where many americans have 104
where many americans were 100
where many centuries must 106
where many christians have 57
where many christians were 151
where many companies have 169
where many companies were 49
where many countries have 326
where many countries were 80
where many employees have 45
where many employees were 40
where many factories were 46
where many observers have 40
where many prisoners were 160
where many reporters were 47
where many residents have 99
where many residents were 97
where many specimens have 69
where many specimens were 48
where many survivors made 48
where mining operations have 215
where mining operations were 161
where more prisoners were 55
where most americans live 461
where most americans were 52
where most companies have 62
where most countries have 251
where most countries were 54
where most employees have 50
where most employees were 74
where most prisoners were 52
where most residents have 55
where most residents live 56
where most residents were 165
where most veniremen will 77
where much excellent work 40
where only ourselves were 57
where only themselves were 91
where only yesterday there 68
where other companies have 66
where other companies were 44
where other conditions have 71
where other conditions were 136
where other countries have 214
where other countries were 124
where other employees were 48
where other interests were 48
where other passengers were 55
where other prisoners were 247
where other relatives were 44
where other resources fail 70
where other resources were 47
where other treatments have 195
where rock ptarmigan rose 65
where soil conditions make 47
where soil conditions were 196
where some americans were 65
where some christians were 47
where some companies have 85
where some countries have 300
where some departure from 43
where some employees were 43
where some englishmen were 53
where some fishermen were 77
where some gentlemen were 134
where some important case 86
where some observers have 45
where some principal part 75
where some prisoners were 171
where some protection from 84
where some provinces have 40
where some provisions were 51
where some relatives were 43
where some shepherds were 67
where some skirmishing took 58
where some veniremen were 55
where such accidents were 70
where such attitudes were 79
where such beverages were 40
where such companies have 56
where such companies were 48
where such conditions have 196
where such conditions were 227
where such conflicts have 68
where such contracts have 120
where such contracts were 183
where such doctrines have 59
where such doctrines seem 73
where such doctrines were 106
where such documents were 86
where such equipment will 62
where such estimates have 47
where such executions were 40
where such exercises were 46
where such fisheries have 307
where such incidents have 45
where such incidents were 74
where such interests have 51
where such interests were 103
where such monuments have 42
where such movements have 72
where such movements were 87
where such offenders were 51
where such operations have 98
where such operations were 104
where such phenomena have 89
where such phenomena were 67
where such practices have 194
where such practices were 439
where such prisoners were 45
where such proceedings have 95
where such proceedings were 97
where such processes have 62
where such processes were 55
where such provisions have 128
where such provisions were 106
where such purchases were 46
where such qualities were 164
where such resources were 95
where such responses were 43
where such societies were 51
where such standards have 122
where such standards were 52
where such traditions were 58
where their abilities were 59
where their abilities will 61
where their advantage lies 122
where their allegiance lies 243
where their ancestors came 636
where their ancestors have 534
where their ancestors left 58
where their ancestors once 225
where their ancestors used 99
where their ancestors were 1055
where their arguments have 47
where their arguments were 46
where their artifacts were 43
where their battalions were 55
where their batteries were 66
where their colleagues were 114
where their companies were 41
where their companions have 52
where their companions were 345
where their conditions were 65
where their customers live 90
where their customers were 100
where their daughters were 160
where their doctrines were 88
where their employees live 280
where their employees were 47
where their employees work 47
where their employers were 68
where their expertise lies 62
where their factories were 67
where their followers were 50
where their fragments fall 63
where their happiness lies 60
where their influence soon 58
where their influence upon 68
where their influence will 148
where their interests came 113
where their interests have 101
where their interests meet 226
where their interests were 1065
where their interests will 79
where their lordships held 86
where their loyalties were 62
where their magazines were 79
where their majesties were 269
where their movements were 163
where their necessity will 49
where their neighbors were 151
where their occupants were 47
where their operations were 239
where their opponents were 264
where their passengers were 42
where their passports were 116
where their prisoners were 81
where their proceedings were 49
where their prospects were 76
where their provisions were 90
where their purchases were 59
where their regiments were 223
where their relatives have 48
where their relatives live 335
where their relatives were 341
where their resources were 60
where their separation from 42
where their skeletons were 55
where their sympathies were 170
where their umbilical cord 42
where their valuables were 108
where there assembled unto 70
where there certainly were 71
where there previously were 68
where there subsisted some 50
where these arguments have 49
where these artifacts were 54
where these chemicals were 47
where these companies have 97
where these companies were 67
where these compounds have 61
where these compounds were 56
where these conditions fail 59
where these conditions have 298
where these conditions hold 109
where these conditions were 703
where these conditions will 84
where these countries have 99
where these countries were 77
where these doctrines have 75
where these doctrines were 49
where these documents have 62
where these documents were 143
where these exercises were 43
where these factories were 43
where these fascinating young 46
where these formations were 40
where these fragments were 60
where these gentlemen have 49
where these gentlemen were 169
where these incidents took 58
where these interests were 80
where these movements have 81
where these movements were 75
where these mysteries were 50
where these operations have 78
where these operations were 152
where these organisms live 63
where these organisms were 49
where these phenomena have 83
where these phenomena were 101
where these practices have 139
where these practices were 149
where these pressures were 59
where these prisoners were 96
where these processes have 206
where these processes take 146
where these processes were 185
where these provisions have 58
where these provisions were 77
where these qualities have 96
where these qualities were 278
where these resources have 48
where these resources were 176
where these resources will 52
where these responses were 40
where these sediments were 48
where these societies were 54
where these specimens were 109
where these standards have 70
where these standards were 68
where these traditions have 42
where these traditions were 77
where those conditions were 50
where those countries were 53
where those documents were 65
where those interests were 96
where those processes were 325
where those qualities were 91
where those resources were 74
where those resources will 56
where those sensations were 50
where three companies were 55
where three countries meet 154
where three gentlemen were 53
where three partitions meet 53
where three policemen were 60
where three prisoners were 48
where three specimens were 50
where true happiness lies 206
where vice president dick 45
where were assembled many 204
where were assembled some 149
where were assembled those 43
where young beginners were 50
where young gentlemen dice 44
where young gentlemen were 80
where young offenders were 41
where your abilities will 62
where your allegiance lies 126
where your ancestors came 335
where your ancestors have 72
where your ancestors were 198
where your customers come 69
where your customers live 163
where your customers will 84
where your employees live 93
where your fantasies will 107
where your happiness lies 78
where your relatives live 70
where your reputation will 44
where your umbilical cord 53
which acting severally upon 40
which acts especially upon 62
which acts unequally upon 57
which acts uniformly upon 98
which also attracted many 80
which also attracted much 105
which also attracted some 63
which also benefited from 572
which also comprised some 45
which also conferred upon 64
which also contained four 55
which also contained many 389
which also contained more 60
which also contained much 196
which also contained other 198
which also contained some 685
which also contained such 51
which also contained their 63
which also contained these 65
which also contained three 93
which also continued into 68
which also continues into 56
which also descended from 52
which also describes other 41
which also describes some 56
which also determine their 61
which also developed during 61
which also developed from 83
which also developed into 129
which also discusses other 81
which also discusses some 95
which also furnishes some 40
which also generally have 46
which also indicates some 94
which also indicates their 148
which also indicates what 164
which also influence their 63
which also literally means 57
which also originate from 143
which also penetrate into 50
which also possesses some 197
which also possesses teeth 56
which also prevailed among 81
which also published some 50
which also reflected their 63
which also regulates their 63
which among ourselves have 45
which among themselves show 55
which anne perfectly knew 127
which asian americans have 194
which asian americans were 52
which asian countries have 63
which bank directors were 101
which base themselves upon 158
which bears especially upon 41
which bears repetition here 57
which bees construct their 51
which best described their 261
which best describes their 211
which best describes these 52
which best describes what 668
which best describes your 2492
which best expressed their 124
which best expressed what 52
which best expresses their 253
which best expresses what 177
which best expresses your 463
which best foresight need 161
which best indicates your 293
which best justifies bold 80
which best reflected their 88
which best represent their 68
which best satisfies their 100
which best satisfies these 114
which blow regularly from 41
which bore alligator pears 41
which bore especially hard 48
which brings discredit upon 52
which brings newcomers into 84
which burn themselves into 80
which came delegates from 95
which came especially from 82
which came generally from 55
which came gradually into 87
which came increasingly from 64
which came increasingly into 96
which came merchants from 58
which came naturally from 143
which came primarily from 504
which came regularly from 64
which came yesterday from 88
which case allowance must 51
which case prediction even 50
which cast discredit upon 46
which cast themselves into 76
which come naturally from 76
which come naturally into 40
which come primarily from 354
which cost estimates were 61
which cost virtually nothing 42
which dame ellesmere kept 57
which data collected from 73
which date primarily from 52
which deem themselves most 65
which deep impression bears 84
which drew admiration from 42
which drew criticism from 269
which drew customers from 45
which drew delegates from 79
which drew responses from 56
which early christians were 75
