wagering contract is one 235
wagons attached to them 65
wailed piteously in them 75
wailed unheeded at her 44
waited anxiously as she 44
waited anxiously at his 40
waited anxiously in her 53
waited anxiously in his 98
waited anxiously to get 49
waited anxiously to hear 1600
waited anxiously to see 2293
waited breathless to see 48
waited curiously to hear 43
waited curiously to see 145
waited fearfully to see 53
waited silently as she 85
waited silently to hear 93
waited silently to see 104
waiter informed me that 210
waiter informed us that 219
waiter returned to ask 44
waiter returned to his 49
waiter returned to say 48
wakens energies in them 43
walked alongside me and 68
walked alongside of her 78
walked alongside of him 190
walked alongside of them 67
walked alongside the car 124
walked alongside the team 41
walked anxiously up and 47
walked backward to his 48
walked barefoot on his 40
walked barefoot on hot 84
walked barefoot to his 58
walked barefoot up and 44
walked casually to his 60
walked contrary to god 43
walked contrary to him 69
walked contrary to them 147
walked directly to her 525
walked directly to him 275
walked directly to his 588
walked directly to one 89
walked directly to our 97
walked directly to them 69
walked downtown to buy 57
walked downtown to his 53
walked downtown to see 48
walked furiously up and 80
walked gloomily up and 41
walked serenely to his 60
walked silently at her 67
walked silently at his 101
walked silently by her 165
walked silently by his 295
walked silently in yon 40
walked silently to her 95
walked silently to his 122
walked silently up and 174
walked solemnly to his 46
walked solemnly up and 49
walked straight at him 107
walked straight at them 50
walked straight by them 121
walked straight in and 457
walked straight in with 46
walked straight on and 163
walked straight on for 108
walked straight on with 67
walked straight to her 1032
walked straight to him 438
walked straight to his 1177
walked straight to one 61
walked straight to our 112
walked straight to that 76
walked straight to them 72
walked straight to this 53
walked straight up and 157
walked upstairs to bed 252
walked upstairs to get 106
walked upstairs to her 498
walked upstairs to his 587
walked upstairs to our 88
walked upstairs to see 101
walked violently to his 42
wanted breakfast in bed 54
wanted children at all 185
wanted children of her 415
wanted children of his 251
wanted children of our 43
wanted children or not 68
wanted children to read 44
wanted children to see 42
wanted everyone in his 102
wanted everyone to act 43
wanted everyone to bow 48
wanted everyone to get 406
wanted everyone to hear 493
wanted everyone to pay 60
wanted everyone to read 114
wanted everyone to say 69
wanted everyone to see 1440
wanted everyone to sit 65
wanted everyone to try 42
wanted everyone to use 52
wanted everyone to wear 55
wanted evidence of his 41
wanted guidance on how 42
wanted included in his 40
wanted mightily to bring 80
wanted patience to read 123
wanted pictures of her 63
wanted pictures of him 55
wanted pictures of them 53
wanted practice in that 52
wanted provided it was 55
wanted somebody at his 46
wanted somebody to ask 43
wanted somebody to get 62
wanted somebody to hear 47
wanted somebody to pay 79
wanted somebody to say 196
wanted somebody to see 72
wanted somebody to sit 53
wanted specially to see 95
wanted students to get 91
wanted students to read 105
wanted students to see 278
wanted students to use 146
wanted suddenly to cry 63
wanted suddenly to get 54
wanted suddenly to run 52
wanted suddenly to see 45
wanted terribly to ask 53
wanted terribly to get 60
wanted terribly to see 124
wanted urgently to get 70
wanted urgently to see 135
wanted visitors to see 51
wanted whatever it was 211
wanton exercise of his 86
wanton exercise of this 315
wanton exposure of his 103
wanton response to his 58
wanton treatment of them 60
warden informed me that 93
warden returned to his 114
warder demanded of him 73
warder informed me that 40
warily rejected by both 60
warmed properly as for 41
warmer climates it may 41
warmer climates of asia 86
warmer currents of air 68
warmer interest in all 42
warmer interest in her 48
warmer interest in his 153
warmer interest in this 40
warmly accepted by his 87
warmly approved by all 94
warmly approved by his 125
warmly approved of her 55
warmly approved of his 243
warmly approved of them 52
warmly approved of this 299
warmly approved the idea 129
warmly approved the new 53
warmly assented to both 246
warmly attached to all 124
warmly attached to both 70
warmly attached to each 767
warmly attached to her 1588
warmly attached to him 3327
warmly attached to his 2805
warmly attached to its 190
warmly attached to one 398
warmly attached to our 332
warmly attached to that 194
warmly attached to them 463
warmly attached to this 172
warmly attached to you 341
warmly attacked on all 53
warmly commending the act 49
warmly defended by his 89
warmly disputed by them 44
warmly embraced by all 53
warmly embraced by her 51
warmly embraced by his 58
warmly embraced me and 46
warmly embraced the idea 94
warmly embraced the new 133
warmly endorsed by his 49
warmly endorsed the idea 185
warmly espoused by his 54
warmly grateful to him 47
warmly grateful to you 58
warmly insisted on her 55
warmly received at its 49
warmly received by all 951
warmly received by both 302
