wad i bide the 115
wag a finger at 926
wag a finger in 113
wag a finger to 42
war a band of 114
war a body of 154
war a form of 146
war a gain to 70
war a game of 63
war a good thing 66
war a host of 84
war a kind of 329
war a line of 49
war a list of 51
war a means of 255
war a pair of 47
war a part of 518
war a plan of 45
war a sign of 41
war a sort of 213
war a test of 116
war a third of 94
war a threat to 93
war a time of 83
war a type of 40
war a wave of 192
war i call it 42
war i came to 227
war i have no 244
war i have so 44
war i have to 49
war i heard of 57
war i heard the 40
war i hope to 95
war i hope we 51
war i knew of 53
war i know of 94
war i lost my 79
war i made the 42
war i must be 41
war i must go 50
war i said to 47
war i think it 103
war i think of 41
war i think the 47
war i think we 96
war i took the 40
war i used to 930
war i want to 282
war i went on 45
war i went to 732
war i will be 96
war i wish to 68
was a angel of 54
was a baal of 54
was a babe at 224
was a babe he 72
was a babe in 2993
was a babe of 288
was a babe on 63
was a baby an 81
was a baby as 161
was a baby at 957
was a baby by 162
was a baby he 1054
was a baby if 53
was a baby in 4971
was a baby is 83
was a baby it 194
was a baby my 303
was a baby no 168
was a baby of 1267
was a baby on 1517
was a baby or 689
was a baby so 502
was a baby the 260
was a baby thing 63
was a baby to 798
was a baby we 197
was a back of 73
was a back to 70
was a back up 142
was a bait of 41
was a bait to 402
was a bale of 565
was a balk to 65
was a ball as 44
was a ball at 2441
was a ball in 1681
was a ball of 6410
was a ball on 318
was a ball or 331
was a ball the 50
was a ball to 241
was a balm in 134
was a balm of 61
was a balm on 80
was a balm to 2118
was a band at 234
was a band in 444
was a band of 18228
was a band on 323
was a band or 187
was a band to 188
was a bane of 125
was a bane to 360
was a banging at 394
was a banging of 325
was a banging on 942
was a bank at 116
was a bank by 49
was a bank in 696
was a bank of 6169
was a bank on 240
was a bank or 186
was a bank to 103
was a barb in 151
was a barb to 48
was a bard in 67
was a bard of 202
was a baring of 49
was a bark in 49
was a bark of 419
was a barn at 91
was a barn in 303
was a barn no 98
was a barn of 226
was a barn on 145
was a barn or 120
was a barn to 70
was a base at 56
was a base in 176
was a base of 1415
was a base on 150
was a base or 79
was a base thing 383
was a base to 121
was a bass in 89
was a bass of 56
was a bass or 41
was a baying of 80
was a beach at 115
was a beach in 118
was a beach of 635
was a beach on 147
was a beach up 45
was a beading of 53
was a beard of 137
was a bearing in 70
was a bearing of 94
was a beast as 48
was a beast at 112
was a beast in 306
was a beast of 2004
was a beast on 54
was a beast or 119
was a beast to 505
was a beating at 73
was a beating in 119
was a beating of 422
was a beating on 73
was a beep on 92
was a beer in 59
was a beer or 59
was a bell at 156
was a bell in 432
was a bell of 203
was a bell on 578
was a bell or 95
was a bell to 270
was a belt in 52
was a belt of 4238
was a belt on 43
was a belt or 116
was a belt to 129
was a bend in 1792
was a bend of 371
was a bend or 40
was a bend to 67
was a berth in 86
was a bevy of 1464
was a bier on 94
was a bike in 46
was a bill at 42
was a bill by 424
was a bill he 66
was a bill in 2593
was a bill of 6017
was a bill on 253
was a bill or 119
was a bill so 55
was a bill the 50
was a bill to 5198
was a bill up 104
was a bird as 187
was a bird at 130
was a bird by 49
was a bird he 158
was a bird in 1549
was a bird of 5261
was a bird on 416
was a bird or 704
was a bird so 176
was a bird the 108
was a bird to 175
was a bird we 55
was a birth in 138
was a birth of 339
was a birth or 172
was a birth to 124
was a bite in 563
was a bite of 257
was a bite on 68
was a bite or 45
was a bite to 458
was a blip in 182
was a blip of 44
was a blip on 277
was a blob of 661
was a bloc of 396
was a blot in 237
was a blot of 301
was a blot on 3485
was a blot or 42
was a blot to 50
was a blow as 624
was a blow at 3899
was a blow by 61
was a blow he 354
was a blow in 996
was a blow of 640
was a blow on 717
was a blow or 93
was a blow so 267
was a blow the 176
was a blow to 36295
was a blow up 112
was a blue of 66
was a blue or 92
was a blue ring 45
was a blue sea 149
was a blue so 170
was a blur as 1945
was a blur at 91
was a blur in 1015
was a blur of 8332
was a blur on 201
was a blur to 1158
was a boar of 66
was a boar or 69
was a boat at 333
was a boat by 119
was a boat he 45
was a boat in 600
was a boat of 793
was a boat on 417
was a boat or 549
was a boat so 47
was a boat the 43
was a boat to 435
was a body as 166
was a body at 202
was a body he 85
was a body in 2048
was a body of 30953
was a body on 690
was a body or 205
was a body so 294
was a body the 64
was a body to 891
was a body up 82
was a boil in 41
was a boil of 89
was a boil on 144
was a bold as 443
was a bold if 101
was a bold or 43
was a bold thing 2469
was a bolt in 49
was a bolt of 988
was a bolt on 260
was a bolt to 69
was a bomb at 150
was a bomb in 1052
was a bomb of 145
was a bomb on 430
was a bomb or 230
was a bomb to 63
was a bond as 132
was a bond by 55
was a bond he 56
was a bond in 199
was a bond of 6569
was a bond or 71
was a bond so 135
was a bond the 60
was a bond to 261
was a bone in 342
was a bone of 5381
was a bone or 70
was a bone to 130
was a book as 320
was a book at 182
was a book by 3767
was a book he 1316
was a book in 3249
was a book my 83
was a book no 86
was a book of 16327
was a book on 10825
was a book or 380
was a book so 650
was a book the 156
was a book to 1585
was a book we 150
was a boom as 213
was a boom at 43
was a boom in 6115
was a boom of 561
was a boom on 218
was a boom to 110
was a boon as 180
was a boon at 46
was a boon he 56
was a boon in 514
was a boon of 375
was a boon on 51
was a boon or 146
was a boon to 15266
was a boor in 46
was a booth at 88
was a booth in 138
was a booth of 78
was a booth on 49
was a boot in 43
was a bore as 141
was a bore at 75
was a bore in 189
was a bore of 222
was a bore or 98
was a bore to 1184
was a born in 131
was a born king 303
was a boss at 83
was a boss in 212
was a boss of 208
was a boss or 46
was a bout at 77
was a bout of 687
was a bout to 44
was a bowl in 79
was a bowl of 9315
was a bowl on 129
was a bowl or 90
was a boxing ring 153
was a brat in 78
was a brat of 302
was a bread of 46
was a break at 294
was a break he 61
was a break in 21087
was a break of 1636
was a break on 182
was a break or 209
was a break to 197
was a break up 235
was a breath in 168
was a breath of 8477
was a breath on 46
was a brew of 220
was a brig in 55
was a brig of 666
was a brig or 48
was a bringing to 45
was a broth of 424
was a buck in 133
was a buck of 237
was a buck or 137
was a buck to 142
was a bulb in 71
was a bulb of 87
was a bulk of 127
was a bull in 708
was a bull of 1239
was a bull on 115
was a bull or 237
was a bull to 61
was a bump as 383
was a bump at 82
was a bump in 338
was a bump of 49
was a bump on 469
was a bump or 43
was a bump the 50
was a bunk at 78
was a bunk in 88
was a bunk on 84
was a burn in 49
was a burn of 42
was a burn on 90
was a burr in 134
was a burr of 48
was a bush he 49
was a bush in 109
was a bush of 430
was a bush on 44
was a bush or 106
was a bust as 244
was a bust at 59
was a bust in 295
was a bust of 3767
was a bust on 55
was a busy sea 55
was a butt of 408
was a butt to 98
was a buzz as 112
was a buzz at 197
was a buzz in 953
was a buzz of 6958
was a buzz on 224
was a buzz to 44
was a cafe at 85
was a cafe in 318
was a cafe of 200
was a cafe on 261
was a cafe or 42
was a cage in 343
was a cage of 660
was a cage on 54
was a cage or 40
was a cage to 82
was a cake he 50
was a cake in 130
was a cake of 1021
was a cake on 132
was a cake to 56
was a calf in 80
was a calf of 90
was a calf on 101
was a calf or 88
was a call as 108
was a call at 469
was a call by 525
was a call he 397
was a call in 595
was a call of 2000
was a call on 1310
was a call or 93
was a call so 126
was a call the 77
was a call to 20603
was a call we 42
was a calm at 85
was a calm in 352
was a calm of 114
was a calm on 55
was a calm sea 477
was a calm to 89
was a cameo in 90
was a cameo of 231
was a camp at 313
was a camp in 633
was a camp of 3790
was a camp on 238
was a camp or 144
was a camp to 112
was a cane of 55
was a canoe at 47
was a canoe in 51
was a canoe of 81
was a canoe on 112
was a cant in 45
was a cant of 75
was a cape of 228
was a cape on 45
was a cape or 54
was a capo in 95
was a card at 49
was a card he 192
was a card in 622
was a card of 450
was a card on 832
was a card or 73
was a card the 54
was a card to 218
was a care of 88
was a care on 103
was a care to 105
was a cart at 41
was a cart in 55
was a cart of 67
was a cart on 63
was a cart or 70
was a cart to 92
was a case as 238
was a case at 701
was a case by 148
was a case he 432
was a case in 55698
was a case of 209092
was a case on 2147
was a case or 302
was a case so 434
was a case the 254
was a case to 3364
was a case we 87
was a cash or 48
was a casing of 66
was a cask of 591
was a cast in 202
was a cast of 1712
was a cast on 98
was a cast to 52
was a cave at 211
was a cave by 124
was a cave he 47
was a cave in 1570
was a cave of 901
was a cave on 477
was a cave or 329
was a cave so 61
was a cave the 42
was a cave to 55
was a cave up 44
was a ceasing of 45
was a cell at 42
was a cell in 428
was a cell of 1298
was a cell or 154
was a cell to 750
was a celt by 44
was a celt of 82
was a cent or 41
was a chap at 159
was a chap by 127
was a chap in 429
was a chap of 219
was a chap on 83
was a chap to 138
was a cheap or 40
was a cheap ring 46
was a cheap thing 245
was a cheat in 53
was a cheat or 69
was a cheat to 67
was a chef at 467
was a chef in 356
was a chef of 69
was a chef on 68
was a chip in 150
was a chip of 1075
was a chip on 142
was a chit of 201
was a chum of 652
was a city as 642
was a city at 592
was a city by 595
was a city he 309
was a city in 7827
was a city no 134
was a city of 43724
was a city on 1632
was a city or 642
was a city so 497
was a city the 172
was a city to 661
was a clang as 439
was a clang in 82
was a clang of 592
was a clan in 47
was a clan of 427
was a clan or 124
was a clap of 1838
was a clay of 65
was a clay or 51
was a clean thing 53
was a clear as 41
was a clear if 133
was a clear no 284
was a clear or 59
was a clear ring 51
was a clear sea 423
was a clear thing 151
was a clew to 148
was a clinging to 105
was a clip in 42
was a clip of 298
was a clip on 57
was a clod of 169
was a clog in 79
was a clog on 165
was a clog to 113
was a cloth in 43
was a cloth of 524
was a cloth on 139
was a cloth or 67
was a clot in 98
was a clot of 565
was a club at 199
was a club he 86
was a club in 841
was a club of 1644
was a club on 157
was a club or 265
was a club to 200
was a clue as 519
was a clue at 71
was a clue he 49
was a clue in 411
was a clue of 171
was a clue to 4130
was a coal of 168
was a coat of 2472
was a coat or 105
was a cock in 79
was a cock of 166
was a cock or 99
was a coda to 146
was a code by 60
was a code he 73
was a code in 190
was a code of 4335
was a code on 78
was a code to 319
was a code we 47
was a coil of 1429
was a coil to 73
was a coin he 57
was a coin in 188
was a coin of 1372
was a coin or 53
was a coin to 53
was a cold in 121
was a cold or 186
was a cold thing 146
was a colt by 79
was a colt in 45
was a colt of 94
was a comb in 69
was a comb of 62
was a come on 115
was a coming in 313
was a coming of 479
was a coming thing 104
was a coming to 385
was a coming up 97
