war audiences will thin 279
war conditions have not 103
war conditions there was 129
war conditions were not 204
war continued into its 61
war continued more than 69
war continued there was 145
war contracts were let 41
war criminals among them 40
war criminals have not 100
war criminals other than 56
war criminals were being 234
war criminals were not 388
war criminals were put 127
war democrats clear off 50
war different from all 154
war different from any 140
war different from that 133
war gradually gave way 40
war inflicted upon our 60
war invariably brings with 60
war possesses over one 52
war prisoners were being 58
war prisoners were not 63
war production fell off 110
war production meant that 54
war production were not 83
war resounded from one 51
war unhappily break out 60
was abandoned along with 324
was abandoned during that 43
was abandoned during this 131
was abandoned from any 44
was abandoned from fear 125
was abandoned from this 47
was abandoned last year 63
was abandoned less than 101
was abandoned more than 231
was abandoned next day 42
was abandoned once and 136
was abandoned once for 40
was abandoned only with 55
was abandoned save for 58
was abandoned there was 121
was abandoned upon his 68
was abandoned when her 50
was abandoned when his 103
was abandoned when its 164
was abandoned when one 178
was abandoned when she 143
was abandoned when that 93
was abandoned when they 229
was abandoned when this 74
was abandoned when war 47
was abandoned years ago 860
was abdominal pain and 45
was abhorrent from his 64
was abolished along with 620
was abolished during his 46
was abolished from that 40
was abolished last year 189
was abolished less than 51
was abolished more than 196
was abolished once and 120
was abolished there was 139
was abolished when its 60
was abolished years ago 243
was abundance till they 50
was acclaimed during his 66
was accordingly bred for 83
was accordingly dealt with 40
was accordingly done and 938
was accordingly done for 52
was accordingly done that 93
was accordingly done with 565
was accordingly felt that 88
was accordingly held and 85
was accordingly held for 67
was accordingly held not 89
was accordingly held that 3266
was accordingly held with 67
was accordingly laid out 220
was accordingly left for 43
was accordingly left out 49
was accordingly left with 134
was accordingly made and 395
was accordingly made for 755
was accordingly made out 823
was accordingly made that 470
was accordingly made use 46
was accordingly made with 354
was accordingly more than 69
was accordingly sent and 60
was accordingly sent for 1681
was accordingly sent him 120
was accordingly sent off 345
was accordingly sent out 1359
was accordingly sent with 458
was accordingly sold and 41
was accordingly sold for 62
was accordingly told off 53
was accordingly told that 417
was accordingly used for 91
was accounted unto him 697
was acquitted along with 66
was acquitted from all 54
was acquitted upon his 94
was acquitted when his 59
was addressed from one 56
was addressed more than 75
was addressed were not 69
was adjourned from day 250
was adjourned from one 46
was adjourned over one 41
was adjourned sine die 4145
was adjourned till this 40
was admirably calm and 49
was admirably clear and 139
was admirably dealt with 59
was admirably laid out 44
was advocated more than 51
was advocated years ago 42
was affiliated also with 57
was afflicted also with 48
was afflicted during her 42
was afflicted during his 62
