wag observes me thus 58
war amounted to one 87
war assigned to him 47
war capacity to pay 96
war captured by them 107
war combined to bring 44
war composed of all 43
war composed of his 43
war consists in its 51
war consists of two 59
war continue so long 52
war contrary to her 59
war contrary to his 56
war contrary to its 130
war criminal is not 51
war criminal of all 251
war criminal or not 86
war declared on them 60
war demanded of them 72
war depended on him 63
war depended on his 88
war depended on its 60
war depended on them 48
war depicted in each 112
war designed to bring 56
war doctrine is that 47
war employed by our 63
war entirely on his 78
war extended as far 105
war extended to all 42
war followed by two 47
war followed the death 64
war governor of his 107
war governor of iowa 84
war governor of new 523
war governor of ohio 159
war governor of that 43
war incurred in not 53
war inflicts on our 119
war involved the use 46
war involves the use 76
war machines of all 40
war materials in this 70
war materials of all 784
war materials of any 112
war materials or for 80
war materials to all 63
war materials to any 387
war materials to both 101
war materials to her 47
war materials to its 46
war materials to our 125
war materials to them 49
war materiel of all 91
war materiel to any 70
war minister he had 125
war minister he was 110
war minister in his 179
war minister in this 146
war movement in this 109
war occurred at this 82
war occurred in new 55
war occurred in this 66
war ordained by god 76
war partakes of them 128
war platform we see 43
war policies of his 85
war potential is not 46
war potential of all 41
war potential of any 62
war potential of our 95
war prepared the way 194
war presents us with 54
war provided by law 58
war provided us with 44
war provides us with 81
war provoked by his 65
war purposes is not 41
war purposes it was 51
war purposes or for 110
war received in that 73
war referred to was 112
war resulted in his 92
war resulted in its 53
war resulted in new 57
war resulted in one 41
war returned to his 158
war returned to new 53
war services he was 163
war signaled the end 144
war situation at that 88
war situation in asia 49
war situation in east 42
war situation in this 134
war situation is not 135
war situation is that 112
war situation it was 67
war speedily to end 227
war stripped of all 57
war stripped of its 86
war supplied us with 47
war supplies in this 97
war supplies of all 224
war supplies to any 112
war supplies to both 69
war thousands of men 97
war thousands of them 43
war threatened to bring 121
war threatened to cut 56
war threatened to tear 43
war tradition is not 145
war tradition is that 43
war whenever it can 49
war whenever it was 84
war wherever it may 78
was abandoning the idea 153
was abandoning the old 83
was abducted as she 53
was abducted by her 225
was abducted by him 49
was abducted by his 177
was abducted by men 43
was abducted by one 95
was abducted by two 156
was abducted on her 48
was abducted on his 90
was abhorred by all 161
was abhorred by his 69
was abhorred of all 47
was abhorred of them 310
was abnormal in all 438
was abnormal in any 61
was abnormal in both 61
was abnormal in his 52
was abnormal in its 127
was abnormal in one 174
was abnormal in that 518
was abnormal in this 79
was abnormal in two 139
