waiters dressed in tuxedos 54
walkway between the buildings 90
wallowing brought no fatigue 40
wandering caravan of stately 72
wandering doubles of persons 55
wandering islands an unusual 85
wandering islands of verdure 120
wandering quietly in unknown 89
wandering soldier of fortune 94
warfare adopted by germany 46
warfare against the ancient 59
warfare against the apaches 111
warfare against the british 3156
warfare against the catholic 212
warfare against the central 247
warfare against the chinese 688
warfare against the civilian 147
warfare against the colonial 100
warfare against the competing 235
warfare against the country 59
warfare against the demonic 49
warfare against the enemies 651
warfare against the european 58
warfare against the faithful 108
warfare against the foreign 177
warfare against the freedom 89
warfare against the germans 887
warfare against the hostile 57
warfare against the infidel 755
warfare against the insects 44
warfare against the invader 98
warfare against the italians 102
warfare against the jesuits 40
warfare against the muslims 124
warfare against the national 166
warfare against the natives 110
warfare against the northern 45
warfare against the occupying 398
warfare against the ottoman 131
warfare against the passions 44
warfare against the patriots 40
warfare against the persians 131
warfare against the railway 42
warfare against the russians 160
warfare against the savages 124
warfare against the southern 71
warfare against the soviets 193
warfare against the spanish 794
warfare against the turkish 134
warfare against the tyranny 100
warfare against the western 215
warfare between the british 505
warfare between the brothers 65
warfare between the chinese 149
warfare between the classes 174
warfare between the emperor 42
warfare between the european 156
warfare between the factions 130
warfare between the friends 51
warfare between the governing 114
warfare between the imperial 42
warfare between the members 46
warfare between the muslims 44
warfare between the natives 73
warfare between the northern 64
warfare between the parties 209
warfare between the several 40
warfare between the spanish 123
warfare between the teachers 40
warfare carried on against 520
warfare carried on between 357
warlike measures in general 58
warlike message to congress 100
warlike natives of germany 131
warmest friends of america 82
warmest friends of freedom 65
warmest friends of liberty 107
warmest returns of loyalty 45
warmest strains of rapture 86
warningly against my stomach 40
warrant against the accused 278
warrant against the captain 59
warrant against the inferior 75
warrant assures the citizen 70
warrant because the vehicle 457
warrant besides to approve 127
warrant directing the officer 88
warrant directing the sheriff 118
warriors against the british 48
warriors against the enemies 42
warriors entered the village 46
warriors invaded the country 94
warriors kindled at listening 70
warriors pursued the retreating 62
warriors towards the grounds 51
warship stopped the british 73
wartime alliance of britain 49
watched closely the effects 47
watched closely to prevent 200
watched everything in silence 42
watched millions of peasants 45
watched together in silence 64
wavered between the parties 44
wavered between the turkish 44
wayside avenues of parched 96
weakened bacteria or viruses 218
weakened himself by detaching 61
weakness exceeding the weakness 43
weakness related to factory 55
weakness unworthy of herself 62
wealthier classes in america 72
wealthier classes in general 159
wealthier classes in society 53
wealthier classes of society 1319
wealthier members of society 2355
wealthier sections of society 928
wealthier sectors of society 364
wealthier segment of society 63
weathered material is removed 156
weathered mineral or organic 165
weekday schools of religion 104
weighed against the ability 102
weighed against the absence 47
weighed against the accused 431
weighed against the adverse 206
weighed against the alleged 110
weighed against the benefit 2444
weighed against the burdens 89
weighed against the capital 72
weighed against the certain 43
weighed against the chances 189
weighed against the competing 151
weighed against the criteria 53
weighed against the current 69
weighed against the decline 60
weighed against the demands 220
weighed against the desired 89
weighed against the effects 290
weighed against the equally 94
weighed against the eternal 42
weighed against the expense 177
weighed against the factors 50
weighed against the following 348
weighed against the freedom 81
weighed against the furthering 80
weighed against the general 278
weighed against the gravity 108
weighed against the harmful 48
weighed against the hazards 237
weighed against the increase 229
weighed against the increasing 149
weighed against the limited 95
weighed against the medical 41
weighed against the national 60
weighed against the natural 105
weighed against the opinions 69
weighed against the overall 451
weighed against the patient 425
weighed against the pleasure 62
weighed against the present 235
weighed against the primary 41
weighed against the privacy 43
weighed against the private 57
weighed against the problem 65
weighed against the profits 45
weighed against the quality 92
