waddling off through the 48
wafers are dipped in 42
wafers are placed in 405
wafers are placed on 245
wafers are rinsed in 51
wafted her before it 65
wafted him through the 91
wafted out across the 123
wafted out through the 249
wafted them across the 67
wafted them through the 40
wafted this little sea 53
wagers are likely to 65
wagons and cattle at 106
wagons and cattle in 55
wagons and driven to 92
wagons and droves of 42
wagons and groups of 49
wagons and hauled by 51
wagons and hauled it 49
wagons and hauled to 484
wagons and horses as 93
wagons and horses at 66
wagons and horses in 264
wagons and horses is 160
wagons and horses of 101
wagons and horses on 80
wagons and horses or 60
wagons and horses to 395
wagons and killed the 40
wagons and pieces of 65
wagons and placed in 67
wagons and plenty of 64
wagons and stored in 45
wagons and trains of 101
wagons and troops in 40
wagons and troops up 196
wagons and trucks to 90
wagons and upward of 54
wagons are driven by 45
wagons are driven up 49
wagons are likely to 62
wagons are needed to 55
wagons are parked in 54
wagons are placed in 70
wagons are pulled by 57
wagons being pulled by 69
wagons for carrying the 55
wagons going through the 43
wagons had camped on 40
wagons had passed the 86
wagons had reached the 139
wagons that formed the 44
wagons that hauled the 62
wagons that served as 149
wagons was crossing the 99
wailed and howled in 59
wailed and moaned in 113
wailed and nested in 49
waists and skirts of 54
waited all summer to 84
waited all through the 495
waited all winter to 60
waited and dreamed of 99
waited and looked at 308
waited and looked on 469
waited and prayed in 183
waited and prayed so 45
waited and prayed to 141
waited and stared at 94
waited and talked to 97
waited and thought of 59
waited and waited as 327
waited and waited at 330
waited and waited by 46
waited and waited in 2319
waited and waited on 465
waited and waited the 68
waited and waited to 956
waited and wanted to 58
waited and worked so 68
waited and worked to 42
waited far beyond the 44
waited for albert to 90
waited for alfred to 50
waited for alison to 51
waited for almost an 509
waited for amanda to 111
waited for andrew to 170
waited for another of 64
waited for another to 246
waited for anthony to 73
waited for antonio to 71
waited for anyone to 165
waited for ashley to 55
waited for austin to 56
waited for bailey to 64
waited for before the 117
waited for bernie to 49
waited for billie to 44
waited for bonnie to 43
waited for brenda to 44
waited for buyers to 44
waited for carlos to 90
waited for carrie to 65
waited for carter to 127
waited for cassie to 70
waited for chance to 196
waited for christ to 93
waited for claire to 128
waited for claude to 50
waited for claudia to 47
waited for coffee to 44
waited for connie to 70
waited for cooper to 41
waited for daniel to 251
waited for denise to 45
waited for dennis to 70
waited for dinner to 274
waited for donald to 50
waited for dorothy to 79
waited for duncan to 76
waited for edward to 134
waited for elaine to 63
waited for eleanor to 63
waited for england to 72
waited for evelyn to 68
waited for events to 723
waited for france to 56
waited for freddy to 42
waited for gladys to 69
waited for gordon to 90
waited for graham to 59
waited for hannah to 165
waited for harold to 95
waited for harris to 56
waited for harvey to 45
waited for hector to 51
waited for hitler to 196
waited for holmes to 47
waited for howard to 69
waited for hunter to 71
waited for isabel to 61
waited for jackie to 98
waited for janice to 41
waited for jeremy to 103
waited for jessie to 107
waited for joanna to 58
waited for johnny to 188
waited for jordan to 100
waited for joseph to 188
waited for joshua to 109
waited for justin to 112
waited for lauren to 63
waited for laurie to 54
waited for leonard to 53
waited for leslie to 75
waited for lights to 57
waited for lillian to 55
waited for lizzie to 57
waited for louise to 119
waited for maggie to 194
waited for marcus to 142
waited for martin to 221
waited for matthew to 124
waited for michael to 493
waited for mickey to 53
waited for miguel to 54
waited for miller to 60
waited for monica to 57
waited for morgan to 172
waited for morris to 51
waited for murphy to 47
waited for nature to 275
waited for nelson to 43
waited for nicole to 103
waited for oliver to 85
waited for orders at 51
waited for orders in 77
waited for orders to 1070
waited for parker to 66
waited for philip to 130
waited for pierre to 67
waited for police to 83
waited for prices to 167
waited for rachel to 275
waited for relief to 71
waited for robert to 299
waited for roland to 55
waited for ronnie to 59
waited for samuel to 111
waited for sandra to 46
waited for school to 147
waited for scraps of 52
waited for serena to 42
waited for seward to 61
waited for sharon to 79
waited for sheila to 48
waited for someone at 49
waited for someone in 139
waited for someone on 70
waited for someone or 51
waited for someone to 10523
waited for something he 41
waited for something of 83
waited for something or 80
waited for something to 6314
waited for sophie to 103
waited for sounds of 98
waited for stalin to 44
waited for stella to 56
waited for steven to 82
waited for strength to 96
waited for stuart to 78
waited for summer to 62
waited for sunday to 58
waited for supper to 102
waited for taylor to 113
waited for teresa to 53
waited for through so 104
waited for through the 41
waited for trains to 64
waited for travis to 84
waited for trevor to 53
waited for trucks to 50
waited for victor to 89
waited for walker to 71
waited for walter to 114
waited for warren to 71
waited for whoever it 143
waited for william to 189
waited for willie to 100
waited for wilson to 116
waited for winter to 133
waited for wright to 54
waited her chance to 92
waited his chance to 322
waited his motions at 47
waited his orders to 58
waited his return in 170
waited his return to 195
waited his signal to 42
waited its chance to 44
waited long before he 166
waited long before the 458
waited long beyond the 76
waited long enough as 62
waited long enough at 67
waited long enough he 323
waited long enough in 317
waited long enough it 53
waited long enough on 190
waited long enough so 143
waited long enough the 227
waited long enough to 5524
waited she thought of 42
waited with something of 61
waiter and signed the 57
waiter and turned to 97
waiter being absent on 47
waiter had cleared the 172
waiter had closed the 59
waiter had opened the 46
waiter had picked up 49
waiter had placed in 97
waiter had placed on 228
waiter had placed the 166
waiter had poured the 47
waiter had served the 111
waiter was called to 77
waiter was forced to 51
waiter was removing the 65
waiter was standing at 122
waiter was standing by 137
waiter was standing in 54
waiter was unable to 61
waiter who looked as 76
waiter who seemed to 87
waiter who served it 76
waiter who served me 111
waiter who served the 204
waiter who served us 255
waiter who serves the 57
waiter who serves us 43
waiter who wanted to 102
waiter who worked at 53
waiter who worked in 51
waived all claims of 83
waived all claims on 109
waived all claims to 408
waived all rights in 75
waived all rights of 103
waived all rights to 689
waived any claims to 49
waived any defect in 94
waived any rights he 67
waived any rights of 46
waived any rights to 183
waived her claims to 95
waived her rights in 66
waived her rights to 245
waived his claims in 84
waived his claims on 104
waived his claims to 161
waived his rights as 207
waived his rights by 142
waived his rights in 212
waived his rights of 95
waived his rights or 41
waived his rights to 815
waived its claims to 61
waived its rights by 67
waived its rights in 83
waived its rights to 528
waived with regard to 115
waiver and release is 50
waiver and release of 435
waiver was mailed in 61
waiver was proved in 86
waiver was signed by 47
waiver with regard to 113
waives all claims of 312
waives all claims on 54
waives all claims to 141
waives all rights of 515
waives all rights to 1334
waives any defect in 72
waives any rights he 46
waives any rights in 64
waives any rights of 56
waives any rights to 115
waives his rights by 44
waives his rights in 47
waives his rights to 204
waives its rights to 160
walked aft through the 54
walked aft toward the 61
walked all across the 53
walked all around it 740
walked all around me 79
walked all around the 3302
walked all through it 66
walked all through the 1123
walked and breathed in 47
walked and breathed on 88
walked and called it 55
walked and danced in 49
walked and helped to 90
walked and looked at 274
walked and played in 160
walked and played on 43
walked and seemed to 49
walked and talked as 840
walked and talked at 648
walked and talked by 120
walked and talked he 41
walked and talked in 2464
walked and talked of 296
walked and talked on 626
walked and talked or 46
walked and talked so 139
walked and talked the 157
walked and talked to 217
walked and tapped the 75
walked and taught in 219
walked and thought of 117
walked and walked as 266
walked and walked in 819
walked and walked on 256
walked and walked the 197
walked and walked to 196
walked and walked up 144
walked and worked in 198
walked and worked on 45
walked east through the 88
walked east toward the 191
walked far across the 77
walked far before he 119
walked far before the 54
walked far before we 49
walked far behind the 40
walked far beyond the 134
walked far enough in 79
walked far enough to 335
walked far through the 40
walked for almost an 226
walked for awhile in 127
walked her across the 659
walked her across to 62
walked her around the 657
walked her around to 195
walked her friend to 68
walked her inside the 50
walked her slowly to 183
walked her through it 76
walked her through the 1480
walked her toward the 910
walked him across the 483
walked him across to 42
walked him around in 44
walked him around the 882
walked him around to 101
walked him slowly to 89
walked him slowly up 45
walked him through it 116
walked him through the 1644
walked him toward the 663
walked his friend to 65
walked long before he 53
walked long enough in 40
walked long enough to 141
walked near enough to 84
walked off across the 1009
walked off around the 151
walked off before he 99
walked off before the 167
walked off behind the 111
walked off mumbling to 43
walked off slowly in 42
walked off slowly to 67
walked off through the 1305
walked off toward the 4739
walked off without it 54
walked off without so 115
walked off without the 66
walked one behind the 517
walked our horses on 42
walked our horses to 81
walked our horses up 117
walked out across the 1745
walked out amongst the 108
walked out around the 154
walked out before he 256
walked out before it 108
walked out before the 1071
walked out behind me 61
walked out behind the 486
walked out beside the 56
walked out beyond the 442
walked out carrying the 104
walked out instead of 75
walked out slamming the 140
walked out slowly to 58
walked out through an 61
walked out through it 50
walked out through the 7958
walked out toward the 1987
walked out without it 40
walked out without my 89
walked out without so 124
walked out without the 97
walked she seemed to 65
walked she thought of 88
walked six blocks to 315
