wafers by low pressure 140
wafted by air currents 57
wafted in her direction 81
wafted in his direction 69
wafted in our direction 54
wafted to her nostrils 259
wafted to his nostrils 466
wafted to our nostrils 110
wagged at his approach 41
waggle of his eyebrows 69
wagons as they traveled 62
wagons of our deserted 92
wagons to each regiment 73
waited as she unlocked 61
waited he was suddenly 51
waited in his anteroom 42
waited in his presence 72
waited on and attended 55
waited on and pampered 202
waited on her assembly 44
waited on her doorstep 43
waited on her highness 45
waited on her ladyship 93
waited on her mistress 192
waited on his customer 41
waited on his doorstep 63
waited on his highness 395
waited on his holiness 143
waited on his lordship 2091
waited on his ministry 253
waited on his officers 89
waited on his presence 42
waited on his standard 71
waited on sir stafford 41
waited on them stolidly 61
waited on them yourself 54
waited the near approach 41
waited to ask questions 63
waited to get straight 62
waited to hear whatever 58
waiter by his christian 50
waiter or two received 52
waiter to bring whatever 49
waived by any director 50
waived if not asserted 262
waived if not included 54
waived if not objected 50
waived if not properly 44
waived in all criminal 81
waived in this instance 80
waiver is not contrary 78
waiver is not forthcoming 49
waiver is not obtained 45
waiver is not required 176
waiver is not returned 69
waiver of all defenses 70
waiver of all liability 61
waiver of all objection 65
waiver of all premiums 61
waiver of any attorney 57
waiver of any condition 211
waiver of any conflict 69
waiver of any covenant 63
waiver of any immunity 49
waiver of any liability 48
waiver of any objection 581
waiver of any potential 62
waiver of any provision 913
waiver of any succeeding 244
waiver of her parental 63
waiver of his immunity 66
waiver of his objection 64
waiver of its immunity 200
waiver of that condition 48
waiver of that immunity 69
waiver of that objection 66
waiver of that provision 99
waiver of this condition 163
waiver of this immunity 57
waiver of this objection 52
waiver of this provision 212
walked at his ordinary 44
walked by and overheard 48
walked in and arrested 101
walked in and casually 40
walked in and declared 44
walked in and demanded 255
walked in and embraced 43
walked in and everyone 104
walked in and followed 68
walked in and informed 104
walked in and inquired 74
walked in and observed 50
walked in and occupied 139
walked in and overheard 161
walked in and remarked 41
walked in and reported 83
walked in and startled 40
walked in and straight 49
walked in and surveyed 105
walked in and switched 72
walked in and tendered 61
walked in any direction 94
walked in for breakfast 118
walked in her direction 396
walked in her girlhood 154
walked in his direction 515
walked in his statutes 45
walked in its direction 88
walked in one direction 371
walked in our direction 175
walked in that direction 2473
walked in this direction 191
walked on and suddenly 68
walked on its knuckles 55
walked on this terraced 40
walked the earth unmarked 51
walked the long corridor 289
walked the long distance 663
walked to her daughter 113
walked to her favorite 159
walked to her wardrobe 49
walked to his bookcase 66
walked to his business 90
walked to his chambers 47
walked to his computer 51
walked to his daughter 74
walked to his execution 155
walked to his favorite 137
walked to his quarters 182
walked to his suitcase 41
walked up and demanded 66
walked up and embraced 66
walked up and examined 142
walked up and extended 96
walked up and inquired 46
walked up her driveway 106
walked up his driveway 118
walked up our driveway 75
walled in and isolated 43
walled in and provided 44
walled in and repelled 57
walled in with concrete 42
walled up and concealed 121
wallet in his trousers 51
wallet on his shoulder 281
wallet to its rightful 63
wander in any direction 276
wander in her direction 93
wander in his direction 87
wander in one direction 78
wander in our thousands 96
wander in that direction 524
wander in that labyrinth 93
wander in that perilous 673
wander in this direction 94
wander to any distance 40
wanted as they imagined 45
wanted at that juncture 48
wanted at this critical 46
wanted at this juncture 121
wanted in her outraged 51
wanted in his business 59
wanted in that direction 52
wanted in this direction 63
wanted in this district 47
wanted in this instance 76
wanted in this situation 168
wanted it for grandeur 84
wanted it for immediate 75
wanted it for yourself 176
wanted me for yourself 66
wanted my own business 175
wanted my own children 103
wanted of being received 77
wanted or was prepared 41
wanted the death sentence 69
wanted the job finished 79
wanted the law enforced 87
wanted the new minister 53
wanted the raw materials 50
wanted the two children 46
wanted the war prolonged 53
wanted to add emphasis 43
wanted to ask everyone 62
wanted to ask questions 3307
wanted to ask somebody 267
wanted to bear children 175
wanted to beat everyone 44
wanted to beat somebody 50
wanted to bid farewell 230
wanted to bring american 41
wanted to bring attention 215
wanted to bring children 89
wanted to bring everyone 117
wanted to bring pressure 154
wanted to bring randolph 80
wanted to bring somebody 58
wanted to buy american 313
wanted to buy japanese 40
wanted to buy pictures 119
wanted to buy presents 134
wanted to buy products 89
wanted to buy property 203
wanted to buy supplies 58
wanted to cut military 47
wanted to deal directly 490
wanted to end american 41
wanted to fly directly 51
wanted to fly fighters 135
wanted to fly straight 150
wanted to get airborne 40
wanted to get american 62
wanted to get answered 59
wanted to get anywhere 1004
wanted to get approval 56
wanted to get arrested 213
wanted to get attention 150
wanted to get baptized 132
wanted to get breakfast 65
wanted to get business 56
wanted to get crawford 52
wanted to get directly 93
wanted to get divorced 589
wanted to get downtown 46
wanted to get educated 84
wanted to get entangled 46
wanted to get entirely 96
wanted to get everyone 347
wanted to get evidence 81
wanted to get feedback 185
wanted to get finished 410
wanted to get firsthand 92
wanted to get intimate 47
wanted to get involved 14703
wanted to get outdoors 106
wanted to get personal 191
wanted to get physical 197
wanted to get pictures 213
wanted to get pregnant 2006
wanted to get promoted 146
wanted to get seriously 54
wanted to get somebody 304
wanted to get specific 85
wanted to get straight 1014
wanted to get students 63
wanted to get supplies 51
wanted to get underneath 89
wanted to get underway 120
wanted to get upstairs 275
wanted to get whatever 131
wanted to get yourself 46
wanted to hang yourself 43
wanted to head directly 55
wanted to head straight 401
wanted to hear answered 64
wanted to hear beethoven 65
wanted to hear directly 201
wanted to hear everyone 89
wanted to hear firsthand 285
wanted to hear laughter 94
wanted to hear lectures 46
wanted to hear somebody 135
wanted to hear whatever 253
wanted to hit somebody 339
wanted to hug everyone 92
wanted to lay emphasis 44
wanted to let everyone 519
wanted to let somebody 48
wanted to own property 82
wanted to pay attention 563
wanted to pay interest 42
wanted to pay respects 59
wanted to put distance 407
wanted to put emphasis 44
wanted to put everyone 84
wanted to put pressure 1523
wanted to put questions 78
wanted to put somebody 95
wanted to put yourself 70
wanted to run anywhere 55
wanted to run directly 58
wanted to run downhill 56
wanted to run straight 373
wanted to run upstairs 501
wanted to say directly 41
wanted to say farewell 437
wanted to say outright 46
wanted to say publicly 40
wanted to say remained 47
wanted to say whatever 101
wanted to see achieved 43
wanted to see american 498
wanted to see australia 133
wanted to see beautiful 95
wanted to see caroline 116
wanted to see catherine 157
wanted to see children 116
wanted to see christian 44
wanted to see concrete 92
wanted to see daylight 63
wanted to see economic 55
wanted to see education 62
wanted to see elizabeth 146
wanted to see everyone 414
wanted to see evidence 230
wanted to see examples 63
wanted to see extended 40
wanted to see falstaff 151
wanted to see finished 45
wanted to see firsthand 922
wanted to see florence 65
wanted to see franklin 57
wanted to see gertrude 92
wanted to see governor 91
wanted to see immediate 94
wanted to see improved 63
wanted to see included 168
wanted to see increased 66
wanted to see japanese 50
wanted to see jennifer 48
wanted to see margaret 100
wanted to see military 45
wanted to see monsieur 134
wanted to see nicholas 48
wanted to see pakistan 65
wanted to see pictures 366
wanted to see progress 425
wanted to see replaced 41
wanted to see resolved 42
wanted to see restored 69
wanted to see returned 41
wanted to see scotland 103
wanted to see soldiers 46
wanted to see somebody 522
wanted to see specific 51
wanted to see students 45
wanted to see washington 147
wanted to see whatever 186
wanted to see yourself 125
wanted to set straight 137
wanted to sit opposite 91
wanted to sue somebody 44
wanted to use american 451
wanted to use economic 86
wanted to use education 151
wanted to use japanese 42
wanted to use materials 59
wanted to use military 187
wanted to use monetary 47
wanted to use multiple 47
wanted to use pakistan 47
wanted to use physical 58
wanted to use whatever 128
wanted to wear lipstick 63
wanted to wear trousers 82
wanted to win elections 167
warble in its chambers 123
warden of his hospital 61
warmed by her humanity 41
warmed by her presence 90
warmed by his enthusiasm 69
warmed by his episodic 58
warmed by his interest 57
warmed by his kindness 43
warmed by his presence 123
warmed by his surpassing 49
warmed by its generous 55
warmed by its vibration 47
warmed by long exposure 41
warmed by our treatment 80
warmed by that promethean 97
warmed in his progress 101
warmed the air somewhat 51
warmed to his argument 130
warmed to his audience 117
warmed to his enthusiasm 70
warmed to his favorite 80
warmed up and prepared 57
warmed up for breakfast 57
warmed up his audience 60
warmly at her daughter 47
warmly he was received 77
warmly he was welcomed 45
warmly of his intention 127
warmly of his kindness 41
warmly on her shoulder 81
warmly on his shoulder 44
warmly to his eulogies 69
warned by god concerning 104
warned by her daughter 59
warned by her physician 161
warned by his advisers 209
warned by his companion 65
warned by his daughter 64
warned by his employer 78
warned by his officers 70
warned by his physician 774
warned by his superiors 220
warned by our sufferings 60
warned by this accident 52
warned by this disaster 331
warned in his farewell 385
warned it was dangerous 62
warned me off yourself 66
warned me that everyone 43
warned me that whatever 40
warned of any possible 73
warned of god concerning 87
warned of her approach 173
warned of her presence 47
warned of his approach 1065
warned of his condition 94
warned of his imminent 122
warned of his intention 156
warned of his possible 40
warned of his presence 207
warned of his treachery 42
warned of its approach 434
warned of its dangerous 68
warned of its possible 118
warned of its potential 136
warned of its presence 162
warned of our approach 601
warned of our presence 103
warned of that fiendish 67
warned of this condition 41
warned of this mistaken 84
warned of this movement 73
warned of this possible 128
warned of this potential 293
warned of this situation 53
warned of this tendency 44
warned the air ministry 49
warned the boy urgently 40
warned to pay attention 81
warnings as are essential 55
warnings he had received 1257
warnings he has received 68
warnings of her advisers 47
warnings of his advisers 130
warnings of his approach 69
warnings of his companion 54
warnings of his comrades 69
warnings of his generals 84
warnings of his instinct 99
warnings of his military 50
warnings of his physician 142
warnings of his prophets 43
warnings of his superiors 59
warnings of its approach 178
warnings of its dangerous 81
warnings to his children 45
warnings we had received 218
warped by his interest 66
warped by his personal 75
warped in his judgment 190
warped in one direction 43
warped in that direction 59
warped in this direction 110
warrior in his ordinary 100
warrior is with confused 1685
warrior of all creatures 72
warrior of his apparent 88
warrior of his property 51
washed at low stringency 62
washed in hot soapsuds 165
washed in pbs containing 138
washed in that fountain 80
washed in this enveloping 67
washed the few breakfast 40
washed up and finished 58
washed up and polished 41
washed up and prepared 158
washed up and returned 123
washed up and stranded 180
washed up for breakfast 61
washes in pbs containing 99
wasted by bad children 58
wasted by his favorite 41
wasted by its diffusion 55
wasted by this movement 49
wasted in that improper 46
wasted in this childish 105
wasted in this direction 56
wasted in this operation 44
wasted on his audience 48
wastes as raw materials 561
wastes in this category 44
wastes of low activity 50
watching an ant struggle 58
watching as her daughter 49
watching as she prepared 48
watching by his fireside 42
watching in that direction 108
watching is big business 40
watching it with interest 118
watching me with curiosity 97
watching me with interest 522
watching me with narrowed 51
watching me with suspicion 65
watching my eye anxiously 50
watching my own children 99
watching my own daughter 41
watching the bus disappear 64
watching the cab disappear 44
watching the car disappear 261
watching the death struggle 41
watching the man disappear 46
watching the man intently 70
watching the nba playoffs 102
watching the new arrivals 294
watching the sky anxiously 45
watching the sky brighten 128
watching the sun disappear 296
watching the team practice 77
watching the two children 209
watching the two entangled 47
watching the two intently 127
watching the two officers 87
watching the two soldiers 73
watching the two strangers 62
watching tv and suddenly 52
watching us with curiosity 110
watching us with interest 254
watering is not required 51
waters an act contrary 77
waters he had suddenly 53
waters in its vicinity 137
waters in that direction 197
waters in that vicinity 72
waters in this direction 47
waters in this district 77
waters in this locality 59
waters in this vicinity 96
waters is not confined 59
waters is not entirely 53
waters is not possible 52
waters is thus rendered 91
waters of both branches 44
waters of her namesake 52
waters of his homeland 40
waters of its beautiful 54
waters of its numerous 53
waters of low hardness 62
waters of low salinity 633
waters of new caledonia 57
waters of our beautiful 101
waters of our mountain 61
waters of our scottish 40
waters of our stagnant 72
waters of that beautiful 176
waters of that delicious 100
waters of that district 48
waters of that fountain 159
waters of that locality 64
waters of that mountain 49
waters of that romantic 57
waters of that sluggish 44
waters of this beautiful 240
waters of this disputed 50
waters of this district 174
waters of this fountain 384
waters of this locality 51
waters of this mountain 89
waters of this province 46
waters of this tropical 50
wavering in her affection 88
wavering in her mistress 76
