wage earning capacity after 53
wait till saturday morning 140
wait till saturday night 134
wait till somebody comes 98
wait till tomorrow evening 175
wait till tomorrow morning 1241
wait till tomorrow night 619
waking from dreamless sleep 52
waking into christian feeling 46
walk over inflamed sands 40
walk when eighteen months 43
wall from opposite sides 218
want high interest rates 45
want more consumer goods 62
want their children bused 158
want their children playing 86
want their children taken 49
want their identity known 45
want their pictures taken 363
want what everyone wants 122
want your finished piece 49
warm last saturday about 79
warm north atlantic drift 974
warm north atlantic water 159
warm ocean currents flowing 48
warm ocean currents which 179
warm their benumbed limbs 171
warn their children about 307
warn their children never 55
warn their patients about 109
warn their students about 48
warn your children about 46
wars have dwindled since 48
wars have occurred since 94
wars were commonly short 71
wars will continue until 69
waving tiny american flags 105
ways these problems might 40
wealth have increased since 64
wealth into military power 57
wearing dark business suits 103
wearing from external force 46
wearing full highland dress 105
week during business hours 52
week during daylight hours 84
week during football season 75
week from saturday night 209
week from tomorrow night 233
week oral toxicity study 272
week till saturday night 64
well find yourself working 75
well from obsolete words 115
well have crumbled under 57
well have deterred others 47
well have happened after 58
well have happened under 124
well have increased rather 50
well have increased since 53
well have misgivings about 57
well have occurred after 99
well have occurred under 66
well have occurred within 86
well have produced fatal 99
well have produced wider 41
well have remained longer 40
well have remained under 56
well have remained where 119
well have remained within 57
well have reminded people 48
well have survival value 66
well have survived until 63
well have wondered about 180
well have wondered where 108
well into christian times 329
well into historic times 650
well into medieval times 246
well into saturday morning 57
well into victorian times 173
well over eighteen months 67
well past midnight after 43
well past midnight every 44
well their projects thrive 92
well those purposes which 74
well those terrible times 54
well what happened after 71
well when interest rates 166
well wish courtesy would 196
well worth detailed study 120
went along swimmingly until 85
went away directly after 190
went away forgetting where 58
went back upstairs after 76
went back upstairs again 144
went back upstairs where 102
went back upstairs while 45
went down saturday night 52
went home directly after 67
went home saturday night 46
went into abeyance after 53
went into abeyance until 117
went into business after 233
went into business again 292
went into business alone 61
went into business selling 492
went into business under 137
went into clinical trials 56
went into complete denial 43
went into complete shock 56
went into consumer goods 54
went into hospital again 111
went into hospital where 40
went into immediate action 498
went into immortal print 130
went into increased wages 65
went into internal exile 88
went into operation about 251
went into operation after 167
went into operation again 68
went into operation april 86
went into operation march 149
went into operation under 729
went into operation until 50
went into operation within 64
went into politics after 155
went into profound shock 76
went into raptures about 636
went into recession after 52
went into rehearsal under 47
went into remission after 231
went into seclusion after 137
went into seclusion until 52
went into separate rooms 125
went into vigorous action 50
went there directly after 97
wept very bitterly while 87
were acting entirely within 86
were acting strictly within 119
were adam staggering beneath 52
were also actively seeking 60
were also actively working 47
were also admitted under 41
were also ambitious plans 48
were also analyzed after 59
were also apparent within 89
were also arrested after 48
were also arrested under 96
were also articles about 67
were also assessed after 44
were also cautioned about 49
were also comments about 212
were also commonly cited 50
were also commonly found 279
were also commonly known 81
were also concerns about 2109
were also confused about 239
were also conveyed thither 86
were also critical about 63
were also detained under 97
were also detected after 61
were also detected within 86
were also directly under 58
were also disputes about 162
were also disturbing signs 59
were also divisions within 176
were also doubtful about 133
were also educated about 61
were also embedded within 62
were also employed under 82
were also enclosed within 59
were also essential parts 53
were also examined after 150
were also examined under 244
were also examined within 73
were also examples where 72
were also excluded since 82
were also excluded under 48
were also explicit about 48
were also formerly known 43
were also frequent cases 64
were also hesitant about 126
were also ignorant about 51
were also included about 54
were also included since 53
were also included under 561
were also included where 45
were also included which 106
were also included within 539
were also increased after 90
were also indirect taxes 54
were also informed about 490
were also integral parts 126
were also isolated cases 83
were also mentioned above 40
were also mentioned often 45
were also misgivings about 81
were also negative about 43
were also numerous cases 331
were also numerous large 147
were also numerous local 99
were also numerous minor 81
were also numerous others 50
were also numerous small 307
were also numerous stray 59
were also observed after 599
were also observed feeding 75
were also observed later 48
were also observed under 308
were also observed where 60
were also observed which 184
were also observed while 47
were also observed within 391
were also obtained about 108
were also obtained after 293
were also obtained later 47
were also obtained under 158
were also obtained which 120
were also occasions where 124
were also ordinary people 40
were also positive about 163
were also positive signs 43
were also possible under 41
were also prepared under 115
were also prepared which 52
were also probably aware 61
were also problems about 100
were also problems arising 85
were also problems which 59
were also problems within 72
were also produced about 48
were also produced after 62
were also produced under 168
were also produced which 85
were also produced within 55
were also provided under 126
were also questions about 2134
were also realistic about 85
were also received about 128
were also recently found 58
were also recently shown 40
