wan yellow light of 46
war already began to 46
war always ended by 59
war always seems to 76
war always tends to 41
war appears waged in 142
war became known as 426
war became known in 118
war became known to 52
war before engaging in 50
war before joining the 69
war before known or 405
war before turning to 44
war beside which the 51
war canada would be 46
war caused people to 53
war chariot drawn by 154
war clouds began to 1875
war clouds looming on 58
war crimes after the 375
war crimes based on 106
war crimes began to 43
war crimes cases in 149
war crimes could be 154
war crimes court in 100
war crimes court to 60
war crimes might be 41
war crimes shall be 241
war crimes since the 111
war crimes trials as 414
war crimes trials at 657
war crimes trials by 136
war crimes trials in 4081
war crimes trials is 160
war crimes trials of 1552
war crimes trials on 85
war crimes trials or 159
war crimes trials the 75
war crimes trials to 237
war crimes under the 697
war crimes within the 281
war crimes would be 764
war damage would be 44
war debate about the 136
war effort after the 406
war effort aimed at 71
war effort based on 119
war effort began in 118
war effort began to 393
war effort could be 780
war effort either in 46
war effort might be 712
war effort seems to 58
war effort since the 229
war effort under the 304
war effort until it 40
war effort until the 287
war effort which he 45
war effort which is 137
war effort which it 45
war effort which the 107
war effort while at 66
war effort while the 248
war effort within the 131
war effort would be 3858
war england would be 204
war europe would be 153
war except under the 136
war except where the 55
war faction within the 52
war forced people to 70
war fought since the 46
war fought under the 243
war fought within the 111
war france would be 279
war helped create the 41
war itself acted as 45
war itself began to 94
war itself could be 303
war itself ended in 49
war itself might be 215
war itself seems to 115
war itself which is 97
war itself would be 750
war lasted until the 382
war levels until the 98
war loomed again in 46
war loomed large in 151
war loomed large on 67
war measure aimed at 87
war measure under the 65
war measure which is 53
war movies where the 172
war offers place to 45
war orders began to 311
war plants began to 50
war plants built by 95
war plants would be 93
war poland would be 70
war policy based on 49
war policy which he 112
war policy which is 139
war policy which the 103
war policy within the 87
war policy would be 294
war powers given to 45
war powers might be 42
war powers under the 250
war prices would be 50
war proved fatal to 274
war record would be 164
war seemed about to 566
war seemed close at 40
war seemed close to 46
war seemed rather to 62
war seldom fails to 66
war should again be 106
war should appear to 51
war should apply to 43
war should arise in 209
war should begin in 96
war should belong to 84
war should either be 58
war should ensue the 44
war should enter the 62
war should first be 45
war should never be 856
war should occur in 70
war should prove to 93
war should serve as 130
war should serve to 56
war should spread to 110
war should start in 75
war should still be 175
