wage structure which would 98
wait patiently until morning 45
wake generally about seven 55
wall stainless steel tubes 52
want perfectly plain stuff 54
warm admiration every where 47
warm distilled water until 178
wash themselves every morning 193
wash themselves would never 105
wash thoroughly under running 161
wealth generally gives above 133
well appointed force would 68
well collapsed after milking 56
well convinced which holds 52
well developed moral sense 43
well developed round skull 61
well developed shrub layer 131
well developed until about 71
well developed until after 90
well organized trade unions 48
well organized working class 41
well qualified teaching staff 68
well regulated paper money 132
went regularly every morning 76
went regularly every night 44
went regularly round until 47
went spluttering under water 47
went unnoticed until after 71
were abandoned after world 56
were abandoned while others 65
were abolished after world 48
were abolished which never 42
were addressed every evening 67
were altogether about forty 70
were altogether about thirty 108
were anonymous phone calls 49
were approaching squaw creek 71
were arguments which could 41
were assembled about eight 57
were assembled about fifty 94
were assembled about forty 48
were associated seven others 45
were authorized under title 58
were available under title 83
were available until after 59
were available which could 496
were available which might 79
were available which would 382
were basically talking about 46
were carefully taken apart 138
were certainly cases where 76
were certainly fully aware 48
were certainly quite right 93
were certainly quite unfit 41
were certainly right about 381
were certainly talking about 70
were collected about every 45
were collected every morning 64
were collected twice daily 224
were committed under color 44
were committed under cover 47
were committed which could 77
were committed while under 63
were compassed about seven 468
were completed until after 64
were completed within about 46
were concerned about anything 55
were concerned about black 64
were concerned about changing 44
were concerned about child 149
were concerned about china 98
were concerned about civil 62
were concerned about costs 79
were concerned about creating 113
were concerned about crime 253
were concerned about drugs 44
were concerned about falling 51
were concerned about finding 244
were concerned about getting 482
were concerned about growing 123
were concerned about helping 71
were concerned about human 110
were concerned about japan 86
were concerned about keeping 339
were concerned about labor 48
were concerned about large 44
were concerned about learning 46
were concerned about legal 44
were concerned about local 74
were concerned about meeting 176
were concerned about missing 46
were concerned about money 89
were concerned about others 79
were concerned about people 146
were concerned about price 41
were concerned about putting 61
were concerned about racial 83
were concerned about raising 58
were concerned about reaching 51
were concerned about russia 58
were concerned about sending 55
were concerned about setting 58
were concerned about social 688
were concerned about taxes 44
were concerned about teaching 43
were concerned about threats 123
were concerned about water 157
were concerned about where 199
were concerned about which 56
were concerned about women 201
were concerned about working 135
were concerned about world 47
were concerned would never 43
were conditions under which 505
were conditions which could 104
were conditions which might 41
were conducted every morning 47
were conducted under cover 84
were conducted under field 135
were conducted under guard 43
were conducted under rules 44
were conducted under steady 66
were conducted under varying 69
were confident would never 64
were conflicting views about 209
were conflicting views within 61
were considering legal action 87
were continued after world 53
were continued daily until 55
were continued night after 105
were continued until about 165
were continued until after 122
were continued until april 93
were continued until march 93
were convinced would never 42
were countless ruddy hangings 44
were decidedly uneasy about 48
were delivered every morning 53
were deposited under water 209
were described which could 50
were destroyed while others 62
were developed after world 408
were developed which allow 138
were developed which could 782
were developed which would 426
were developed while working 54
were different people would 108
were different views about 272
were different views within 73
were discussed above under 194
were discussed rather fully 47
were discussed which could 60
were discussed which might 54
were discussed which would 58
were dispersed every where 143
were displayed under glass 163
were divergent views about 96
were doubtless often thrust 58
were effective steps taken 52
were especially happy about 75
were especially taken aback 40
were especially uneasy about 41
were especially upset about 101
were especially vocal about 114
were evaluated under field 79
were evidently added after 51
were evidently drawing nearer 139
were evidently gaining again 68
were evidently named after 43
were evidently quite aware 47
were evidently quite fresh 98
were evidently quite willing 47
were evidently taken aback 56
were evidently talking about 99
were excellent words which 52
were excitedly talking about 105
were exhausted after working 69
were extracted under local 53
were extremely happy about 118
were extremely naive about 48
were extremely tired after 48
were extremely uneasy about 142
were extremely upset about 157
were extremely vague about 112
were extremely vocal about 89
were generally about eight 91
were generally about equal 53
were generally about seven 64
were generally about thirty 144
were generally about twice 129
were generally found within 64
were generally given under 60
were generally happy about 89
were generally known under 75
were generally named after 316
were generally oblong forms 127
were generally older people 42
were generally older women 66
were generally quite close 107
were generally quite happy 71
were generally quite large 98
were generally quite short 66
were generally quite small 541
were generally quite willing 112
were generally rather small 159
were generally short lived 230
were generally small scale 40
were generally uneasy about 55
were generally vague about 42
were generally working class 48
were generated which could 69
were genuinely taken aback 71
were gradually added others 59
were gradually added until 142
were gradually closing round 65
were gradually drawing nearer 371
were gradually falling under 43
were gradually getting nearer 167
were gradually getting worse 132
were gradually growing weaker 52
were gradually growing worse 42
were gradually sinking under 41
were important first steps 280
were important social units 49
were important steps taken 41
were important trade items 137
were increasingly uneasy about 169
were increasingly vocal about 80
were inspected every morning 50
were inspected twice daily 77
were instances where people 58
were instantly thrown round 43
were invariably found wanting 40
were justified under terry 96
were literally blown apart 65
were literally falling apart 210
were literally under siege 47
