wadded paper into the 94
waddling about like an 45
wafted gayly past the 77
wagons carry away the 43
wagons could make it 51
wagons could make the 75
wagons could only be 47
wagons could reach the 41
wagons drove into the 46
wagons mired down in 41
wagons moved along the 142
wagons passing along the 52
wagons passing over it 75
wagons passing over the 48
wagons rolling along the 52
wagons rolling down the 47
wagons rolling into the 57
wagons rolling over the 47
wagons stuck fast in 201
wagons taken from the 52
wagons which were in 97
wagons which were to 235
wagons which will be 43
wagons would have to 365
wagons would make the 41
wagons would sink to 61
wagons would sink up 46
waited about half an 1096
waited about till the 65
waited above half an 71
waited again till the 55
waited again upon the 131
waited below till the 58
waited eight days in 54
waited eight days to 42
waited eight years to 302
waited fifty years to 290
waited first upon the 53
waited forty years to 227
waited fully half an 60
waited nearly half an 453
waited seven days in 44
waited seven days to 52
waited seven years to 438
waited sixty years to 59
waited thirty years to 382
waited until dark to 473
waited until dawn to 193
waited until dusk to 99
waited until early in 61
waited until fall to 57
waited until four in 74
waited until half an 73
waited until half the 80
waited until july to 71
waited until june to 119
waited until just the 193
waited until last to 157
waited until late at 264
waited until late in 906
waited until late the 51
waited until late to 54
waited until most of 856
waited until nine in 48
waited until noon in 45
waited until noon the 63
waited until noon to 138
waited until only the 43
waited until some of 393
waited until spring to 180
waited until three in 84
waited until time to 60
waited until what he 47
waiter comes over to 151
waiter takes away the 56
waiter would come up 51
waiter would have to 75
waiter would like to 41
waiter wrote down the 41
waived where there is 62
waiver shall have the 117
waiver thereof prior to 73
waiver would have to 127
walked about among my 87
walked about among the 1842
walked about among us 47
walked about during the 200
walked about five or 56
walked about four or 61
walked about half an 252
walked about half the 166
walked about hand in 112
walked about just as 259
walked about like an 110
walked about most of 57
walked about only in 94
walked about over the 230
walked about saying to 74
walked about three or 112
walked about till he 80
walked about till the 87
walked about trying to 211
walked about upon the 83
walked again along the 159
walked again amid the 59
walked again among the 118
walked again down the 76
walked again into the 327
walked again over the 45
walked again past the 60
walked again upon the 84
walked alone along the 699
walked alone among the 249
walked alone back to 190
walked alone down the 891
walked alone down to 238
walked alone from the 221
walked alone into the 1047
walked alone over the 224
walked alone past the 41
walked alone upon the 120
walked ankle deep in 95
walked apart from the 377
walked aside from the 98
walked daily along the 47
walked daily over the 40
walked easily along the 75
walked easily down the 94
walked easily into the 116
walked easily over to 50
walked either side of 50
walked erect into the 49
walked every foot of 287
walked every inch of 643
walked every mile of 94
walked every step of 818
walked every yard of 73
walked fifty feet to 53
walked first along the 64
walked first among the 219
walked first into the 128
walked forty years in 176
walked fully into the 67
walked gaily along the 58
walked gaily down the 40
walked looking down at 49
walked miles along the 144
