waged jihad against the 57
wages earned between the 49
wages earned outside the 212
wages falls exactly as 42
wages fixed according to 45
wages might increase to 46
wages thirty shekels of 101
wages varying according to 84
wages which precede the 142
wages which prevail in 109
wages which results in 45
wages while preparing the 52
wages would decline to 62
wages would destroy the 45
wages would increase as 41
wages would increase at 41
wages would increase by 149
wages would increase in 45
wages would increase the 360
wages would increase to 46
wages would persist if 67
wages would proceed no 55
wages would provide the 42
wages would suffice to 53
wagon stood outside the 49
wagon train arrived at 156
wagon train arrived in 126
wagon train crossed the 159
wagon train guarded by 64
wagon train stopped at 52
wagon which belonged to 52
wagon which brought the 71
wagon which carried the 255
wagon which carries the 52
wains which carried the 122
waiting crowd outside the 68
waiting lines outside the 63
waiting lists because of 70
waiting period applies to 144
waiting period because of 132
waiting period between the 5436
waiting period depends on 151
waiting period following the 552
waiting period imposed by 327
waiting period imposed on 134
waiting period preceding the 109
waiting period remains in 79
waiting right outside the 811
waiting times between the 135
waiting until everything is 117
waiting until january to 46
waiting until marriage or 102
waiting until marriage to 447
walking about between the 124
walking about dressed in 92
walking about outside the 210
walking again towards the 115
walking alone between the 48
walking alone outside the 90
walking alone towards the 69
walking close together in 49
walking space between the 98
walking stick against the 1068
walking tours offered by 117
walking turns blankly on 89
walking under ladders is 44
walking under ladders or 109
walks about examining the 48
walls after removal of 52
walls built according to 52
walls built against the 171
walls built between the 132
walls glare between the 42
walls often consist of 57
walls raining showers of 59
walls running between the 68
walls shall conform to 78
walls shall consist of 72
walls shall crumble to 400
walls stood proudly in 50
walls which appeared to 102
walls which belonged to 54
walls which bounded it 44
walls which bounded the 105
walls which carried the 46
walls which confine it 51
walls which confine the 66
walls which connect the 44
walls which consist of 128
walls which contain it 77
walls which contain the 149
walls which covered the 79
walls which divided the 312
walls which enclose an 49
walls which enclose it 190
walls which enclose the 978
walls which flanked the 147
walls which guarded the 84
walls which inclose it 89
walls which inclose the 293
walls which prevent the 117
walls which protect the 141
walls which reflect the 71
walls which results in 72
walls which support it 135
walls which support the 510
walls which sustain the 50
walls would prevent the 45
wanting every element of 141
wanting which revealed the 56
wants above everything to 55
wants every citizen to 46
wants every student to 61
wants group members to 49
wants total control of 86
warming could increase the 198
warming trend between the 44
warming would increase the 256
warmth which affects us 47
warmth which belonged to 61
warmth which renders the 47
warning bells sounded in 60
warning bells started to 52
warning given against the 84
warning light appeared on 49
warning light blinked on 128
warning light flashed in 188
warning light flashed on 493
warning light flashes on 115
warning light remains on 68
warning might perhaps be 87
warning others against the 193
warning people against the 588
warning radar stations in 48
warning signs against the 45
warning signs appeared of 42
warning signs include the 229
warning signs regarding the 63
warning signs related to 69
warning units capable of 46
warning voice against it 198
warning voice against the 1705
warning voice sounded in 109
warning women against the 90
warns people against the 81
washing dirty laundry in 127
washing helps prevent the 42
washing sweet potatoes in 233
washing which removes the 133
wasps stuck against the 49
wasps which reduced the 51
waste lands adjoining the 50
waste lands belonged to 50
waste lands between the 86
waste lands capable of 116
waste lands outside the 44
waste large amounts of 1237
waste large portions of 107
waste large sections of 120
waste paper baskets in 46
waste paper baskets of 210
waste paper between the 53
waste sites because of 103
waste sites located in 141
waste space between the 295
waste water according to 92
waste water because of 53
waste which results in 42
waste would increase the 55
wasting asset subject to 57
wasting forty millions of 70
wasting large amounts of 382
watch every episode of 165
watch hands pointed to 41
watch large amounts of 141
watch large numbers of 118
watch night service at 91
watch night service in 41
watch thirty minutes of 44
watch which belonged to 178
watch which strikes the 41
watch while listening to 119
water about halfway up 159
water added according to 56
water added depends on 53
water after addition of 236
water after receiving the 49
water after removal of 206
water after storage in 73
water again drowned the 50
water binding ability of 50
water boils depends on 79
water borne diseases as 41
water borne diseases in 251
water breaking against the 192
water broke against the 105
water color painted by 46
water color paintings by 165
water color paintings of 323
water color picture of 44
water comes halfway up 196
water cooling systems in 92
water cooling systems of 43
water could collect in 110
water could explain the 43
water could increase the 84
water could perhaps be 44
water could provide the 42
water could usually be 68
water dashing against the 289
water every fifteen or 187
water every fifteen to 57
water every quarter of 145
water exist together in 45
water falling between the 44
water films between the 128
