waded and splashed in 54
wafer was immersed in 67
waged and continue to 66
waged for conquest or 100
waged for purposes of 106
waged for thousands of 40
waged his campaign in 60
waged his campaign on 59
wager was accepted by 41
wages and abolition of 96
wages and attempts to 40
wages and benefits as 1456
wages and benefits at 395
wages and benefits by 312
wages and benefits if 125
wages and benefits in 1746
wages and benefits is 314
wages and benefits it 72
wages and benefits of 1670
wages and benefits on 163
wages and benefits or 238
wages and benefits so 101
wages and benefits the 134
wages and benefits to 1710
wages and benefits up 43
wages and comforts of 86
wages and condition of 231
wages and continue to 75
wages and decreased the 44
wages and decreases in 71
wages and deprived of 41
wages and diminish the 47
wages and displace the 40
wages and expansion of 68
wages and expected to 51
wages and expenses in 141
wages and expenses of 871
wages and expenses to 114
wages and improved the 83
wages and increased the 191
wages and increases in 359
wages and increases the 92
wages and inflation in 89
wages and inflation is 52
wages and insisted on 84
wages and interest as 351
wages and interest at 113
wages and interest by 62
wages and interest do 124
wages and interest in 376
wages and interest is 200
wages and interest of 92
wages and interest on 653
wages and interest or 43
wages and interest to 323
wages and liveries as 166
wages and maintain the 69
wages and materials in 111
wages and materials of 47
wages and materials to 52
wages and mobility of 52
wages and overtime in 41
wages and overtime to 47
wages and payments in 73
wages and payments of 86
wages and payments to 160
wages and promised to 44
wages and promises of 65
wages and property of 72
wages and provision of 143
wages and purchase of 178
wages and quantity of 58
wages and reduction in 183
wages and reduction of 436
wages and regulate the 55
wages and regulating the 51
wages and restrict the 60
wages and resulted in 89
wages and returned to 93
wages and salaries as 4922
wages and salaries at 1022
wages and salaries be 183
wages and salaries by 1545
wages and salaries do 302
wages and salaries go 87
wages and salaries he 44
wages and salaries if 100
wages and salaries in 11927
wages and salaries is 2662
wages and salaries it 161
wages and salaries of 12732
wages and salaries on 955
wages and salaries or 920
wages and salaries so 244
wages and salaries the 421
wages and salaries to 5154
wages and salaries up 976
wages and salaries we 57
wages and scarcity of 160
wages and security of 300
wages and shortage of 95
wages and shortening of 391
wages and shortening the 112
wages and standard of 1510
wages and supplies of 57
wages and therefore in 74
wages and therefore of 46
wages and therefore on 50
wages and therefore the 196
wages and therefore to 73
wages and threatened to 87
wages and treatment in 44
wages and treatment of 126
wages and victuals of 231
wages are accepted in 43
wages are actually or 129
wages are adequate to 92
wages are adjusted by 98
wages are adjusted in 124
wages are adjusted to 302
wages are advanced by 95
wages are advanced in 41
wages are advanced to 102
wages are affected by 520
wages are assigned to 93
wages are attached or 50
wages are attached to 163
wages are believed to 84
wages are compared to 51
wages are computed as 49
wages are computed by 115
wages are computed on 142
wages are constant in 62
wages are credited to 49
wages are deflated by 169
wages are designed to 44
wages are entitled to 89
wages are essential to 205
wages are examples of 48
wages are expected to 790
wages are flexible in 138
wages are followed by 43
wages are governed by 477
wages are included in 496
wages are increased as 92
wages are increased at 54
wages are increased by 344
wages are increased in 178
wages are increased or 89
wages are increased the 48
wages are increased to 174
wages are injurious to 46
wages are intended to 61
wages are obtained by 133
wages are presumed to 67
wages are probably the 45
wages are produced in 50
wages are received by 121
wages are received in 53
wages are reckoned by 52
wages are recorded in 70
wages are referred to 74
wages are regarded as 351
wages are relative to 56
wages are replaced by 50
wages are reported as 139
wages are reported in 86
wages are reported on 92
wages are reported to 110
wages are required to 286
wages are restored to 50
wages are stagnant or 55
wages are supposed to 470
wages are unlikely to 243
wages being employed in 92
wages being received by 65
wages can continue to 47
wages can therefore be 53
wages for africans in 82
wages for everyone in 49
wages for hundreds of 78
wages for laborers in 99
wages for laborers on 45
wages for performing the 81
wages for purposes of 1824
wages for services as 83
wages for services in 80
wages for thousands of 169
wages had declined by 151
wages had declined in 51
wages had declined to 83
wages had increased at 61
wages had increased by 527
wages had increased in 101
wages had increased to 231
wages had remained at 123
wages had remained the 107
wages had resulted in 54
wages had returned to 56
wages has increased in 108
wages has increased the 61
wages has resulted in 141
wages low relative to 51
wages may actually be 48
wages may continue to 74
wages may therefore be 113
wages not included in 121
wages not included on 49
wages now received by 46
wages per employee in 177
wages that amounted to 89
wages that exceeded the 64
wages that followed the 71
wages that occurred in 141
wages they received as 120
wages they received in 180
wages was accepted by 40
wages was expended in 57
wages was extended to 68
wages was followed by 89
wages was intended to 48
wages was provided by 44
wages was regarded as 239
wages was rejected by 54
wages was replaced by 43
wages was required to 45
wages was supposed to 62
wages with increases in 58
wagging his forefinger at 233
wagon and conveyed to 97
wagon and followed the 94
wagon and listened to 52
wagon and prepared to 132
wagon and returned to 261
wagon was assigned to 57
wagon was attached to 81
wagon was attacked by 59
wagon was designed to 60
wagon was detailed at 42
wagon was followed by 91
wagon was occupied by 65
wagon was replaced by 70
wagon was required to 108
wagon was supposed to 82
waifs and outcasts of 52
waifs and wastrels of 59
wails and protests of 41
waist and adjusted the 49
waist and attached it 50
waist and attached to 183
waist and caressed the 45
waist and descending to 131
waist and entreated me 50
waist and fastened at 41
waist and fastened by 57
waist and fastened in 47
waist and fastened it 158
waist and fastened on 75
waist and fastened the 84
waist and fastened to 69
waist and followed the 45
waist and pointers at 45
waist and prepared to 77
waist and returned to 82
waist and squeezed it 105
waist and threatened to 53
waist and unraveling in 45
waist was confined by 43
waiting and prepared to 67
waiting and returned to 219
waiting and struggling in 56
waiting area adjacent to 94
waiting for achilles to 57
waiting for admission at 86
waiting for admission to 1234
waiting for anderson to 64
waiting for applause or 44
waiting for applause to 49
waiting for approval by 210
waiting for approval of 398
waiting for approval or 71
waiting for approval to 175
waiting for attention at 51
waiting for attention in 99
waiting for authority to 129
waiting for benefits to 46
waiting for benjamin to 44
waiting for breakfast at 106
waiting for breakfast he 71
waiting for breakfast in 111
waiting for breakfast to 362
waiting for breakfast we 63
waiting for burnside to 41
waiting for business to 420
waiting for campbell to 42
waiting for caroline to 144
waiting for catherine to 126
waiting for children to 570
waiting for clearance to 566
waiting for commands to 45
waiting for concrete to 82
waiting for darkness so 125
waiting for darkness to 962
waiting for daylight in 94
waiting for daylight so 252
waiting for daylight to 1002
waiting for decisions on 55
waiting for decisions to 184
waiting for delivery of 483
waiting for delivery on 40
waiting for delivery to 122
waiting for disaster to 354
waiting for elizabeth to 295
waiting for engineers to 54
waiting for entrance to 88
waiting for eternity to 68
waiting for everyone in 50
waiting for everyone to 1939
waiting for evidence of 367
waiting for evidence to 126
