walked were constantly bent 44
wanted more information from 268
wanted some assurances from 45
wanted some information from 224
wanted some reassurance from 48
warped their principles from 72
wastes were discharged into 200
waters have miraculous healing 42
waters were discharged into 127
waters were introduced into 140
waters were profoundly dark 83
weapons most frequently used 51
weapons were integrated into 44
weapons were introduced into 242
weekly radio broadcasts from 82
weekly radio broadcasts over 42
weight were calculated from 41
weight were restricted from 78
whence their destruction came 757
whence their forefathers came 227
whence there eventually grew 47
whence these advantages were 44
whence these distresses have 49
whence these emissaries were 83
whence these principles have 48
whereas other defendants must 58
whereas other researchers have 212
whereas other substances such 49
whereas some researchers have 47
whereas such authorities must 42
whereas your petitioners have 56
whether lord cornwallis will 61
whether some complaints have 44
whether some particular fact 153
whether such activities have 48
whether such activities were 165
whether such activities will 63
whether such agreements were 106
whether such allegations were 73
whether such associations were 42
whether such facilities were 45
whether such information will 92
whether such initiatives will 48
whether such legislation will 85
whether such principles have 309
whether such procedures have 69
whether such procedures were 46
whether such prophecies were 56
whether such regulations were 54
whether such regulations will 52
whether such securities were 73
whether such segregation also 817
whether such statements have 42
whether such statements were 221
whether such structures were 57
whether their activities have 81
whether their activities were 226
whether their activities will 67
whether their application will 64
whether their assailants were 42
whether their businesses were 47
whether their characters were 67
whether their complaints were 130
whether their conclusions were 65
whether their grievances were 50
whether their objectives have 48
whether their objectives were 59
whether their perceptions were 60
whether their predictions were 373
whether their principles were 81
whether their professions were 40
whether their statements were 91
whether these accusations were 93
whether these activities have 165
whether these activities take 54
whether these activities were 325
whether these activities will 107
whether these advantages were 49
whether these advantages will 76
whether these agreements have 54
whether these agreements were 55
whether these agreements will 50
whether these allegations were 171
whether these alterations were 82
whether these appearances were 43
whether these approaches will 99
whether these associations were 76
whether these assumptions have 66
whether these assumptions hold 111
whether these assumptions were 130
whether these attributes were 50
whether these categories have 67
whether these categories were 66
whether these characters were 56
whether these complaints have 55
whether these complaints were 137
whether these concessions were 55
whether these conclusions have 50
whether these conclusions hold 47
whether these conclusions were 50
whether these conclusions will 42
whether these convictions were 52
whether these criticisms were 61
whether these defendants were 50
whether these departures from 49
whether these expressions were 84
whether these guidelines have 55
whether these guidelines were 43
whether these impressions were 53
whether these industries have 40
whether these influences were 49
whether these influences will 42
whether these initiatives will 128
whether these innovations were 71
whether these innovations will 43
whether these limitations were 41
whether these localities were 51
whether these mechanisms have 50
whether these negotiations were 41
whether these objectives have 319
whether these objectives were 127
whether these objectives will 48
whether these parameters were 40
whether these perceptions were 69
whether these precautions were 49
whether these predictions were 98
whether these predictions will 46
whether these principles have 178
whether these principles were 242
whether these principles will 81
whether these procedures have 73
whether these procedures were 74
whether these procedures will 62
whether these properties hold 42
whether these properties were 46
whether these regulations have 55
whether these regulations were 144
whether these regulations will 72
whether these resolutions were 47
whether these resolutions will 40
whether these sentiments were 73
whether these statements have 57
whether these statements were 394
whether these statements will 54
whether these strategies have 54
whether these strategies were 65
whether these strategies will 56
whether these structures have 86
whether these structures were 165
whether these substances have 109
whether these substances were 194
whether these suggestions have 40
whether these suggestions were 65
whether these suggestions will 47
whether these techniques have 50
