wafer nor cup . 49
wafted her way . 97
wafted his way . 89
wafted our way . 53
wafting his way . 41
wag ere now . 51
wag his head . 563
wag its head . 64
wage and win . 110
wage any war . 103
wage each year . 59
wage for all . 226
wage for each . 40
wage for him . 50
wage for men . 245
wage for them . 163
wage his law . 1386
wage his war . 149
wage per day . 209
wage per man . 50
wage per year . 46
wage than men . 152
wage that war . 212
wage this war . 798
wage war with . 144
wage was low . 50
waged and won . 568
waged for them . 40
waged his law . 116
waged his war . 48
waged that war ? 48
waged this war . 49
wager for him . 138
wager for you . 92
wager was won . 129
wager with god . 107
wager with him . 211
wager with you . 494
wagers with him . 41
wages and pay . 53
wages are cut . 121
wages are death . 114
wages are due . 277
wages are low . 3200
wages are not . 160
wages are set . 229
wages can buy . 161
wages did not . 199
wages due her . 55
wages due him . 426
wages due them . 547
wages each year . 216
wages for all . 548
wages for both . 47
wages for her . 44
wages for him . 207
wages for men . 375
wages for that . 58
wages for them . 622
wages for this . 52
wages for you . 58
wages had not . 60
wages per day . 346
wages per head . 88
wages per man . 80
wages per year . 247
wages than men . 1540
wages that day . 47
wages that way . 42
wages that year . 65
wages then due . 95
wages they can . 53
wages they earn . 369
wages they get . 161
wages they got . 78
wages they pay . 317
wages this year . 142
wages too low . 164
wages was low . 48
wages with him . 62
wages with men . 127
wages with them . 174
wages with you . 54
wages you pay . 74
wagged her head . 1121
wagged his head . 5818
wagged his wings . 58
wagging her head . 1115
wagging his head . 5477
wagging its head . 63
waggling his head . 137
waggling his wings . 78
waggling its wings . 57
waggon and team . 92
waggon with hay . 42
waging his law . 89
waging that war . 141
waging this war . 302
wagon all day . 113
wagon and all . 226
wagon and team . 1305
wagon for her . 146
wagon for him . 175
wagon for them . 137
wagon for you . 312
wagon one day . 46
wagon per day . 60
wagon that day . 60
wagon with ease . 59
wagon with hay . 227
wagon with her . 145
wagon with him . 448
wagon with them . 279
wagon with you . 79
wagons and all . 102
wagons and men . 166
wagons each day . 43
wagons per day . 377
wagons per year . 51
wagons with him . 114
wagons with them . 337
wags her head . 136
wags his head . 665
wah wah wah . 97
wail and cry . 774
wail and sob . 109
wail for him . 316
wail his death . 55
wailed for him . 145
wailed this plea . 40
wailed with her . 100
wailing and singing . 142
wailing for him . 213
wailing for them . 99
waist and head . 112
waist and hem . 109
waist and hip . 382
waist and leg . 64
