wading and aquatic birds 163
wage and benefit costs 984
wage and benefit gains 564
wage and benefit level 117
wage and benefit plans 113
wage and benefit rates 193
wage and benefit terms 52
wage and capital costs 257
wage and exchange rates 98
wage and material costs 1175
wage and material price 52
wage and maximum hours 3315
wage and maximum working 318
wage and minimum hours 43
wage and payroll taxes 177
wage and shorter hours 347
wage for skilled labor 264
wage for workers under 89
wage gap between black 292
wage gap between japan 62
wage gap between large 240
wage gap between males 121
wage gap between rural 48
wage gap between white 649
wage gap between women 818
wage gap between working 42
wage war against allah 581
wage war against caesar 72
wage war against china 306
wage war against crime 43
wage war against egypt 158
wage war against either 41
wage war against every 250
wage war against heaven 98
wage war against islam 101
wage war against israel 887
wage war against japan 547
wage war against others 170
wage war against people 125
wage war against persia 213
wage war against russia 714
wage war against satan 162
wage war against serbia 122
wage war against spain 507
wage war against women 360
waging war against china 347
waging war against every 78
waging war against human 68
waging war against islam 181
waging war against israel 180
waging war against japan 168
waging war against people 63
waging war against russia 185
waging war against spain 175
waging war against women 64
wail that pierced every 54
wait for answers until 53
wait for captain lewis 107
wait for certain hours 121
wait for fiercer pains 63
wait for freedom until 44
wait for happier times 201
wait for jehovah shall 212
wait for justice until 40
wait for liberty until 47
wait for marriage until 171
wait for official action 157
wait for payment until 773
wait for perfect weather 168
wait for quieter times 117
wait for results until 41
wait for results which 40
wait for service until 123
wait for service while 43
wait for settled weather 80
wait for several hours 2515
wait for several months 1799
wait for several weeks 1184
wait for solution until 46
wait for spanish ships 135
wait for success until 46
wait for supreme court 94
wait for thursday night 43
wait ten minutes after 100
wait ten minutes longer 118
wait ten minutes until 205
wait ten minutes while 348
wait ten seconds after 48
wait with perfect trust 83
wake for several hours 204
walk and planted bower 89
walk for several hours 898
walk for several miles 784
walk for several months 318
walk for several weeks 232
walk for several yards 117
walk one hundred miles 344
walk one hundred yards 322
walk one thousand miles 49
walk out together stock 41
walk six hundred miles 45
walk ten thousand miles 63
walk two hundred miles 257
walk two hundred paces 193
walk two hundred yards 542
walk two thousand miles 62
walk with cautious steps 90
walk with clasped hands 63
walk with hurried steps 45
walk with measured steps 434
walk with regular steps 96
wall and orbital floor 189
wall and pleural space 59
wall and regional lymph 261
wall and regional nodes 133
wall and started running 50
wall and started walking 90
wall are several small 61
wall for several hours 119
wall for several months 72
wall for several weeks 56
wall for support until 49
wall for support while 81
wall its slender roots 85
wall that extends above 241
wall that language really 151
wall that towered above 81
wall two hundred yards 59
wall was carried round 172
wall was erected about 43
wall was erected round 78
wall was hastily built 54
wall was painted black 66
wall was painted white 125
wall was rebuilt after 44
wall with gossips looking 116
wall with masonry nails 143
wall with several gates 88
wane and dwindle after 40
want and poverty which 169
want and poverty would 92
want and suffering which 395
want any colored people 49
want any foolery about 61
want any question about 40
want any trouble about 121
want any trouble either 186
want her picture taken 207
want his picture taken 447
want our colored people 98
want that charity which 41
want that happening again 74
want that variety which 41
want they swerved apart 134
want you wandering about 54
ward and village level 238
ward and visible signs 109
ward for several hours 55
ward for several months 79
ward for several weeks 110
ward off anxiety about 151
ward off foreign threats 40
ward off impending danger 170
ward off urinary tract 91
warm and durable clothing 49
warm and faintly moist 41
warm and fertile lands 57
warm and fertile parts 42
warm and fertile river 72
warm and genuine feeling 68
warm and genuine smile 87
warm and gracious hosts 50
warm and gracious smile 51
warm and gracious woman 48
warm and peaceful feeling 45
warm and pleasant after 53
warm and pleasant again 44
warm and pleasant evening 117
warm and pleasant feeling 118
warm and pleasant march 52
warm and pleasant morning 58
warm and pleasant night 66
warm and pleasant place 93
warm and pleasant season 99
warm and pleasant smile 50
warm and pleasant voice 44
warm and pleasant weather 201
warm and quivering flesh 41
warm and reassuring about 47
warm and reassuring smile 64
warm and sanguine hopes 42
warm and settled weather 91
warm and shallow parts 64
warm and shallow water 133
warm and sincere feeling 65
warm and sincere smile 58
