wag backward and forward 59
war american and british 163
war animated them against 70
war directed not against 110
war domestic and foreign 92
war exploits and battles 48
war materials for britain 56
war materials for germany 44
war medicine and surgery 53
war relations with britain 105
war relations with germany 89
war rendered this compact 65
war situation was worsening 42
war strategy and postwar 53
war strategy and tactics 464
war supplies for britain 91
war veterans and members 195
war veterans and retired 48
war veterans and victims 197
was abandoning his warlike 42
was abducted and brought 117
was abducted and carried 81
was abducted and married 56
was abhorred and shunned 128
was abruptly and finally 43
was absolute and eternal 105
was absolute and perfect 64
was absolute and precise 82
was absolute and supreme 190
was absolute and unchanging 48
was absorbed and carried 97
was absorbed and content 155
was absorbed and emitted 48
was absorbed and weighed 67
was absorbed with thoughts 83
was abstract and general 129
was abundant and capital 45
was abundant and diverse 61
was abundant and fertile 68
was accepted and adapted 40
was accepted and adhered 43
was accepted and admired 152
was accepted and adopted 1159
was accepted and allowed 141
was accepted and appeared 170
was accepted and applied 400
was accepted and assumed 70
was accepted and blessed 144
was accepted and brought 88
was accepted and carried 399
was accepted and crowned 151
was accepted and elected 42
was accepted and enacted 83
was accepted and enjoyed 72
was accepted and entered 148
was accepted and everything 46
was accepted and finally 46
was accepted and granted 81
was accepted and honored 101
was accepted and ordered 399
was accepted and praised 90
was accepted and printed 606
was accepted and repeated 139
was accepted and revered 97
was accepted and started 103
was accepted and trained 108
was accepted and trusted 72
was accepted and written 58
was accepted for baptism 53
was accepted for college 45
was accepted for general 60
was accepted for himself 46
was accepted for medical 42
was accepted for officer 98
was accepted for payment 51
was accepted for service 790
was accepted for several 116
was accepted not because 107
was accepted that although 42
was accepted that britain 90
was accepted that certain 106
was accepted that germany 43
was accepted with acclaim 50
was accepted with avidity 185
was accepted with certain 133
was accepted with delight 387
was accepted with dignity 49
was accepted with evident 66
was accepted with extreme 46
was accepted with general 144
was accepted with genuine 46
was accepted with perfect 47
was accepted with pleasure 748
was accepted with profuse 41
was accepted with rapture 63
was accepted with regrets 58
was accepted with respect 87
was accepted with sincere 80
was accident that brought 147
was accorded due process 130
was accorded due respect 82
was accorded him because 40
was accorded low priority 107
was accorded top priority 211
was accurate and correct 165
was accurate and intense 77
was accurate and precise 100
was accurate and reliable 273
was accurate and thorough 112
was accurate and truthful 73
was accurate with respect 77
was achieved for several 92
was achieved not because 141
was achieved was largely 53
was achieved with increasing 61
was achieved with limited 43
was achieved with minimal 195
was achieved with minimum 76
