labile hypertensive patients 76
lacked experimental evidence 46
lacked intellectual capacity 76
lacked intellectual curiosity 139
lacked testamentary capacity 1135
landed aristocratic families 156
larger communication networks 45
larger compositional elements 44
larger concentration gradient 366
larger conservative movement 119
larger governmental entities 52
larger institutional contexts 174
larger institutional patterns 50
larger instrumental ensemble 50
larger intellectual currents 155
larger intellectual movement 231
larger intellectual patterns 147
larger intellectual tradition 113
larger international agencies 45
larger international airports 52
larger international audience 190
larger international concerns 72
larger international conflict 89
larger international dimension 54
larger international economic 176
larger international financial 54
larger international movement 204
larger international networks 49
larger international problems 46
larger international questions 44
larger international relations 51
larger international reserves 126
larger international security 42
larger international struggle 63
larger metaphysical questions 66
larger metropolitan concerns 45
larger metropolitan counties 58
larger metropolitan district 55
larger organizations maintain 47
larger parliamentary majority 84
larger productivity increases 56
larger proportionate increases 138
larger proportionate quantity 105
larger proportionate reduction 52
larger revolutionary analysis 42
larger revolutionary movement 187
larger revolutionary struggle 162
larger sociocultural contexts 105
larger sociocultural patterns 58
larger socioeconomic problems 48
larger unemployment benefits 51
lasses complacently conscious 108
lately considerably improved 49
lately considerably increased 82
latent intellectual capacity 50
latent revolutionary potential 167
latent tuberculosis infection 1925
latest agricultural machines 40
latest authenticated schedule 56
latest communication received 50
latest developments concerning 450
latest developments indicate 81
latest developments pertaining 111
latest experimental evidence 102
latest intellectual currents 67
latest intelligence concerning 167
latest intelligence received 243
latest intelligence respecting 67
latest international standard 52
latest parliamentary elections 197
latter circumstance accounts 135
latter circumstance deserves 41
latter circumstance explains 140
latter circumstance probably 55
latter circumstance procured 41
latter circumstance suggests 62
latter communicates directly 48
latter considerably exceeded 107
latter consideration explains 49
latter consideration involves 51
latter consideration requires 66
latter consideration suggests 88
latter punctiliously enjoined 73
latter respectfully declined 263
latter respectfully withdrawn 42
latter successfully defended 48
latter successfully resisted 97
lawful belligerents entitled 43
lawful governmental authority 229
lawful governmental functions 141
lawful governmental purposes 102
lawyer disciplinary agencies 86
leaders considerable latitude 42
leaders participated actively 91
leaders successfully resisted 79
leaflet displacement isolated 87
learned dissertations prefixed 145
learned helplessness approach 203
learned helplessness deficits 241
learned helplessness develops 174
learned helplessness involves 129
learned helplessness paradigm 2132
learned helplessness provides 115
learned helplessness response 184
learned helplessness situation 44
learned helplessness suggests 192
learned helplessness syndrome 597
learned helplessness treatment 53
learned inappropriate behaviors 114
learned instrumental response 273
learner participates actively 66
lenses specifically designed 106
lenses sufficiently powerful 58
lesions spontaneously involute 42
lesions superficially resemble 52
lesser agricultural products 62
lesser aristocratic families 43
lesser governmental officials 46
lesser intellectual capacity 122
letter specifically mentioned 63
letter specifically referred 55
letter subsequently received 168
letter sufficiently explains 205
levels dramatically increased 48
ligand concentration increases 486
ligand concentration required 206
likely experimental outcomes 50
limiting concentration gradient 51
limiting diaphragmatic excursion 63
limiting governmental authority 91
limiting intellectual property 50
limits diaphragmatic excursion 50
limits governmental authority 56
limits necessitates relative 75
limits underpayment interest 41
linked carbohydrate moieties 391
linked carbohydrate residues 70
liquid concentration gradient 153
liquid decomposition products 108
liquid hydrocarbons containing 51
liquid hydrocarbons initially 57
liquid hydrocarbons obtained 273
liquid hydrocarbons produced 214
liquid hydrocarbons suitable 67
liquid international financial 64
liquid international reserves 166
liquid scintillation analysis 390
liquid scintillation analyzer 741
liquid scintillation cocktail 1105
liquid scintillation counters 2156
liquid scintillation detection 309
liquid scintillation detector 1213
liquid scintillation solutions 92
liquid scintillator counters 56
liquid scintillator detector 343
liquid scintillator solutions 137
lithium concentration increases 139
litter decomposition dynamics 341
little agricultural activity 777
little agricultural potential 1346
little agricultural progress 169
little agricultural villages 208
little antibacterial activity 144
little antimicrobial activity 75
little archeological evidence 431
little authoritative guidance 305
little bactericidal activity 94
little circumstance happened 161
little circumstance mentioned 54
