labeling theory emphasizes 115
labels from containers 108
labels give information 130
labels giving information 54
labels have disappeared 69
labels into individual 152
labels most frequently 169
labels were considered 64
labels were determined 56
labels were frequently 69
labels were identified 54
labels were interested 138
labels were introduced 262
labels were irrelevant 40
labels were originally 87
labels when appropriate 45
labels will eventually 40
labile soil phosphorus 131
laboring more abundantly 53
laboring very diligently 44
labors left unfinished 74
labors more abundantly 246
labors more successful 46
labors most diligently 101
labors were abundantly 243
labors were acceptable 82
labors were appreciated 210
labors were considered 71
labors were constantly 72
labors were everywhere 75
labors were frequently 88
labors were productive 134
labors were prosecuted 77
labors were recognized 61
labors were remarkably 69
labors were restricted 42
labors were successful 319
labors were terminated 140
labors were undertaken 175
labors will eventually 52
lacked bathing facilities 80
lacked clear boundaries 61
lacked clear definitions 49
lacked clear guidelines 85
lacked clear objectives 221
lacked early advantages 59
lacked even elementary 138
lacked even sufficient 57
lacked firm foundations 46
lacked full appreciation 44
lacked full confidence 171
lacked full information 122
lacked full legitimacy 49
lacked good information 61
lacked good management 45
lacked high seriousness 85
lacked many advantages 78
lacked much experience 71
lacked name recognition 52
lacked prior experience 193
lacked self confidence 124
lacked some information 43
lacked such advantages 76
lacked such confidence 73
lacked such connections 68
lacked such elementary 48
lacked such experience 285
lacked such facilities 136
lacked such information 95
lacked their confidence 56
lacked their experience 96
lacked these advantages 344
lacked these attributes 161
lacked these facilities 109
lacked these properties 92
lacked these structures 46
lacked those advantages 42
lacked those attributes 97
lacked those properties 46
lacked work experience 90
lacked your assistance 45
lactic acid accumulate 1033
lactic acid accumulating 294
lactic acid aerobically 47
lactic acid coagulates 43
lactic acid derivative 75
lactic acid disappeared 111
lactic acid dissociates 109
lactic acid eliminated 70
lactic acid equivalent 199
lactic acid eventually 55
lactic acid frequently 52
lactic acid immediately 64
lactic acid interferes 59
lactic acid introduced 47
lactic acid measurement 55
lactic acid metabolism 1377
lactic acid originally 41
lactic acid originates 86
lactic acid represents 108
lactic acid stimulates 66
lactic acid utilization 68
ladder from elementary 59
ladder into management 70
ladies came downstairs 155
ladies from accompanying 48
ladies from charleston 54
ladies from northampton 88
ladies have absolutely 44
ladies have attendants 41
ladies have determined 65
ladies have disappeared 54
ladies have discovered 136
ladies have frequently 74
ladies have manifested 79
ladies have sufficient 42
ladies have undertaken 52
ladies like yourselves 120
ladies more remarkable 40
ladies riding sidesaddle 61
ladies rode sidesaddle 117
ladies soon discovered 50
ladies very frequently 49
ladies wearing crinolines 51
ladies were absolutely 76
ladies were accustomed 770
ladies were acquainted 72
ladies were apparently 242
ladies were astonished 240
ladies were attractive 42
ladies were beautifully 139
ladies were captivated 42
ladies were celebrated 169
ladies were completely 137
ladies were considered 177
ladies were constantly 236
ladies were definitely 43
ladies were delicately 53
ladies were determined 299
ladies were discovered 78
ladies were distributing 46
ladies were encouraged 227
ladies were enraptured 103
ladies were entertaining 55
ladies were enthusiastic 76
ladies were fascinated 97
ladies were frequently 224
ladies were frightened 253
ladies were immediately 253
ladies were imprisoned 93
ladies were indisposed 64
ladies were instructed 207
ladies were interested 747
ladies were introduced 607
ladies were miraculous 86
ladies were privileged 129
ladies were remarkable 101
ladies were remarkably 107
ladies were splendidly 54
ladies were successful 56
ladies were surrounded 96
ladies will understand 54
ladies wore crinolines 48
lament from monteverdi 40
lament over protracted 42
lament their deficiency 51
lament their deplorable 43
lament their destruction 74
lament their misfortune 443
lament your misfortune 169
lances were brandished 40
lances were splintered 157
landed from destroyers 66
landed from submarines 219
landed from transports 190
landed more frequently 54
landed their helicopter 53
landed there immediately 43
landings have fluctuated 71
landings were completely 49
landings were considered 42
landings were impossible 67
landings were relatively 61
landings were successful 441
landings were undertaken 55
languid eyes brightened 67
lapsed during persecution 101
lapsed from catholicism 75
lapsed from membership 75
lapsed into abstraction 48
lapsed into alcoholism 114
lapsed into bankruptcy 117
lapsed into bitterness 43
lapsed into convulsions 57
lapsed into degeneracy 43
lapsed into dependence 55
lapsed into disorderly 60
lapsed into drowsiness 52
lapsed into hysterical 48
lapsed into illiteracy 1326
lapsed into imbecility 53
lapsed into immobility 56
lapsed into inactivity 2427
lapsed into incoherent 51
lapsed into infidelity 114
lapsed into melancholia 77
lapsed into melancholy 470
lapsed into quiescence 159
lapsed into reflective 48
lapsed into skepticism 57
lapsed into somnolence 123
lapsed into traditional 47
lapsed into unconscious 42
lapsed into wilderness 45
lapses from conformity 61
lapses from discipline 75
lapses from examination 112
lapses from rationality 109
lapses from scientific 71
lapses from traditional 41
lapses into alcoholism 59
lapses into caricature 61
lapses into coarseness 56
lapses into illiteracy 172
lapses into immorality 68
lapses into inactivity 92
lapses into mechanical 43
lapses into melancholy 185
lapses into quiescence 50
lapses into relativism 40
lapses into rhetorical 55
lapses into tenderness 47
lapses into traditional 45
lapses into unconscious 83
lapses were calculated 40
lapses were inevitable 40
larger areas cultivated 48
larger body representing 46
larger book collections 86
larger book publishers 57
larger cell aggregates 97
larger cell organelles 112
larger cell populations 66
larger cell structures 40
larger city government 67
larger city newspapers 105
larger city populations 76
larger data structures 247
larger data warehouses 56
larger drag coefficient 101
larger during inspiration 62
larger farm businesses 158
larger farm households 145
larger farm implements 88
larger film thicknesses 245
larger fish populations 51
larger flow velocities 151
larger food processors 64
larger from correlation 104
larger fuel consumption 77
larger home consumption 75
larger land allotments 66
larger left hemisphere 101
larger life experience 103
larger load capacities 49
larger load resistance 108
larger mass difference 46
larger more aggressive 55
larger more continuous 67
larger more encompassing 70
larger more impersonal 76
larger more prestigious 40
larger more profitable 67
larger more prosperous 46
larger more specialized 51
larger more successful 59
larger north vietnamese 63
larger note circulation 44
larger ones apparently 44
larger ones correspond 42
larger ones frequently 139
larger ones representing 83
larger part represents 62
larger port facilities 40
larger radio telescopes 320
larger reading vocabulary 94
larger risk management 55
larger room downstairs 115
larger seating capacities 97
larger single enterprise 76
larger size aggregates 53
larger size categories 476
larger size conductors 138
larger size containers 70
larger size difference 59
larger soil aggregates 97
larger south vietnamese 60
larger time commitment 116
larger time difference 45
larger time increments 105
larger time investment 40
larger union membership 60
larger user populations 77
larger wave amplitudes 123
larger were considered 49
larger when calculated 83
larger your vocabulary 176
larval fish populations 106
larval food consumption 100
larval rearing techniques 156
larynx during inspiration 531
larynx during respiration 234
larynx most frequently 46
lasers have relatively 62
lasers have sufficient 56
lasers were discovered 66
lasers were fabricated 280
lasers were introduced 155
lasers were originally 41
lashed into excitement 50
lashed into tremendous 351
lashes those pretenders 81
lashes were considered 47
lassie from lancashire 67
lasted five generations 88
lasted five successive 48
lasted four generations 54
lasted many generations 215
lasted three generations 237
lasted three successive 177
lately been accurately 78
lately been accustomed 1249
lately been acquainted 85
lately been advertised 78
lately been aggravated 44
lately been appreciated 62
lately been approached 52
lately been astonished 60
lately been attributed 130
lately been beautifully 87
lately been calculated 78
lately been celebrated 649
lately been circulated 176
lately been classified 50
lately been completely 204
lately been confounded 72
lately been considered 605
lately been contracted 46
lately been conversant 137
lately been criticized 105
lately been cultivated 170
lately been dangerously 41
lately been deciphered 100
lately been definitely 54
lately been demolished 241
lately been designated 171
lately been determined 340
lately been devastated 55
lately been diminished 88
lately been discharged 221
lately been discovered 10679
lately been disfigured 42
lately been disinterring 61
lately been dismantled 44
lately been dispatched 54
lately been distracted 60
lately been elaborated 63
lately been elucidated 55
lately been emphasized 174
lately been encouraged 135
lately been experiencing 190
lately been extinguished 83
lately been extricated 41
lately been fashionable 133
lately been formulated 63
lately been frequented 40
lately been frequently 151
lately been furloughed 102
lately been identified 319
lately been implicated 41
lately been imprisoned 140
lately been instituted 391
lately been instructed 78
lately been interested 245
lately been introduced 7151
lately been maintained 479
lately been manifested 239
lately been modernized 48
lately been ornamented 61
lately been overlooked 77
lately been proclaimed 304
lately been prohibited 105
lately been pronounced 147
lately been propagated 105
lately been propounded 114
lately been proscribed 52
lately been prosecuted 93
lately been recognized 626
lately been reconciled 162
lately been reinforced 306
lately been reinstated 46
lately been reiterated 43
lately been reorganized 147
lately been reproduced 188
lately been restricted 47
lately been sacrificed 89
lately been stimulated 62
lately been strengthened 272
lately been successful 189
lately been superseded 261
lately been supplanted 57
lately been suppressed 172
lately been surrounded 95
lately been transacted 40
lately been translated 1007
lately been understood 47
lately been undertaken 323
lately been vigorously 49
lately been vindicated 41
lately from charleston 79
lately lord chancellor 45
lately lord lieutenant 40
lately made accessible 97
lately made acquainted 84
lately made application 109
lately made archbishop 58
lately more determined 101
lately more frequently 50
lately much aggravated 43
lately much diminished 115
lately much interested 255
lately much straitened 50
lately seen advertised 40
latent iron deficiency 531
latest book information 549
latest citing references 84
latest data obtainable 48
latest date assignable 45
latest drug information 64
latest farm implements 56
latest farm technology 78
latest gatt negotiations 55
latest health information 201
latest high technology 289
latest media technology 89
latest mining techniques 61
latest mining technology 44
latest news dispatches 57
latest north vietnamese 67
latest peace initiatives 44
latest radio telescopes 189
latest slang expressions 84
latest test information 75
latest video technology 100
latest word processors 81
latter also complained 47
latter also considered 131
latter also constitute 182
latter also contribute 161
latter also contributing 43
latter also controlled 260
latter also determined 163
latter also determines 260
latter also discovered 52
latter also emphasizes 50
latter also frequently 564
latter also influenced 114
latter also influences 130
latter also introduced 173
latter also introduces 57
latter also maintained 42
latter also recognized 50
latter also representing 64
latter also represents 406
latter also translated 266
latter case apparently 117
latter case appropriate 44
latter case constituting 56
latter case difference 47
latter case experience 44
latter case frequently 248
latter case government 109
latter case indirectly 52
latter case individual 68
latter case information 89
latter case management 44
latter case negatively 57
latter case particular 82
latter case presumably 85
latter case recognition 58
latter case representing 62
latter case represents 494
latter case subsequent 47
latter case sufficient 70
latter date represents 40
latter days obstructed 110
latter days unburdened 49
latter even considered 40
latter form represents 88
latter four categories 140
latter from circulation 45
latter from degenerating 54
latter from destruction 145
latter from establishing 72
latter from experience 52
latter from harassment 56
latter from indignation 101
latter from punishment 42
latter gave perpetuity 79
latter giving information 51
latter great quantities 45
latter have advantages 71
latter have apparently 175
latter have approached 51
latter have cognizance 66
latter have completely 93
latter have considered 300
latter have constantly 112
latter have determined 57
latter have difficulty 54
latter have disappeared 1208
latter have discovered 92
latter have emphasized 82
latter have encouraged 83
latter have essentially 81
latter have frequently 947
latter have identified 40
latter have influenced 78
latter have introduced 75
latter have maintained 167
latter have manifested 46
latter have multiplied 52
latter have originated 228
latter have particular 46
latter have penetrated 105
latter have precedence 50
latter have progressed 66
latter have properties 53
latter have recognized 67
latter have relatively 206
latter have specialized 43
latter have sufficient 120
latter have undertaken 74
latter having apparently 208
latter having approached 84
latter having complained 57
latter having completely 46
latter having disappeared 89
latter having discovered 84
latter having frequently 105
latter having introduced 48
latter having originally 94
latter having originated 107
latter having particular 77
latter having relatively 41
latter having sufficient 40
latter having undertaken 64
latter hold constantly 44
latter into bankruptcy 54
latter into conformity 104
latter item represents 52
