rebounding from disappointment like 47
received from constantinople were 66
received great reinforcements from 50
received heavy reinforcements from 64
received high recommendations from 43
received many advertisements from 56
received many embellishments from 72
received many representations from 64
received more reinforcements from 59
received some correspondence from 74
received some reinforcements from 556
received some representations from 85
redeemed from insignificance only 160
resemble their contemporaries even 108
resulted from recommendations made 89
