races should strive side 41
racial groups become more 42
racial groups differ from 46
radar system looked down 59
radial artery forearm flap 414
radial artery passes into 51
radial artery passes over 79
raged through europe from 45
raise barely enough food 102
raise infant genius from 79
raise myself beyond these 65
raise prices beyond what 129
raise prices without losing 366
raise raised raised ride 70
raise serious doubts among 95
raising myself partly from 82
ranking united states army 121
rapes almost always have 41
rapid initial weight loss 189
rapid niagara sweeps into 53
rapid retreat through north 45
rapid retreat toward camp 50
rapid travel across time 85
rates almost double those 70
rates differ greatly among 105
rates differ greatly from 101
rates differ little from 50
rates differ widely among 104
rates differ widely from 60
rates greatly exceed those 45
rates lagged behind those 96
rates varied greatly among 44
rates varied greatly from 95
rates varied widely among 131
rates varied widely from 194
rather chilly regret over 58
rather common belief among 46
rather common opinion among 46
rather curious letter from 47
rather dilute nitric acid 119
rather forced itself upon 93
rather forces itself upon 49
rather gently slides over 52
rather indeed roared forth 55
rather lagged behind their 40
rather narrow energy range 41
rather narrow escape from 85
rather narrow limits will 41
rather pretty little girl 80
rather pretty little town 53
rather prided itself upon 134
rather prided myself upon 62
rather remain twenty years 116
rather seemed pleased when 48
rather should betray some 49
rather sleepy little town 40
rather vulgar french word 68
reader should already have 134
reader should already know 79
reader should always have 58
reader should always keep 247
reader should notice here 47
reader should peruse these 80
reader should ponder upon 59
reader should recall from 220
reader should recall here 64
reader should recall what 85
reader should regard these 51
reader should review these 100
reader should verify these 258
really begins before birth 50
really caught myself coming 54
really changed around here 57
really counts around here 62
really differ greatly from 48
really gathering grapes from 74
really gotten myself into 67
really insane person acts 44
really learned something from 193
really looked almost wild 207
really looked pretty good 48
really matter whether such 47
really matter whether there 160
really matter whether these 138
really matter whether your 123
really needed someone else 42
really needed someone like 79
really needed something like 64
really needed something more 45
really serious bodily harm 189
really thought through their 76
really thought through what 558
really touching letter from 45
really travel through time 118
really turned upside down 121
really wanted someone else 96
really wanted something done 62
really wanted something else 232
really wanted something from 107
really wanted something more 58
really wonder whether there 47
reaped little profit from 79
reason anyone should have 40
reason became obvious when 69
reason spreads before hope 82
reason without touching their 60
rebel forces melted away 40
region around mexico city 85
region became little more 74
region causes aortic arch 67
region should become more 40
region varies greatly from 52
region varies widely from 42
reign before english came 42
reign lasted eleven years 46
reign lasted little more 95
reign lasted twelve years 64
reign lasted twenty years 83
relying almost solely upon 58
relying almost wholly upon 77
renal artery arises from 222
renal disease should have 81
renal sodium handling during 109
repeat points already made 137
repeat something already said 53
resting muscle varies from 46
rests almost solely upon 229
rests almost wholly upon 724
reveal itself through such 51
ricks jutted darkly into 54
rides through gloomy deep 52
ridge before dropping down 147
ridge before dropping into 46
rifle barrel caught some 133
right across africa from 590
right across canada from 59
right across england from 322
right across europe from 372
right across europe into 44
right answer should look 52
right answer without having 59
right atrium passes into 95
right before quitting time 109
right behind second base 50
right bundle branch runs 59
right corner turned down 144
right dorsal aortic root 155
right forces itself upon 52
right moment should come 230
right moment without having 69
right person should know 75
right through without having 43
right visual cortex from 64
rigid spires upward into 61
rigid virtue struck dumb 56
risks becoming little more 107
rival female charms ever 42
rival powers without leave 41
rival should pounce upon 50
river already bobbed down 77
river basins draining into 59
river dividing itself into 58
river emptying itself from 41
river emptying itself into 235
river flowed through their 56
river hurrying toward some 56
river passed through such 94
river passes through some 67
river passes through three 45
river spreads itself into 66
river spreads itself over 42
river system draining into 56
roads around london were 50
roaring organs loudly play 65
rocks sloped gently down 41
rolling without slipping along 313
rolling without slipping down 115
rolls around drinks life 81
rolls without slipping along 1360
rolls without slipping down 1383
rolls without slipping over 122
rolls without slipping upon 112
rooting reflex occurs when 53
roots before winter sets 51
roots extend deeply into 51
roots strike deeper into 108
roots strike deeply into 84
ropes looped around their 52
roses pressing softly into 57
rough ground without shoes 45
rough points sticking into 69
rough winter lately past 54
round before settling down 53
round island whence rose 45
round stones placed upon 75
round stones washed from 41
round without another word 96
route across africa from 45
route passed through some 46
route passes through some 115
route without further dealing 111
royal family became more 110
royal family return from 50
royal family should come 48
royal family should have 99
royal family should take 40
royal family thought their 76
royal family wanted some 70
royal guards rushed forth 101
royal troops should take 112
royal wigwam without paying 70
royal wisdom should seem 48
royal wisdom should think 141
rubbing mutton tallow into 61
rules differ greatly from 45
rules should govern their 135
running another direct line 110
running around inside your 58
running around without shoes 62
running around without their 55
running myself ragged trying 44
running swords through their 83
running through family life 69
running through twenty years 60
rural gentry quitting their 40
rural purity surely show 57
rural school methods into 70
rural school should have 179
