raced past outside their 71
races have appeared upon 47
races have emerged from 81
races have entered into 61
races have usually been 40
races living together upon 209
races were blended into 87
races were brought into 178
races were derived from 97
races were divided into 123
races were usually held 41
races when brought into 84
racial laws against jews 65
radial line extending from 78
radial wind equation find 113
rafts were floated down 254
raids into northern india 174
raids over germany during 42
raids over germany were 135
rails were brought into 45
rails were removed from 134
rails were twisted into 105
rains come chiefly from 40
rains fall between june 47
rains have brought down 74
rains have carried away 64
raise arms against their 87
raise into visible form 40
raise more capital from 117
raise more revenue from 457
raise some palaces like 42
raise some revenue from 62
raise their capital base 45
raise their capital from 89
raise their country from 66
raise their minimum wage 52
raise their national flag 60
raise their offspring there 41
raise their profits much 122
raise their revenue from 47
raise their shields over 47
raise their stately heads 47
raise their thoughts from 97
raise their verdant heads 42
raising five millions more 53
raising more revenue from 172
raising three thousand able 78
ranch other columns came 47
ranged from fifteen years 59
ranged from several days 103
ranged from thirteen years 48
ranged over everything from 64
ranged their dwellings along 57
ranges from several days 352
ranges from several feet 45
ranges from several tens 284
ranges must include some 46
ranges were derived from 51
ranges were divided into 71
ranking other organic beings 46
ranks were divided into 137
ranks were suffering from 41
rapid cell division during 54
rapid fire machine guns 43
rapid sand filters were 65
rated their current health 48
rated their general health 133
rated their overall health 107
rates among injecting drug 117
rates among persons aged 118
rates fall between those 47
rates fell sharply during 72
rates fell sharply from 91
rates fell steadily from 76
rates from diseases such 85
rates have doubled over 41
rates have dropped from 359
rates have dropped more 49
rates have dropped over 59
rates have largely been 64
rates have usually been 442
rates into account when 78
rates make borrowing more 89
rates over several years 156
rates rise sharply during 43
rates rise sharply when 56
rates rose rapidly during 43
rates rose rapidly from 44
rates rose sharply during 143
rates rose sharply from 79
rates rose steadily during 53
rates rose steadily from 134
rates vary depending upon 388
rates were brought down 987
rates were brought into 108
rates were charged from 49
rates were decided upon 86
rates were deduced from 78
rates were derived from 779
rates were divided into 85
rates were equally high 79
rates were highest among 847
rates were highest during 171
rates were highest when 117
rates were imposed upon 81
rates were lowered from 210
rates were measured during 127
rates were measured from 127
rates were measured only 46
rates were measured over 278
rates were reduced during 102
rates were reduced from 1124
rates were reduced only 54
rates were reduced when 79
rates were removed from 48
rates were similar among 227
rates were similar when 57
rates were unified into 46
rates were usually high 54
rates were usually less 94
rates will decline from 57
rates will decline over 50
rates will increase from 133
rates will increase over 55
rates will produce more 52
rather been brought into 45
rather clear insight into 52
rather cold critics even 56
rather deep insight into 48
rather firm control over 41
rather gave himself airs 115
rather gave himself away 63
rather good insight into 65
rather have grieved when 57
rather have imposed upon 75
rather have written gray 191
rather have written such 40
rather have written these 92
rather have written those 527
rather heavy demands upon 45
rather high failure rate 207
rather high mutation rate 44
rather less control over 56
rather like tragedy giving 168
rather more closely into 184
rather more closely what 142
rather more complex case 108
rather more complex form 85
rather more complex type 41
rather more complex view 74
rather more complex when 92
rather more control over 109
rather more distant from 281
rather more general case 68
rather more general form 71
rather more limited range 49
rather more precise meaning 45
rather more removed from 47
rather more sanguine view 65
rather more subdued tone 77
rather more support from 46
rather rare moments when 44
rather threw himself down 60
rather throw herself into 91
rather throw himself into 46
rather used towards these 73
rather well defined areas 61
rather were derived from 67
rather were founded upon 51
rather what happens when 101
rather wide variation from 46
ratings over operating free 276
ratings were derived from 128
ratings were divided into 101
ratings were grouped into 52
ratings were secured from 72
ratios over several years 65
ratios were derived from 347
ratios were measured from 43
raven down scenery like 51
reaching only halfway down 147
reaching some ancient lava 56
reaching their greatest size 49
reaching their maximum during 64
reaching their maximum size 218
reaching their present form 98
reaching their teenage years 60
reaching three hundred feet 77
reaching three thousand feet 82
reacts upon everything else 43
