race actually came off 57
race destined more and 48
race distinct from all 95
race distinct from any 50
race distinct from that 157
race instinct like that 42
race mattered more than 54
race numbered less than 54
race prospers will not 54
race relations during and 43
race relations during this 194
race relations have not 116
race relations more than 56
race relations theory and 65
race relations there are 55
race relations there was 74
race relations were being 66
race relations were not 400
race relations when they 58
race relations will not 88
radio messages sent out 103
radio messages were being 192
radio operator sent out 167
radio programs dealing with 399
radio programs were being 101
radio programs were not 159
radio services other than 47
rage advanced upon him 48
rage prevails here for 55
raid shelters were being 250
raid shelters were dug 260
rail passenger cars for 95
rain salvation upon you 143
rain trickled down her 75
rain trickled down his 169
rain trickled down our 47
range anywhere from one 584
range anywhere from six 117
range anywhere from ten 151
range anywhere from two 262
range commonly used for 187
range contains more than 122
range contains only one 110
range financial plan and 59
range financial plan for 57
range includes more than 93
range missiles were being 146
range missiles were not 94
range normally used for 330
range somewhat less than 98
ranging anywhere from one 346
ranging anywhere from six 48
ranging anywhere from ten 78
ranging anywhere from two 195
rank bestowed upon him 223
rank outsider like that 61
rapt attention upon his 43
rare exception here and 103
rare instance like that 43
rare instance when one 120
rare instance when they 62
rare instance when this 56
rare instance when you 78
rare occasions during his 45
rare occasions have they 85
rare occasions like this 147
rare occasions more than 52
rare occasions only that 136
rare occasions there are 170
rare occasions there may 304
rare occasions there was 176
rare occasions were they 166
rare occasions when all 619
rare occasions when any 146
rare occasions when both 220
rare occasions when dad 40
rare occasions when for 68
rare occasions when her 548
rare occasions when his 1419
rare occasions when its 132
rare occasions when meat 51
rare occasions when men 174
rare occasions when new 53
rare occasions when one 2328
rare occasions when our 244
rare occasions when she 6783
rare occasions when that 431
rare occasions when they 10089
rare occasions when things 107
rare occasions when this 928
rare occasions when two 405
rare occasions when with 57
rare occasions when you 1660
rare occasions will you 45
rare situation when you 48
rare tropical fish and 103
rash girlhood into this 50
rate actually paid for 75
rate averaged less than 204
rate averaged more than 171
rate averaged over all 151
rate averages less than 82
rate commonly used for 42
rate compares well with 109
rate constant data are 85
rate constant data for 217
rate constant ratio for 54
rate contains nothing new 45
rate declined during this 49
rate declined from its 45
rate declined more than 72
rate decreased more than 53
rate increased from one 133
rate increased more than 296
rate increases along with 237
rate increases during this 72
rate increases from its 58
rate increases from low 45
rate increases from one 40
rate increases have not 163
rate increases less than 213
rate increases more than 519
rate increases were not 336
rate increases when you 50
rate increases will not 116
rate interest rate that 82
rate mortgage loan for 47
rate obtained from this 63
rate policies were not 135
rate probably will not 66
rate reduction will not 41
rate remained high and 171
rate remained high for 93
rate remained less than 44
rate remained more than 56
rate remained very low 160
rate slightly less than 1261
rate slightly more than 148
rate somewhat less than 962
rate somewhat more than 64
rating agencies have not 163
rating agencies were not 93
rating agencies will not 119
ratio increased more than 63
ratio increases more than 47
ratio obtained from this 59
ratio slightly less than 150
ratio somewhat less than 263
rays incident upon them 128
rays proceeding from all 51
rays proceeding from any 451
rays proceeding from both 71
rays proceeding from each 326
rays proceeding from his 67
rays proceeding from its 77
rays proceeding from near 91
rays proceeding from one 202
rays proceeding from our 50
rays proceeding from them 285
rays proceeding from this 110
rays separate from each 43
reach critical mass and 393
reach critical mass for 53
reach enormous size and 125
reach frederic town and 41
reach maturity early and 45
reach maturity when they 223
reach slightly more than 152
react mutually upon each 51
react violently when they 170
reading decimals from one 94
reading excerpts from his 243
reading extracts from his 297
reading involves more than 433
reading materials dealing with 264
reading materials other than 316
reading materials used for 98
reading materials were not 135
reading paradise lost and 219
reading paradise lost with 53
reading passages from her 81
reading passages from his 172
reading passages here and 206
reading passages like this 100
reading problems were not 53
reading readiness test and 206
reading requires more than 97
reading snatches here and 202
reading somewhat like this 42
reads somewhat like this 75
ready admission into our 90
ready admission into this 45
ready movement from one 42
ready original text and 295
ready response from all 110
ready response from him 55
ready response from his 82
ready response from them 40
ready transfer from one 55
realm distinct from that 75
realm separate from and 53
realm separate from that 82
rely entirely upon god 69
rely entirely upon her 191
rely entirely upon him 90
rely entirely upon his 1003
rely entirely upon its 173
rely entirely upon one 118
rely entirely upon our 253
rely entirely upon that 104
rely entirely upon them 447
rely entirely upon this 180
rely entirely upon van 105
rely entirely upon you 186
rent actually paid and 270
rent actually paid for 387
rent controls were not 44
rent demanded from them 46
rent increases were not 54
rent payments were not 41
rent received from them 41
rest concealed these things 56
rest departed from him 93
rest directly over each 71
rest directly upon them 140
rest entirely upon him 84
rest entirely upon his 446
rest entirely upon its 154
rest entirely upon our 95
rest entirely upon that 95
rest entirely upon this 209
rest entirely upon you 48
rest followed from that 51
rest followed from this 49
rest followed suit and 52
rest parallel rays are 42
rest securely upon his 52
ribs protruding from his 59
rice containing less than 52
rice imported into this 58
rich american girl and 50
rich american girl who 103
rich american lady who 99
rich chestnut hair and 131
rich chestnut hair was 56
rich cultural life and 265
rich cultural life for 96
rich cultural life that 298
rich cultural life with 44
rich cultural past and 87
rich emotional life and 140
rich emotional life that 98
rich festoons from one 75
rich fractions from rat 86
rich insights into how 147
rich insights into this 41
rich necklace from her 51
rich negative glow and 136
rich patients more than 44
rich personal life and 72
rich planters vied with 90
rich plebeians grew too 64
rich presents from all 40
rich presents from his 91
rich profusion over her 96
rich provision made for 113
rich relations kind and 65
rich resource base and 151
rich resource base for 69
rich volcanic soil and 422
rich volcanic soil that 186
ride straight away with 48
riding accident left him 48
riding accident when she 70
riding straight upon them 43
rise abruptly from its 625
rise abruptly here and 55
rise directly from his 57
rise directly from its 113
rise directly from this 48
rise redeemed from earth 76
rise slightly less than 50
rise slightly more than 165
rise somewhat less than 106
rise somewhat more than 285
rise suddenly from his 86
rise suddenly from its 59
rise suddenly upon him 107
rising abruptly from her 128
rising abruptly from his 233
rising abruptly from its 192
rising abruptly from this 97
rising directly from its 52
rising economic tide that 47
rising external debt and 95
rising inflation rate and 83
rising interest rate and 94
rising marginal cost and 48
rising politely from his 49
rising revenues from oil 51
rising scarcely more than 64
rising silently even with 92
rising slightly from her 63
rising slightly from his 132
rising straight from his 104
rising straight from its 47
rising suddenly from her 173
rising suddenly from his 285
rising suddenly here and 58
rising suddenly upon her 41
risk alienating those who 185
risk attached even now 191
risk behaviors among gay 289
risk behaviors among hiv 58
risk behaviors among men 144
risk behaviors among our 57
risk expressing their own 40
risk increases more than 89
risk involved when you 137
risk involves more than 45
risk moderate risk low 171
risk reduction among gay 130
risk treatment plan that 98
risk yourself like that 47
road accident when she 63
road branched into two 430
road branches into two 280
road branches left and 43
road connecting india with 40
road connecting rome with 52
road connecting these two 194
road diverges from that 97
road straight ahead and 41
road straight ahead goes 60
road suitable only for 70
road switched back and 72
road vehicles other than 119
road vehicles used for 51
road wandered from our 102
road whatever will lead 120
rock climbers from all 70
rock containing less than 294
rock containing more than 342
rock contains less than 102
rock contains more than 205
rock projecting here and 58
rock slightly back and 100
rock violently back and 46
rode straight back and 70
rode straight into them 44
rods directly into one 166
role conflict when they 137
role differed from that 154
role distinct from that 337
role includes more than 40
role involved more than 55
role involves making and 62
role involves more than 103
role requires more than 57
role separate from that 205
role somewhat like that 202
roll silently down her 181
roof directly over his 50
roof suddenly gave way 50
roof weighted down with 73
room containing less than 44
room containing more than 102
room containing nothing but 279
room containing only one 55
room contains more than 131
room contains nothing but 61
room directly over his 43
room directly over that 50
room eighteen feet long 194
room formerly used for 181
room meanwhile there was 81
room normally used for 164
room officers mingling with 107
room probably will not 59
room remained dark and 59
room reserved only for 51
room separate from all 139
room separate from his 44
room separate from that 363
room suddenly felt too 50
room suddenly went out 158
room upstairs more than 53
room upstairs there was 114
room whenever there was 62
root contains more than 48
root elongation rate and 106
root password when you 56
rose abruptly from her 592
rose abruptly from his 1022
rose abruptly from its 86
rose abruptly here and 57
rose directly from his 139
rose languidly from her 65
rose languidly from his 54
rose markedly during this 44
rose numerous dark and 133
rose politely from his 89
rose promptly from his 54
rose silently from her 56
rose silently from his 128
rose slightly during this 95
rose slightly from her 71
rose slightly from his 277
rose slightly less than 190
rose slightly more than 386
rose solemnly from his 57
rose somewhat less than 127
rose somewhat more than 181
rose staggering from his 50
rose stealthily from his 47
rose straight from her 68
rose straight from his 50
rose suddenly from her 603
rose suddenly from his 1037
rose therefore from her 56
rose whenever there was 41
rosy suffusion upon her 40
rude accident into that 102
rude intrusion into his 50
rude military hand can 55
rude outlines into his 203
rude surprise when they 52
rude surprise when you 46
rule admitted only for 71
rule concerns those who 69
rule contains more than 59
rule contains only one 55
rule differed from that 201
rule directly from god 158
rule distinct from that 193
rule extended over all 448
rule forbidding more than 93
rule involves more than 49
rule permitting less than 83
rule permitting only one 105
rule probably will not 55
rule provides only that 132
rule received from any 53
rule reflects these two 45
rule required only that 87
rule requires more than 163
rule requires only that 997
rule therefore went far 47
ruling families were not 47
runs anywhere from two 41
runs directly north and 229
runs restless from one 106
runs slightly more than 103
runs somewhat like this 1140
runs southward from this 41
runs straight from end 85
runs straight from one 126
runs straight into his 112
runs straight north and 99
rush abruptly upon his 188
rush outwards more than 52
rush suddenly upon them 46
rush valiantly upon this 46
