rabble were completely awed 51
raised from membership dues 47
raised from reflections upon 66
raised life expectancy from 52
rarely been considered from 53
rarely been integrated into 107
rarely been translated into 237
rarely have sufficient data 41
rarely have sufficient time 112
rarely seek psychiatric help 49
reached epic proportions during 50
reached epic proportions when 55
reached such proportions during 74
reached their conclusions from 57
reached their culmination during 127
reached their culmination more 41
reached their culmination when 118
reached their definitive form 68
reached their destination during 79
reached their destination early 302
reached their destination from 49
reached their destination just 149
reached their destination late 184
reached their destination more 90
reached their destination much 61
reached their destination only 179
reached their destination some 109
reached their destination their 46
reached their destination there 127
reached their destination were 82
reached their destination when 352
reached their prescribed term 40
reached their prescribed time 97
reached their respective peaks 70
reached these conclusions from 73
reacted very negatively when 59
reacted very powerfully upon 64
reaction were calculated from 84
reaction when inoculated into 50
reaction when introduced into 82
readers have difficulty reading 42
readers have frequently been 85
readers must frequently have 101
readers must understand what 44
readers will immediately think 43
readers will inevitably find 51
readers will understand from 105
readers will understand their 52
readers will understand what 526
readers will understand your 110
reality from experience must 54
reality took precedence over 116
realize more distinctly what 61
realize their dependence upon 154
reasoning during successive peer 40
reasoning must ultimately rest 93
reasons must inevitably take 41
reasons were classified into 46
rebels were everywhere rising 79
recall more information from 106
recall more information when 60
recall some definitions from 51
recall what transpired during 45
recent asian immigrants have 81
recent vice presidents have 54
recent years antibiotics have 53
recent years architects have 62
recent years authorities have 60
recent years businesses have 59
recent years collectors have 40
recent years committees have 49
recent years complaints have 57
recent years developers have 61
recent years ecologists have 51
recent years economists have 873
recent years excavations have 67
recent years foreigners have 49
recent years frequently been 110
recent years geographers have 78
recent years immigrants have 41
recent years newspapers have 72
recent years physicists have 102
recent years politicians have 77
recent years presidents have 141
recent years publishers have 73
recent years researchers have 1151
recent years scientists have 1055
recent years techniques have 190
record even approaches such 72
recoup their investment from 48
recurs less frequently here 47
redeem their countrymen from 53
reduce their consumption from 83
reduce their consumption only 44
reduce their consumption when 66
reduce their dependence upon 747
reduce their dependency upon 74
reduce their individual risk 41
reduce their investment risk 42
reduce their reservation wage 46
reduce your investment risk 126
reducing their dependence upon 193
refine most delicately upon 51
reform have frequently been 44
reform took precedence over 107
reform were introduced into 59
refuge from persecution there 83
regain their ascendancy over 68
regain their ascendency over 56
regard said reservation their 84
regions have maintained their 51
regions have relatively high 89
regions were determined from 65
regions were integrated into 113
regions were subdivided into 123
regret your retirement from 45
release from sensitized mast 54
release rate calculated from 55
release their magistrate from 98
relics were introduced into 49
relics were translated from 323
relics were translated into 114
relied upon appropriate data 67
relied upon assistance from 50
relied upon information from 125
relied upon statements made 66
relies most completely upon 41
relies upon information from 46
remain less vigorously bent 52
remain true immediately prior 126
remedy most frequently used 56
remote from historical truth 83
remote from residential areas 74
remove evil completely from 105
remove many properties from 82
remove other pollutants from 41
remove some difficulty from 88
remove such impurities from 74
remove their encampment from 136
remove their possessions from 57
remove their signatures from 48
remove these activities from 50
remove these components from 52
remove these impurities from 77
remove these pollutants from 50
remove these substances from 178
remove wrong impressions from 76
removing these impurities from 69
removing these substances from 114
render back completely what 114
render much assistance south 47
render such assistance when 64
render their allegations less 49
render their influences most 54
render their obligations more 277
render their proposition safe 172
render these encounters less 111
render these obligations more 75
render your comparison less 46
repealing bill introduced into 40
report what safeguards were 63
rescue their characters from 108
rescue their countrymen from 139
rescue your countrymen from 40
resell such securities only 94
resent their dependence upon 46
resist their invincible arms 96
result from abnormally high 172
result from accidental means 47
result from activities such 170
result from competition among 508
result from cooperation among 48
result from departures from 114
result from dependence upon 45
result from haemorrhage into 159
result from hemorrhage into 480
result from inadequate care 94
result from inadequate diet 89
result from inadequate food 104
result from inadequate mixing 85
result from incomplete mixing 93
result from individual will 60
result from information theory 60
result from interaction among 188
result from mechanisms other 138
result from metastasis from 71
result from negotiations among 100
result from reflections from 94
result from relatively high 163
result from suggestions made 47
result from transitions from 312
result from transitions into 136
result more frequently from 488
result most frequently from 584
result must inevitably have 43
resume their compulsory game 93
resume their traditional role 174
retain more information from 138
retain more information when 147
retain their ascendancy over 45
retain their identities even 40
retain their identities when 40
retain their importance even 81
retain their intellects well 54
retain their membership during 58
retain their popularity among 58
retain their prescribed form 259
retain their properties over 51
retain their properties when 43
retain their relatively high 59
retain their respective laws 75
retain their superiority over 61
retain their traditional form 49
retain their traditional role 142
retain their traditional ways 142
retain these properties over 48
retain those alterations when 44
retreat from degenerating into 62
return from sabbatical leave 108
return from subsequent runs 63
return home immediately upon 54
return such inquisition into 61
return your recompense upon 196
reunion only strengthened their 60
revere their particular gods 51
rights from degenerating into 41
rights have frequently been 129
rights have heretofore been 46
rights have nonetheless been 147
rights have precedence over 219
rights over particular areas 44
rights take precedence over 2306
rights taking precedence over 93
rights took precedence over 829
rights were considered more 40
rights were encroached upon 324
rights were eventually sold 44
rights were guaranteed only 41
rights were introduced into 84
ritual having prescribed these 101
rivers have overflowed their 109
rivers have serviceable deep 63
rolled very frightened eyes 42
rotten root penetrates such 47
rounds were discharged from 40
roused great indignation among 125
roused much indignation among 59
routes most frequently used 60
routes take precedence over 46
rubber tube introduced into 75
ruined when inspectors were 92
rulers were interested only 46
rumors were circulated among 91
runoff from cultivated land 64
rushed like distracted beings 48
