races without implying a 48
radar screen showed a 60
radial section through a 154
raise prices beyond a 112
raise troops without a 45
ranged freely through a 121
rapid course through a 57
rates should follow a 52
rather slowly through a 45
reaching upward toward a 46
reader should expect a 91
reader should obtain a 208
readings passed without a 96
really doubts whether a 43
really forget whether i 43
really matter whether a 542
really matter whether i 444
really passed through a 77
really should become a 91
really wonder whether i 78
reason should become a 55
region passed through a 86
region passes through a 66
region should become a 108
region without spending a 56
reins passed through a 63
renal artery causes a 43
renal artery through a 60
renal pelvis through a 185
renew itself through a 99
reveal itself through a 217
reveal itself without a 60
reveal without violating a 57
rifle bullet through a 72
right atrium causes a 50
right atrium through a 488
right before crossing a 54
right humble manner i 56
right kidney showed a 51
right shunting across a 63
right shunting through a 186
right shunts through a 53
right through without a 722
right without imposing a 54
risks becoming merely a 102
riven cliffs formed a 49
river bursting through a 108
river coursing through a 64
river flowed through a 764
river flowed without a 46
river itself became a 44
river itself formed a 56
river passed through a 289
river passes through a 1319
river plunges through a 126
river rushed through a 119
river rushes through a 419
river sweeps around a 54
river system draining a 42
river system drains a 70
robed figure carrying a 43
rolling around inside a 65
rooms placed around a 56
rough circle around a 109
rough ground become a 49
round shield called a 63
route passed through a 244
route passes through a 692
royal assent without a 77
royal family became a 78
royal family formed a 50
royal family played a 56
royal family through a 98
royal family without a 77
ruled england without a 48
ruler should become a 41
running around inside a 70
running around without a 345
running slowly through a 41
running wildly across a 42
rural gaiety through a 124
rushing headlong through a 64
rushing headlong toward a 142
