radiative heat losses from 369
radicals are formed during 266
radicals are formed from 422
radicals are formed when 179
radicals can damage cell 87
radicals has already been 59
radicals that result from 120
railroad and common road 53
railroad and street cars 223
railroad and subway cars 42
railroad can safely keep 41
railroad for twenty years 69
railroad had already been 227
railroad has already been 140
railroad has always been 91
railroad men looked into 60
railroad per square mile 66
railroad was forced into 43
railroad was opened from 203
railroad was turned over 80
railways and canals have 112
railways and canals were 282
railways and special seats 45
railways and street cars 55
railways and various other 62
railways had already been 219
railways had always been 58
railways has already been 214
railways has always been 80
railways per square mile 52
railways run inland from 58
railways that radiate from 141
rainbows and starry eyes 293
raincoat was draped over 46
rainfall and better soil 125
rainfall and little snow 40
rainfall and melted snow 213
rainfall and runoff data 1320
rainfall and runoff during 202
rainfall and runoff from 631
rainfall and runoff have 109
rainfall and runoff were 173
rainfall has already been 85
rainfall has always been 68
rainfall has become more 40
rainfall has varied from 193
rainfall that occurs during 83
rainfall that varies from 58
ranchers and miners were 47
ranchers who grazed their 53
rapacious and wicked eyes 65
rapeseed and soybean oils 83
ratified and agreed upon 46
ratified and became part 123
ratified and enters into 66
rationale and methods used 76
rationale for adopting such 95
rationale for allowing such 80
rationale for choosing among 108
rationale for choosing these 346
rationale for deciding what 93
rationale for deviating from 73
rationale for entering into 163
rationale for focusing upon 46
rationale for grouping these 47
rationale for imposing such 66
rationale for invading iraq 182
rationale for offering such 46
rationale for public health 61
rationale for striking down 227
rationale for studying these 57
rationale goes something like 320
rationale has already been 92
rationale has always been 106
ravenous and intent upon 48
ravished with wonder over 70
reactants are changed into 49
readiness for active duty 40
readiness for another shot 44
readiness for another trial 86
readiness for formal reading 200
readiness for initial reading 339
readiness for public duty 57
readiness for release from 87
readiness for school work 106
realities and values true 103
realities are something else 48
realities has always been 42
realities that affect their 56
realities that differ from 58
realities that emerge from 77
realities that result from 48
reappeared and gained some 46
reappeared with another tray 59
rearguard had killed some 49
reasserting its rights over 43
rebelled and formed their 49
rebelled and gained their 41
rebelled and killed their 98
rebelled and leaders like 56
rebelled and plunged into 46
rebellion and called upon 45
rebellion and escape from 51
rebellion and murder have 49
rebellion and murder were 61
rebellion and treason were 53
rebellion had already been 315
rebellion had always been 93
rebellion had indeed been 54
rebellion had passed away 151
rebellion had passed into 57
rebellion had turned into 58
rebellion has already been 103
rebellion has always been 86
rebellion has turned into 40
rebellion that lasted from 58
rebellion was doomed from 52
rebellion was little more 119
rebellion was struck down 71
rebuilding and repair work 52
recalled and placed upon 44
recalled for active duty 86
recalled her feelings when 50
recalled her legions from 105
recalled her reaction when 57
recalled her school days 61
recalled her troops from 136
recalled his armies from 82
recalled his brother from 61
recalled his earlier days 69
recalled his feelings during 42
recalled his feelings when 92
recalled his forces from 164
recalled his former life 49
recalled his legions from 70
recalled his reaction when 91
recalled his school days 125
recalled his troops from 1054
recalled his troops into 40
recalled his younger days 70
recalled its troops from 99
recalled that before leaving 72
recalled that gerald said 114
recalled that moment when 101
recalled that twelve years 54
recalled that twenty years 120
recalled with something like 40
receipts and credit card 88
receipts and income from 138
receipts and issues during 46
receipts and issues from 79
receipts and issues were 75
receipts are exempt from 80
receipts are turned over 175
receipts for credit card 78
receipts for moneys paid 211
receipts for monies paid 43
receipts that result from 60
received all income from 50
received and become very 71
received and charge same 59
received and checks paid 55
received and claims paid 55
received and closed upon 125
received and handed down 626
received and handed over 314
received and issued during 57
received and issued from 47
received and learned from 155
received and looked over 43
received and looked upon 132
received and losses paid 78
received and moneys paid 51
received and opened their 77
received and passed along 267
received and passed into 50
received and passed upon 146
received and petted like 56
received and placed into 91
received and placed upon 44
received and prices paid 679
received and relied upon 376
received and rested upon 45
received and served their 80
received and should have 98
received and stored away 118
received and stowed away 46
received and treated during 40
received and treated here 152
received and treated like 388
received and treated most 44
received and treated there 239
received and treated very 151
received and treated well 135
received and turned down 142
received and turned into 57
received and turned over 363
received and waited upon 113
received and widely used 312
received any advice from 178
received any answer from 1212
received any bounty from 41
received any bruise from 79
received any credit from 46
received any damage from 141
received any demand from 66
received any dental care 52
received any direct word 58
received any favors from 75
received any further news 110
received any further word 82
received any grants from 44
received any income from 537
received any influx from 53
received any injury during 58
received any injury from 803
received any letter from 3141
received any mental health 135
received any monies from 43
received any notice from 407
received any offers from 81
received any opinion from 48
received any orders from 1035
received any papers from 126
received any praise from 77
received any profit from 93
received any public help 79
received any reaction from 65
received any recent news 44
received any relief from 145
received any report from 797
received any return from 65
received any reward from 81
received any salary from 155
received any scheme from 77
received any serious hurt 47
received any signal from 49
received any special help 63
received any training from 71
received any visits from 249
received are exempt from 131
received are turned over 52
received bad advice from 141
received ben jonson like 87
received but little care 49
received but little from 184
received but little help 124
received but little hurt 41
received but little more 329
received due credit from 46
received due notice from 135
received due praise from 101
received few favors from 40
received for answer from 381
received for answer only 178
received for assets sold 65
received for entering into 71
received for gospel what 103
