ran aground while chasing 70
ran between steep banks 162
ran between stone walls 62
ran forward under cover 41
rang several times while 65
ran several times about 62
rat mammary tumor cells 212
rat mammary tumor growth 58
rat mammary tumor model 180
raw material costs could 47
raw material costs which 79
raw material costs would 126
raw material input costs 119
raw material price index 121
raw material price rises 107
raw material takes place 105
raw material which comes 99
raw material which could 326
raw material which forms 79
raw material which makes 46
raw material which might 153
raw material which needs 67
raw material which shall 42
raw material which would 321
raw material whose price 47
raw material would fetch 47
raw produce which falls 41
raw produce would lower 51
raw recruit whose vocal 77
ray emission takes place 111
read certain books which 113
read library books about 93
read prayers every evening 74
read prayers every morning 424
read prayers twice every 104
read richard harding davis 57
read several books about 1254
read several books quite 856
read several books which 184
read several times since 96
read several times until 91
read stories about girls 125
read stories about jesus 88
read stories about people 700
read stories about women 194
read together every morning 79
read together every night 53
real blessings often appear 73
real capital gains would 56
real contest takes place 45
real context within which 73
real dialogue takes place 92
real election takes place 42
real exchange rates after 61
real exchange rates appear 51
real exchange rates based 126
real exchange rates change 52
real exchange rates could 88
real exchange rates since 59
real exchange rates under 127
real exchange rates which 123
real exchange rates within 108
real exchange rates would 194
real exchange takes place 51
real excited about getting 47
real marriage takes place 90
real miracle takes place 42
real motives which impel 63
real objects which exist 47
real persons whose names 56
real pleasure which others 79
real problem about which 86
real problem which faced 54
real problem which faces 79
real problem which needs 51
real problem would arise 76
real process which gives 41
real question about which 42
real tragedy takes place 84
real trouble about women 45
real trouble began after 42
real trouble would begin 86
real trouble would start 41
real vermont maple syrup 144
red berries which ripen 70
red caravel drops light 48
red currant jelly stool 59
red flannel shirt which 79
red flowers tossing above 78
red flowers which appear 72
red objects appear black 56
red painted faces flash 66
red pigment which gives 47
run average costs equal 44
run average costs would 58
run average fixed costs 129
run average growth rates 132
run average total costs 1808
run several times daily 448
run several times round 139
