ran almost headlong into 49
ran brawling through some 42
ran eagerly through what 103
ran special trains from 129
ran through england like 60
ran toward second base 42
ran without stopping from 79
ran without stopping till 63
rat cardiac muscle during 63
rat dorsal spinal cord 171
rat forced swimming test 95
rat kidney slices during 57
rat lumbar dorsal root 51
rat lumbar spinal cord 599
rat spinal dorsal horn 536
raw cotton prices were 47
raw haggis mounting from 52
raw sewage dumped into 101
raw sewage flowed into 70
raw sewage poured into 46
ray passes without such 109
ray slipping slowly along 125
read another letter from 235
read another record from 157
read deeply enough into 46
read english fairly well 242
read format covering many 41
read french fairly well 68
read french pretty well 50
read german fairly well 125
read through without tears 105
read william butler yeats 98
read without emotion these 43
read without emotion those 43
read without shedding tears 62
real dwelling plight lies 71
real energy prices have 41
real energy prices were 94
real energy prices will 72
real estate abutting upon 83
real estate agency will 48
real estate agents also 121
real estate agents call 259
real estate agents come 40
real estate agents find 58
real estate agents from 334
real estate agents have 905
real estate agents know 123
real estate agents like 212
real estate agents made 63
real estate agents make 98
real estate agents must 325
real estate agents need 118
real estate agents over 42
real estate agents said 45
real estate agents sell 84
real estate agents show 68
real estate agents take 45
real estate agents tell 59
real estate agents tend 80
real estate agents told 58
real estate agents trying 55
real estate agents used 42
real estate agents want 49
real estate agents were 885
real estate agents when 103
real estate agents will 673
real estate agents work 195
real estate around here 136
real estate assets from 87
real estate assets have 50
real estate assets held 54
real estate assets into 68
real estate assets were 102
real estate assets will 46
real estate became more 130
real estate beyond what 42
real estate boards have 154
real estate boards were 77
real estate broker acting 191
real estate broker acts 159
real estate broker brings 51
real estate broker during 54
real estate broker earns 91
real estate broker fees 42
real estate broker from 411
real estate broker made 61
real estate broker must 621
real estate broker only 70
real estate broker other 102
real estate broker owes 53
real estate broker said 81
real estate broker sold 47
real estate broker told 105
real estate broker when 158
real estate broker will 406
real estate dealers from 60
real estate dealers have 115
real estate dealers were 127
real estate differ from 64
real estate except such 807
real estate exempt from 244
real estate holdings among 57
real estate holdings during 43
real estate holdings from 142
real estate holdings have 105
real estate holdings here 55
real estate holdings into 127
real estate holdings must 52
real estate holdings there 127
real estate holdings were 792
real estate holdings will 47
real estate holdings worth 98
real estate levied upon 169
real estate listings from 77
real estate losses from 327
real estate market also 121
real estate market boom 113
real estate market data 77
real estate market during 208
real estate market fell 63
real estate market from 160
real estate market have 210
real estate market here 76
real estate market into 109
real estate market made 68
real estate market more 98
real estate market must 50
real estate market over 124
real estate market such 49
real estate market there 224
real estate market took 86
real estate market went 172
real estate market were 199
real estate market when 124
real estate market will 1074
real estate mutual fund 472
real estate office down 45
real estate office from 60
real estate office just 76
real estate office must 57
real estate office next 123
real estate office there 117
real estate office when 98
real estate office will 69
real estate owners have 120
real estate owners were 157
real estate owners will 58
real estate passed from 40
real estate passed into 74
real estate prices also 64
real estate prices down 57
real estate prices drop 59
real estate prices during 107
real estate prices fall 79
real estate prices fell 194
real estate prices from 71
real estate prices have 1136
real estate prices here 40
real estate prices into 42
real estate prices over 88
real estate prices rise 272
real estate prices rose 285
real estate prices soar 40
real estate prices tend 77
real estate prices went 105
real estate prices were 871
real estate prices will 411
real estate rental loss 91
real estate section from 43
real estate sector have 45
real estate sector will 54
real estate securing such 75
real estate should also 74
real estate should have 205
real estate through their 40
real estate trusts were 47
real estate unless there 40
real estate values along 76
real estate values also 75
real estate values drop 49
real estate values during 182
real estate values fall 49
real estate values fell 165
real estate values from 125
real estate values have 1056
real estate values here 43
real estate values made 67
real estate values over 91
real estate values rise 104
real estate values rose 272
real estate values tend 91
real estate values there 115
real estate values went 135
real estate values were 939
real estate values when 63
real estate values will 509
real estate without having 176
real estate without leave 46
real estate without paying 95
real estate without prior 83
real family income grew 43
real family income rose 50
real feudal rights were 46
real income accruing from 42
real income levels have 45
real income losses from 53
real monkey wrench into 50
real motive behind such 83
real motive behind their 77
real motive behind these 126
real nature become mere 116
real number except zero 64
real number system from 77
real police before very 53
real powers stemming from 316
real pretty little girl 45
real reasons behind such 41
real reasons behind their 111
real reasons behind these 49
real reasons behind what 52
real reasons behind your 48
real united states lies 50
reap little profit from 53
rear gunner opened fire 87
rear window rolled down 228
red banner streams afar 1137
red blouse walked away 53
red brutes carrying much 55
red clover plants were 72
red coloring matter from 57
red cotton velvet vest 59
red ensign streaming like 53
red fighting trunks much 85
red filter placed over 54
red gabled houses made 64
red heifer without spot 259
red lights flashing from 52
red pepper flakes into 58
red pepper flakes over 161
red pepper flakes salt 749
red pepper rubbed into 163
red ribbon around their 96
red ribbon around your 50
red sashes across their 60
red sashes around their 217
red streaks radiating from 147
red sunset flamed over 44
red velvet carpet laid 199
red velvet drapes were 41
red velvet dressing gown 185
red waters should turn 49
rings passed through their 73
riot police opened fire 99
run across anyone else 40
run across anyone like 47
run across something like 185
run around clapping their 53
run around without shoes 55
run around without their 43
run itself should feel 132
run liquid through their 43
run market forces will 56
run special trains from 72
run target payout ratio 272
run through before adding 163
run through trains from 86
