rabbi of blessed memory 78
raced in circles around 280
raced the galloping shower 54
races at madison square 87
races in central africa 118
races in central europe 58
races in european turkey 80
races in similar stages 118
races in southern africa 168
races in western europe 135
races is perhaps marked 42
races of ancient greece 43
races of animals should 46
races of central africa 599
races of central europe 280
races of diverse origin 48
races of european origin 83
races of european turkey 127
races of foreign origin 41
races of mankind beheld 49
races of mankind differ 137
races of mankind endure 163
races of mankind should 237
races of mankind without 69
races of northern africa 137
races of northern europe 1295
races of powdery mildew 309
races of semitic origin 45
races of southern africa 221
races of southern europe 571
races of western europe 875
races or national groups 47
races or trained horses 75
races so closely allied 48
racial or language groups 150
racial or national groups 1065
racial or national hatred 270
racial or national origin 1033
racial or national purity 47
racial or national spirit 42
racial or national traits 107
racks in grocery stores 68
radial or carotid artery 194
radial or carotid pulses 45
radial or femoral artery 483
raged on several fronts 56
raids by federal agents 40
raids by hostile indians 186
raids by hostile tribes 96
raids by nomadic indians 58
raids by nomadic tribes 64
raids in western europe 43
raids of hostile indians 133
raids of hostile tribes 42
raids of nomadic tribes 43
raids on british cities 569
raids on british shipping 415
raids on coastal cities 90
raids on coastal shipping 42
raids on northern england 50
raids on private houses 344
raids on southern england 147
raids on spanish shipping 614
raids on western europe 267
raids to capture slaves 175
railing in matters whereof 97
rains at certain seasons 165
rains at unusual seasons 66
rains in central africa 247
rains of central africa 67
raise it several inches 49
raise or depress itself 41
raise or depress prices 278
raise the alveolar oxygen 74
raise the ancient symbol 43
raise the anterior portion 55
raise the arterial oxygen 126
raise the arterial tension 199
raise the average amount 214
raise the average annual 252
raise the average energy 42
raise the average family 79
raise the average global 142
raise the average height 55
raise the average hourly 43
raise the average income 835
raise the average monthly 72
raise the average number 148
raise the average output 89
raise the average return 66
raise the average salary 65
raise the average scores 40
raise the average weight 45
raise the balance needed 44
raise the balance through 44
raise the benefit levels 58
raise the broader issues 56
raise the caloric intake 52
raise the capital needed 2490
raise the capital through 40
raise the central issues 56
raise the central office 46
raise the central venous 219
raise the curtain before 49
raise the customs duties 124
raise the customs tariff 105
raise the defense budget 211
raise the desired amount 118
raise the embargo before 58
raise the fatigue strength 67
raise the federal budget 58
raise the finance needed 74
raise the following issues 431
raise the following matter 292
raise the following points 274
raise the general levels 85
raise the general morale 80
raise the general opinion 66
raise the general public 278
raise the general status 102
raise the gravest doubts 123
raise the greatest amount 144
raise the greatest number 172
raise the greatest weight 250
raise the inquiry whether 152
raise the kinetic energy 127
raise the largest amount 154
raise the largest issues 40
raise the largest number 86
raise the loudest outcry 48
raise the maximum amount 340
raise the maximum hourly 49
raise the maximum number 311
raise the mercury column 75
raise the minimum amount 155
raise the minimum drinking 160
raise the minimum hourly 53
raise the minimum income 62
raise the minimum number 60
raise the minimum pension 113
raise the minimum salary 158
raise the minimum school 63
raise the national banner 60
raise the national credit 65
raise the national income 1681
raise the national morale 68
raise the national output 88
raise the national spirit 98
raise the nominal prices 54
raise the organic matter 75
raise the overall status 46
raise the overall volume 62
raise the private sector 75
raise the problem whether 216
raise the question afresh 47
raise the question before 350
raise the question openly 54
raise the question partly 42
