racial balance through busing 89
rains because diapers will 71
raise capital through debt 138
raise colored forces along 58
raise himself without help 40
raise national income from 51
ranking congress leaders were 47
rapid average annual rate 45
rapid calcium release from 50
rapid gastric emptying time 64
rapid increase changed their 93
rapid journey through gaul 130
rapid transit system from 73
rapid transit system were 71
rapid transit system will 189
rather acquire silent good 164
rather attempt something great 62
rather hastily walked away 53
rather pathetic letter from 68
rather quickly turned into 48
rather recalls something like 44
rather stretch upward like 76
rather strongly marked lips 41
reader rapidly through some 47
really differs little from 57
really divides itself into 86
really doubted whether there 48
really enjoyed spending time 257
really matters around here 47
really matters little from 48
really matters little what 230
really peaceable indians have 60
really promising fellow like 42
really question without ceasing 48
really resolve itself into 120
really started something when 57
really trusted anyone else 40
reared several broods there 61
reason becomes obvious when 130
reason several authors have 42
rebel against english rule 71
rebel against french rule 42
rebel battery opened fire 136
region against attack from 45
region differs greatly from 56
region differs little from 70
region differs widely from 40
region extends farther into 52
region extends further into 72
renal failure occurs only 51
renal failure occurs when 142
renal failure result from 63
renal failure should also 56
renal failure should have 97
renal failure suffer from 61
renal failure unless there 59
renal failure varies from 44
renal function changes during 108
renal function should also 88
renal function should have 99
renal tubular damage from 188
renal tubules become less 43
repeat certain actions over 42
reveal material changes from 153
rider problem arises when 103
rider problem occurs when 200
ridge extending upward from 60
right against anyone else 42
right against coerced self 133
right against someone else 90
right ascending lumbar vein 728
right auricle passes into 70
right carotid arises from 71
right eyeball viewed from 55
right frontal lesions were 52
right gastric artery from 55
right hepatic artery from 235
right inferior thyroid vein 172
right lateral pelvic wall 95
right lateral strike slip 186
right pavilion catching fire 76
riper decades without losing 53
rises against another tree 49
rival european powers were 80
rival parties placed their 46
river divided itself into 313
river divides itself into 495
river emptied itself into 234
river empties itself from 102
river empties itself into 1091
river expands itself into 63
river systems draining into 178
river systems emptying into 65
river valleys draining into 43
roads towards corinth were 40
roaring torrent almost knee 46
robed scholar should meet 86
rocking steadily onward like 74
rocky heights around were 78
ropes wrapped around their 41
rough passage around cape 45
round crippling effect upon 94
round jackets pretty well 71
round mankind should look 45
round numbers something over 46
round outdoor swimming pool 43
round painted jaguar till 56
route between kansas city 110
route between mexico city 191
royal dignity itself been 51
royal letters patent from 63
royal letters patent were 207
royal treasury should have 55
rules governing appeals from 303
rules governing family life 127
rules governing speech acts 100
running between mexico city 82
running circles around their 54
running errands around town 193
running footmen scudding along 48
running herself ragged trying 57
running himself ragged trying 52
rural economy became more 125
rural orpheus played over 62
rural schools should have 95
rural society became more 112
rural teachers should have 43
rushing torrent sweeping along 145
