rag which would rend 72
ram which coins nothing 40
ram whose horns were 62
ran about fifty feet 94
ran about forty feet 42
ran about thirty feet 92
ran alive apace from 47
ran eight miles down 89
ran fifty yards away 60
ran fifty yards from 45
ran fresh water into 53
rang alarm bells among 43
ran nearly every step 57
ran right smack into 240
ran seven times back 56
ran stark naked into 45
ran twice daily from 42
ran until after dark 51
ran within fifty feet 148
rap music blaring from 83
rat brain tumor cell 67
rat liver after single 59
rat liver cells during 115
rat liver cells have 101
rat liver cells were 269
rat liver fatty acid 457
raw glowing stump were 49
raw hides below what 114
raw smile which some 50
raw water taken from 82
ray films often show 103
ray films taken during 167
ray tubes which have 45
ray which comes from 198
ray which falls upon 174
read about anything else 115
read about anything like 96
read about cases like 80
read about marco polo 67
read about never push 96
read about people from 57
read about people having 67
read about people like 475
read about robin hood 95
read about stuff like 99
read about women like 199
read aloud every week 44
read aloud every word 227
read aloud while riding 46
read anything about their 57
read anything about these 61
read anything about what 153
read anything apart from 115
read anything quite like 378
read books about boys 125
read books about great 183
read books about life 103
read books about love 50
read books about other 256
read books about south 41
read books about their 257
read books about these 138
read books about what 114
read books about your 94
read books which have 209
read books which were 418
read books which will 173
read comic books during 42
read comic books like 45
read comic books when 51
read every comic book 45
read every issue from 147
read every morning from 147
read every seven years 96
read false meanings into 53
read forty times over 236
read games people play 41
read nearly every book 595
read nearly every word 110
read quite apart from 48
read quite easily from 40
read seven times over 48
read twice every week 148
read until closing time 51
read until every word 41
read where jesus said 71
read which seems even 63
read words which were 93
real action would have 70
real action would take 71
real author might have 51
real beauty comes from 108
real change comes from 124
real change comes when 40
real change could come 53
real change could only 84
real change could take 71
real change takes time 77
real change which took 44
real change would come 119
real change would have 94
real change would take 43
real danger arising from 110
real danger arose from 91
real danger comes from 528
real danger comes when 219
real danger which must 73
real danger would come 274
real danger would have 66
real doubt about their 75
real doubt about what 227
real earnings would have 52
real event which took 60
real event would have 58
real facts about their 79
real facts about these 96
real facts about what 127
real facts which have 57
real facts would have 129
real father could have 74
real father might have 79
real father would have 194
real force which made 45
real growth comes from 56
