radiations on nucleic acids 71
railways in central china 63
railways in european russia 100
railways in private hands 130
rainfall at certain times 110
rainfall in ancient times 54
rainfall in certain parts 85
rainfall in northern china 70
rainfall is between about 54
rainfall is reduced still 59
rainfall or surface water 109
rainfall to produce crops 150
rainfall to support crops 70
rainfall to support farming 89
rainfall to support trees 47
randomly to receive either 346
ransacking the british state 41
ransomed of jehovah shall 420
rapidity of climate change 60
rapidity of decision which 128
rapidity of western growth 42
ratified by congress until 119
ratified the amended treaty 57
ratified the european social 142
ratified the following april 59
ratified the marriage treaty 107
ratified the spanish treaty 41
ratified the uruguay round 154
rationale of nervous sleep 172
readiness of certain people 83
readiness of missile bases 79
readiness to advance money 72
readiness to believe anything 203
readiness to believe every 63
readiness to discuss terms 145
readiness to embrace change 109
readiness to embrace every 78
readiness to exchange views 105
readiness to explain every 45
readiness to forgive others 155
readiness to forgive which 215
readiness to perform tasks 97
readiness to receive cargo 90
readiness to receive either 108
readiness to receive every 60
readiness to respond which 45
readiness to support either 317
readiness to support every 49
readiness to suspect others 70
readiness to undergo change 82
reaffirming the central holding 605
reaffirming the position taken 75
reaffirms the position taken 78
realities of african women 95
realities of british power 144
realities of chinese social 44
realities of climate change 86
realities of colonial power 119
realities of european power 267
realities of everything which 186
realities of foreign trade 109
realities of imperial power 152
realities of material power 49
realities of national power 79
realities of regional power 95
realities of unequal power 48
reappeared an instant later 97
reappeared the following morning 45
rearranged in ascending order 195
rearranged in decreasing order 57
rearranged in increasing order 70
rearranged in reverse order 40
rearranged the pillows under 48
reassures the patient about 49
reawakening of science under 131
rebellion in central luzon 122
rebellion in ireland broke 140
rebellion in ireland which 120
rebellion in ireland would 69
rebellion in several parts 66
rebellion in southern china 89
rebellion in southern italy 66
rebellion in southern sudan 215
rebellion is brought about 42
rebellion or invasion comes 219
rebuilding of carlton house 132
rebuilding of chicago after 192
rebuilding of germany after 71
rebuilding of hampton court 66
rebuilding the country after 232
rebuilding the economy after 57
rebuilding the postwar world 50
rebutted in certain cases 55
recalled an episode which 65
recalled in correct order 64
recalled in reverse order 87
recalled my wandering brain 58
recalled the ancient glory 44
recalled the ancient roman 40
recalled the attacking party 40
recalled the consent which 58
recalled the following about 90
recalled the following lines 55
recalled the following scene 51
recalled the following story 110
recalled the following words 60
recalled the license which 51
recalled the pleasant hours 53
recalled the previous evening 167
recalled the previous night 208
recalled the stories about 68
recalled the stories which 43
recalled the thousand sweet 50
recalled to restore order 90
receipts in respect thereof 579
received an academy award 8590
received an account sales 44
received an account which 61
received an addition which 107
received an address which 46
received an affront which 46
received an answering smile 40
received an approving smile 88
received an article about 55
received an average bonus 54
received an average daily 423
received an average grade 233
received an average grant 51
received an average gross 57
received an average price 446
received an average score 565
received an average total 194
received an average yearly 60
received an elegant rifle 42
received an elegant sword 46
received an embassy which 49
received an endless stream 116
received an eternal adieu 40
received an evasive reply 509
received an eviction order 50
received an excited phone 110
received an express order 360
received an honored place 44
received an immense boost 83
received an imperial edict 201
received an imperial order 359
received an impetus after 138
received an impetus under 103
received an impetus which 507
received an impress which 48
received an impulse which 473
received an increase which 53
received an increasing share 273
received an inquiry about 279
received an instant reply 121
received an insulting reply 63
received an invoice dated 155
received an obscene phone 149
received an official offer 54
received an official order 321
received an official paper 47
received an official reply 281
received an official stamp 77
received an official title 96
received an official visit 339
received an official warning 313
received an ominous warning 65
received an overall grade 171
received an overall score 123
received an unusual phone 78
received an unusual share 60
received as capital gains 80
received as current money 253
received at british hands 47
