realized only through participation 63
receded from public consciousness 128
receive more serious consideration 221
receive most serious consideration 69
receive much greater consideration 50
receive some further consideration 53
receive some special consideration 158
receive very little consideration 126
receive very little precipitation 110
receive very serious consideration 202
receive your earnest consideration 79
receive your serious consideration 72
receiving more serious consideration 101
recording some little imperfections 61
recover their former independence 48
recover their senses sufficiently 44
reduced their number considerably 71
reflect more recent developments 172
refrain from active interference 96
refrain from active participation 820
refrain from direct communication 105
refrain from direct interference 241
refrain from direct participation 212
refrain from further consideration 89
refrain from further interference 415
refrain from further investigation 98
refrain from further participation 274
refrain from laughing disdainfully 40
refrain from sexual relationships 139
regional farm supply cooperatives 168
rejecting ideas without consideration 72
rejecting some person particularly 49
related some strange circumstance 135
released from unjust imprisonment 83
releases from nuclear installations 130
relishing those divine performances 108
removal will induce subservience 47
removed from active participation 352
removed from actual participation 40
removed from direct communication 40
removed from direct participation 159
removed from further consideration 1259
removed from further participation 73
removed from future consideration 49
removed from normal governmental 116
removed from public consciousness 51
removed from serious consideration 75
renewed their former acquaintance 40
reports from various laboratories 99
reports have clearly demonstrated 75
require even higher temperatures 75
require high summer temperatures 47
require more active participation 144
require more serious consideration 95
require much further investigation 267
require much higher concentration 42
require much higher temperatures 331
require only slight modifications 128
require some active participation 57
require some further clarification 84
require some further consideration 220
require some further investigation 220
require some further justification 47
require some slight modifications 65
require some special consideration 247
require their active participation 109
require very little consideration 50
require very serious consideration 162
require very special consideration 85
require your active participation 83
requiring more serious consideration 42
requiring such divine interposition 67
requiring their active participation 55
rescind their earlier ratifications 72
research from various perspectives 41
research have clearly demonstrated 98
resolve their sexual difficulties 47
respect their mutual independence 150
resulting from active participation 45
resulting from double fertilization 124
resulting from enzyme deficiencies 57
resulting from expert investigation 328
resulting from german reunification 41
resulting from greater productivity 72
resulting from higher productivity 170
resulting from higher temperatures 107
resulting from market imperfections 65
resulting from modern biotechnology 342
resulting from partial decomposition 52
resulting from partial specialization 49
resulting from pelvic inflammatory 68
resulting from public improvements 85
resulting from recent developments 74
resulting from school desegregation 41
resulting from thermal decomposition 97
resulting from thermal equilibration 61
resulting from various disturbances 45
results from active participation 48
results from direct contamination 42
results from various laboratories 574
results have already demonstrated 56
results have clearly demonstrated 165
results have little significance 92
results have proved satisfactory 143
results have varied considerably 163
results need further investigation 43
results were almost instantaneous 92
results were almost unbelievable 92
results were always satisfactory 46
results were fairly satisfactory 212
results were further corroborated 74
results were further substantiated 78
results were hardly commensurate 63
results were hardly satisfactory 77
results were highly reproducible 114
results were highly satisfactory 840
results were rarely satisfactory 44
results were seldom satisfactory 56
results were widely disseminated 83
resumed their former independence 41
retains some little consideration 73
retired from active participation 5649
retired from public performances 58
retires from active participation 230
returning from german universities 43
revealed some striking similarities 71
reviews some recent developments 218
