railways a small space 41
ratified a treaty which 168
ravished a white woman 61
ravishes a white woman 58
readiness a deadly weapon 75
reappeared a short while 63
recalled a dozen times 59
recalled a meeting where 45
recalled a story about 478
recalled a story which 85
recalled a white house 64
recalled a worry about 47
received a blank check 93
received a blank stare 199
received a block grant 117
received a bonus based 123
received a bonus check 226
received a bonus equal 94
received a boost after 257
received a boost since 43
received a boost under 63
received a brief period 42
received a brief phone 42
received a brief reply 284
received a brief shock 68
received a brief visit 128
received a brown paper 45
received a cable about 63
received a cable stating 117
received a cable telling 454
received a cable which 153
received a check after 44
received a check drawn 157
received a check every 74
received a check which 439
received a chest wound 161
received a civic crown 80
received a civic trust 173
received a civil reply 90
received a claim check 52
received a coded cable 98
received a court order 652
received a crown grant 233
received a cruel shock 85
received a cruel wound 179
received a daily paper 56
received a daily ration 599
received a daily visit 55
received a damping check 70
received a deadly thrust 130
received a deadly wound 962
received a dozen blows 41
received a dozen calls 97
received a dozen roses 93
received a facial wound 48
received a failing grade 1879
received a false alarm 120
received a farthing wages 45
received a fatal arrow 56
received a fatal check 219
received a fatal shock 448
received a fatal thrust 64
received a fatal wound 2191
received a final check 102
received a final grade 166
received a final order 115
received a final visit 79
received a final warning 152
received a first award 74
received a first class 741
received a first draft 54
received a first grade 110
received a first place 149
received a first prize 525
received a first visit 101
received a first warning 55
received a fixed daily 146
received a fixed grant 44
received a fixed price 148
received a fixed share 145
received a fixed yearly 41
received a flesh wound 2821
received a fresh batch 77
received a fresh boost 109
received a fresh check 47
received a fresh grant 87
received a fresh lance 179
received a fresh order 151
received a fresh proof 71
received a fresh shock 174
received a fresh start 199
received a fresh title 47
received a fresh wound 50
received a grade above 58
received a grade below 189
received a grade lower 181
received a grand prize 207
received a grand total 790
received a grant under 282
received a grant which 174
received a green light 1178
received a growing share 100
received a harsh reply 58
received a healthy share 59
received a hearty cheer 110
received a hearty round 188
received a hearty shake 101
received a joint grant 47
received a kingdom which 171
received a knife thrust 40
received a knife wound 498
received a lance thrust 146
received a lance wound 316
