rag of christian clothing 50
ran an editorial about 217
ran an editorial calling 144
ran an editorial headed 149
ran an editorial stating 72
ran an editorial under 126
ran an editorial which 252
ran an electric razor 74
ran an excursion train 66
ran an internet search 52
ran at breakneck speed 262
ran at constant speed 42
rang on saturday morning 47
rang the doorbell again 1403
rang the doorbell twice 467
rang the doorbell until 51
rang the doorbell while 99
ran in breathless haste 248
ran in mountain waves 104
ran in parallel lines 1075
ran in straight lines 456
ran on electric power 49
ran on parallel lines 1121
ran the beautiful river 95
ran the blockade under 40
ran the business after 55
ran the business alone 121
ran the business under 43
ran the business until 437
ran the business while 128
ran the colorado river 75
ran the complete gamut 46
ran the constant danger 41
ran the electric razor 51
ran the emotional gamut 66
ran the fanciful story 50
ran the gauntlet again 40
ran the hardware store 320
ran the operation until 54
ran the publishing house 65
ran the washington bureau 44
ran to eighteen pages 51
ran to fourteen pages 84
ran up enormous bills 122
ran up enormous debts 175
rat to diphtheria toxin 47
rat to electric shock 48
raw or finished goods 144
raw or finished state 95
raw or finished water 183
raw or prepared opium 221
raw or uncooked foods 129
raw or uncooked state 132
raw or untreated water 41
ray of brilliant light 321
ray of celestial beauty 43
ray of celestial light 753
ray of cervical spine 319
ray of cheerful light 57
ray of christian light 225
ray of daylight which 44
ray of divinity which 60
ray of electric light 328
ray of historic light 376
ray of incident light 353
ray of ordinary light 1764
ray of ordinary white 42
ray of personal feeling 58
ray of sunlight after 58
ray of sunlight breaking 105
ray of sunlight breaks 149
ray of sunlight broke 235
ray of sunlight burst 57
ray of sunlight comes 77
ray of sunlight could 327
ray of sunlight crept 50
ray of sunlight falling 360
ray of sunlight falls 322
ray of sunlight found 62
ray of sunlight makes 41
ray of sunlight never 61
ray of sunlight passing 160
ray of sunlight shining 326
ray of sunlight shone 412
ray of sunlight stole 94
ray of sunlight which 801
ray of sunlight would 211
ray of sunshine about 66
ray of sunshine after 195
ray of sunshine breaking 218
ray of sunshine breaks 194
ray of sunshine broke 363
ray of sunshine burst 62
ray of sunshine comes 124
ray of sunshine could 274
ray of sunshine crept 100
ray of sunshine dancing 84
