raced back upstairs to 141
races have occupied the 113
races have remained in 45
races more advanced in 43
races most affected by 89
races must therefore be 47
races were admitted to 56
races were advanced in 94
races were attended by 65
races were believed to 77
races were confined to 56
races were destined to 180
races were employed in 49
races were entitled to 45
races were expected to 68
races were followed by 96
races were included in 153
races were involved in 84
races were regarded as 308
races were required to 75
races were struggling to 76
races were supposed to 135
races will continue to 212
races will probably be 40
racial riots occurred in 65
racks were designed to 42
radial arms attached to 84
radial line connecting the 78
radial load capacity of 63
radial wave functions in 324
radial wave functions is 44
radial wave functions of 518
radios were switched on 55
rafts were composed of 44
raged more fiercely in 74
raged most fiercely in 266
raged most furiously in 96
raged most severely in 53
raged most violently in 210
raged over questions of 62
raids have resulted in 58
raids were confined to 120
raids were designed to 228
raids were directed at 140
raids were followed by 245
raids were frequent in 44
raids were intended to 158
raids were launched by 83
raids were launched in 240
raids were launched on 177
raids were recorded in 52
raids were replaced by 48
raids were reported in 71
raids were supposed to 69
rails laid parallel to 50
rails made entirely of 79
rails were advanced so 41
rails were attached to 60
rails were extended to 60
rails were fastened by 40
rails were fastened to 111
rails were produced in 89
rails were replaced by 177
rails were softened to 145
rains from december to 311
rains from february to 106
rains from november to 273
rains have combined to 57
rains have rendered the 140
rains have resulted in 45
rains have softened the 318
rains having rendered the 118
rains soon rendered the 41
rains were expected to 85
rains were followed by 259
rainy from november to 50
raise five children in 50
raise five children on 96
raise four children in 55
raise four children on 88
raise hard currency to 45
raise here concerns the 66
raise many eyebrows in 48
raise many problems in 73
raise many problems of 364
raise many questions as 377
raise many questions in 656
raise many questions of 731
raise many questions to 64
raise many thousands of 78
raise more children to 40
raise more problems of 42
raise more questions as 42
raise more questions in 180
raise more questions of 119
raise more revenues to 44
raise much interest in 182
raise much objection to 100
raise only questions of 128
raise other problems of 52
raise other questions as 153
raise other questions in 46
raise other questions of 97
raise some commotion in 56
raise some eyebrows in 128
raise some hundreds of 57
raise some interest in 52
raise some monument of 75
raise some monument to 41
raise some objection to 170
raise some problems in 92
raise some problems of 301
raise some questions as 1061
raise some questions at 43
raise some questions in 899
raise some questions of 324
raise some questions on 138
raise some questions to 102
raise some suspicion in 65
raise some suspicion of 74
raise some thousands of 57
raise such outcries on 69
raise such problems as 105
raise such questions as 4266
raise such questions at 107
raise such questions in 454
raise such questions is 383
raise such questions of 49
raise such questions on 41
raise such supplies as 58
raise their capacity to 153
raise their children as 6324
raise their children at 298
raise their children by 420
raise their children if 94
raise their children in 7496
raise their children is 199
raise their children on 505
raise their children or 221
raise their children so 352
raise their children the 348
raise their children to 3150
raise their concerns at 48
raise their concerns in 114
raise their concerns to 47
raise their condition by 54
raise their daughter in 50
raise their estimate of 156
raise their eyebrows as 161
raise their eyebrows at 1108
raise their eyebrows if 128
raise their eyebrows in 452
raise their eyebrows or 68
raise their eyebrows to 133
raise their families as 173
raise their families in 1377
raise their families on 201
raise their families to 101
raise their fortunes by 157
raise their fortunes on 181
raise their interest at 45
raise their interest in 128
raise their legations to 43
raise their prestige by 49
raise their prestige in 101
raise their revenues as 45
raise their revenues by 93
raise their revenues to 79
raise their salaries by 81
raise their salaries to 163
raise their standard in 65
raise their standard of 11049
raise their standard to 63
raise their supplies in 90
raise these children as 155
raise these children in 58
raise these children to 69
raise these concerns in 64
raise these elements of 44
raise these problems in 60
raise these questions as 194
raise these questions at 152
raise these questions in 1377
raise these questions is 1006
raise these questions of 102
raise these questions on 41
raise these questions to 232
raise these questions we 46
raise those children in 40
raise those questions in 50
raise three children by 49
raise three children in 95
raise three children on 163
raise your attention at 54
raise your attention to 54
raise your children as 440
raise your children if 114
raise your children in 695
raise your children is 47
raise your children on 49
raise your children or 61
raise your children so 95
raise your children the 138
raise your children to 547
raise your daughter to 57
raise your estimate of 75
raise your eyebrows as 171
raise your eyebrows at 174
raise your eyebrows in 133
raise your eyebrows or 93
raise your eyebrows to 45
raise your standard of 476
raise your tailbone an 63
raise your vibration to 70
raising five children in 98
raising five children on 104
raising four children by 44
raising four children in 259
raising four children of 45
raising four children on 133
raising many questions in 53
raising many questions of 41
raising many thousands of 73
raising only questions of 69
raising some questions as 108
raising some questions of 41
raising such questions as 1759
raising such questions at 120
raising such questions in 94
raising such questions is 119
raising such questions we 53
raising their capacity to 79
raising their children as 1762
raising their children at 106
raising their children by 376
raising their children if 40
raising their children in 2067
raising their children is 166
raising their children on 610
raising their children or 139
raising their children the 97
raising their children to 1102
raising their education to 77
raising their eyebrows as 83
raising their eyebrows at 195
raising their eyebrows in 98
