ram pushing westward and 63
ran about barefoot and 53
ran about chattering and 132
ran about parallel with 49
ran after painters and 59
ran nearly parallel for 53
ran nearly parallel with 505
ran right upstairs and 96
ran trade deficits with 64
rat after complete and 70
rat after treatment with 260
rat brain compared with 83
rat brain indicate that 105
rat brain messenger rna 52
rat cells infected with 106
rat hearts perfused with 229
rat lines selected for 172
rat liver indicate that 104
rat liver perfused with 273
rat median eminence and 114
raw sugar crystals are 56
raw water supplies and 74
raw water supplies are 42
ray burst direction was 63
ray phase analysis and 311
ray phase analysis was 252
ray tracing algorithm for 99
ray tubes designed for 189
read about buddhism and 48
read about children who 137
read about insanity and 44
read about nutrition and 63
read about politics and 86
read about somebody who 83
read about subjects that 93
read agatha christie and 121
read aloud fluently and 98
read aloud passages that 148
read aloud whenever she 88
read anything otherwise than 50
read books intended for 49
read daily headlines and 56
read draft chapters and 364
read every document and 42
read every document that 41
read every magazine and 65
read every sentence and 128
read greek fluently and 45
read latin fluently and 101
read looking backward and 93
read music fluently and 51
read short passages and 127
read trade journals and 314
real bills doctrine and 271
real bills doctrine has 47
real bills doctrine that 49
real bills doctrine was 178
real cause underlying his 47
real class struggle and 43
real danger threatened him 41
real event concerning this 51
real facts concerning his 40
real growth potential for 44
real human interest and 75
real human problems and 92
real human problems that 46
real issue involved was 72
real issue underlying this 91
real large burgundy pear 50
real money balances and 1822
real money balances are 878
real money balances can 156
real money balances does 41
real money balances for 183
real money balances has 86
real money balances may 60
real money balances per 227
real money balances than 69
real money balances that 480
real money balances was 132
real money balances with 137
real people struggling with 112
real power relations and 49
real power remained with 524
real price increases are 41
real price increases for 78
real prime minister for 43
real prime minister was 48
real reason probably being 40
real reason probably was 305
real social equality and 49
real social problems and 272
real social problems are 55
real social problems for 41
real social problems that 257
real social progress and 43
real social progress can 108
real social relations and 240
real social relations are 70
real social relations that 176
real social relations with 67
real social situation and 44
real space anywhere but 48
real terms adjusted for 48
real terms compared with 365
real value compared with 50
real wages adjusted for 69
real wages combined with 68
real wages compared with 87
real wages declined and 103
real wages declined for 52
real wages increased and 107
real wages suggests that 105
real where subjects and 51
real world consists not 53
real world decisions are 43
real world entities and 166
real world entities are 73
real world entities that 118
real world examples and 201
real world examples are 83
real world examples that 197
real world problems and 770
real world problems are 402
real world problems can 121
real world problems for 59
real world problems that 578
real world problems using 48
real world problems with 131
real world requires that 141
real world situation and 243
real world situation can 56
real world situation that 226
real world situation with 65
real world suggests that 176
rear large families and 48
rear shock absorber and 65
red brick chimneys and 57
red cells combined with 41
red cells compared with 117
red cells infected with 257
red cells produced are 48
red cells suggests that 40
red color develops and 62
red color persists for 42
red color produced with 77
red flags indicating that 139
red flush suffused his 55
red leather slippers with 43
red light district and 657
red light district for 103
red light district had 100
red light district near 113
red light district that 241
red light district was 413
red light district with 133
red light indicating that 226
red plush breeches and 103
red plush curtains and 126
red satin slippers and 43
red shift increases with 64
red stuff occupied one 93
ringing phone startled her 141
ringing phone startled him 57
rings which shackled them 83
rod outer segments and 481
rod outer segments are 327
rod outer segments has 61
rod outer segments that 43
rod outer segments was 79
rod outer segments with 78
rod which connects them 65
rod which connects with 54
row began struggling and 88
run about barefoot all 52
run about barefoot and 109
run about parallel with 52
run either parallel with 56
run joint ventures with 40
run large deficits and 68
run nearly parallel and 139
run nearly parallel for 100
run nearly parallel with 2360
run quite parallel with 55
run trade deficits and 127
run trade deficits with 118
