ear of allah each morning 72
ear or taste for music 51
ear to catch any sound 94
ear to drink her sweet 61
ear to which all might 77
eat it after our filthy 67
eat me shall yet hunger 83
eat my flesh and drink 4044
eat no flesh and drink 53
eat or carry out daily 49
eat or drink but water 106
eat or drink for about 156
eat or drink for eight 125
eat or drink for forty 44
eat or drink for hours 42
eat or drink that which 47
eat or sleep for thinking 166
eat or sleep for twice 75
eat or sleep for weeks 42
eat or sleep that night 44
eat the blood and hearts 45
eat the flesh and blood 186
eat the flesh and bones 129
eat the flesh and drink 4533
eat the flesh that night 141
eat the fruit and drink 64
eat the fruit that grows 43
eat the grass and drink 87
eat the grass that grows 76
eat the leaves and fruit 44
eat the leaves and roots 63
eat the leaves and stems 295
eat the leaves and twigs 83
eat the roots and leaves 93
eat the roots and seeds 41
eat the stems and leaves 72
eat the stuff they raise 212
eat the sweet and drink 46
em is worse than others 65
