eager for blood and plunder 136
early one morning and started 58
early that morning two brothers 76
early this morning and arrived 50
early this morning and brought 94
early this morning and crossed 40
early this morning and started 55
early this morning and stopped 95
early this morning had crossed 45
ebbs and flows with factual 92
edge all round was covered 67
edge and drive his purpose 59
eggs and bacon and potatoes 44
eggs and bacon and sausage 77
eggs and larvae are carried 81
eggs and larvae are pelagic 109
eggs and sperm are released 432
eggs are large and contain 45
eggs are taken and pickled 55
eggs are white with reddish 48
eggs that hatch and develop 41
else can yield net produce 43
else for which men cherish 92
else for which thou wouldst 187
else than ships and voyages 135
else they would not survive 50
else was sleep and silence 57
else who wants singing lessons 85
ends for which our country 71
ends for which this country 59
even death could not conquer 94
even death could not destroy 100
even for yours than success 57
even god could not forgive 49
even god could not imagine 64
even his father had allowed 41
even his sense for natural 105
even his vices for virtues 84
even now civil and refined 78
even now grown too familiar 151
even now makes its victims 107
even now shows its effects 70
even now thrill our artless 50
even now would not herself 66
even our women are warriors 199
even she could not believe 113
even she could not control 86
even she could not explain 72
even she could not imagine 47
even she could not prevent 64
even ten wives and upwards 64
even that could not compare 50
even that could not prevent 98
even that which she herself 81
even that which was endured 184
even that would not account 66
even that would not explain 51
even that would not prevent 45
even that would not satisfy 77
even that would not suffice 143
even they could not believe 51
even they could not control 49
even they could not explain 63
even they could not foresee 62
even they could not imagine 43
even they could not prevent 69
even they waged war against 46
even this could not prevent 174
even this could not satisfy 63
even this would not exhaust 49
even this would not explain 61
even this would not justify 48
even this would not prevent 43
even this would not provide 50
even this would not satisfy 104
even this would not suffice 281
even thus remit his freedom 55
even with doors and windows 54
even with force and violence 59
even with scorn and disdain 168
even you would not believe 42
ever any fleet was brought 43
ever any horse had harpoon 63
ever being fully and equally 110
ever had under his command 222
ever had within its borders 58
ever her honor and service 47
ever his father had trodden 57
ever you found any pleasure 40
evil are names that signify 173
evil was every day increasing 63
eyes and could not believe 195
eyes and could see everything 59
eyes and leaned her forehead 190
eyes and leaned his forehead 120
eyes and relax his muscles 46
eyes and right arm flashed 41
eyes and rubbing his forehead 49
eyes and touch with patient 42
eyes and voice and gesture 113
eyes are black and sparkling 68
eyes are fixed and dilated 44
eyes for about ten minutes 63
eyes for about ten seconds 41
eyes for about two minutes 62
eyes had given him trouble 116
eyes she could see herself 44
