earliest and the longest has 53
economy and the belief that 52
economy and the changes that 175
economy and the demand for 428
economy and the desire for 99
economy and the family are 62
economy and the forces that 129
economy and the market are 46
economy and the market for 79
economy and the nature and 60
economy and the polity and 82
economy and the polity are 203
economy and the reasons for 102
economy and the result was 56
economy and to ensure that 392
economy and to reduce its 82
economy can be worked out 41
economy may be better off 65
economy may be greater than 48
economy that is called for 52
economy was in crisis and 109
economy with an income tax 43
economy with the result that 459
edifice than to fasten them 78
editions both in england and 171
editors and the authors are 88
editors and the authors for 50
educate both the prince and 80
educate both the public and 282
educate them in virtue and 40
educating both the public and 136
effects and the purity and 146
effects and the reasons for 60
effects and to ensure that 186
effects and to report them 70
effects are in accord with 97
effects are no greater than 81
effects are of course not 49
effects are so common that 49
effects are so marked that 177
effects are so obvious that 50
effects are so serious that 122
effects are so severe that 265
effects are so slight that 203
effects are so subtle and 43
effects are so subtle that 92
effects both in nature and 73
effects both of nature and 42
effects can be created and 44
effects can be created using 317
effects can be created with 830
effects can be greater than 46
effects can be serious and 94
effects can be severe and 146
effects can be sorted out 58
effects can be subtle and 49
effects can be treated with 177
effects can be worked out 207
effects for the design and 100
effects may be greater for 51
effects may be greater than 206
effects may be larger than 60
effects may be looked for 186
effects may be partly due 87
effects may be serious and 68
effects may be severe and 89
effects may be subtle and 138
effects may be treated with 74
effects may be useful for 44
effects may be worked out 42
effects out of france and 78
effects than the former had 63
effects that the artist can 40
effects was so tempting that 91
effects with the result that 189
efforts and the reasons for 43
efforts and the result was 50
efforts and to ensure that 250
efforts are no better than 42
efforts are of little use 42
efforts both in public and 48
efforts for the common weal 201
efforts for the public weal 234
efforts for the relief and 43
efforts that the church was 41
efforts was the belief that 106
efforts with the result that 299
egotism and the desire for 48
elastic and the demand for 122
elastic than the demand for 2079
elderly man of decent but 64
elderly than in younger age 131
elected for the second year 103
elected for the wisest men 70
elected not to comply with 71
elected not to pursue this 46
elected not to remain with 54
election and the result was 44
election for the county and 122
election for the senate seat 57
election for the vacant seat 46
election may be called for 54
election was an exciting one 139
election was in effect for 109
election was the signal for 284
election with the result that 161
elegant way to handle this 43
element and the second one 40
element for the creation and 45
element may be greater than 52
element that is greater than 171
element that is larger than 117
element that is needed for 55
element was the belief that 105
element with the result that 94
ellipse and the circle are 58
embracing all the armies and 50
embryos can be frozen and 101
