eclipsed his elder rival altogether 40
economic and social change associated 47
economic and social change throughout 44
economic and social class interests 44
economic and social class structure 68
economic and social costs associated 212
economic and social needs satisfied 70
economic and social power structure 73
education that women would influence 76
emphasis that since every industrial 68
evidence was found which indicated 51
exercise his power under subsection 110
exercise this power within themselves 78
exercising his power under subsection 176
expansion has taken place primarily 48
