earlier is a prime example 51
edited by a noted scholar 43
edition is a major revision 150
edition of a brief history 119
edition of a greek classic 46
edition of a latin classic 121
edition of a short history 156
editor of a daily journal 132
editor of a labor journal 52
editor of a libel against 64
editor of a local journal 81
editor of a major journal 117
editor of a major national 67
editor of a newly founded 99
editor of a paper devoted 104
editor of a paper printed 48
editor of a roman catholic 109
editor of a small country 56
editor of a small journal 43
editor of a trade journal 284
effect in a given patient 93
effect is a large increase 63
effect is a linear function 77
effect is a major problem 49
effect is a rapid increase 41
effect is a small increase 58
effect is a strong function 64
effect of a brisk assault 56
effect of a court decision 100
effect of a cross between 60
effect of a delay between 44
effect of a dummy variable 172
effect of a final decision 53
effect of a fixed exchange 47
effect of a force applied 197
effect of a force depends 255
effect of a given current 109
effect of a given decision 55
effect of a given element 55
effect of a given increase 349
effect of a given mutation 105
effect of a given program 44
effect of a given project 45
effect of a given sensory 40
effect of a given variable 318
effect of a given variation 49
effect of a greek tragedy 79
effect of a growth hormone 53
effect of a joint venture 43
effect of a lagging current 43
effect of a large increase 174
effect of a large variety 53
effect of a lunar rainbow 56
effect of a motion picture 189
effect of a nerve impulse 85
effect of a plain message 40
effect of a point mutation 60
effect of a price decline 187
effect of a price decrease 124
effect of a price increase 797
effect of a price support 51
effect of a rapid increase 69
effect of a rough surface 70
effect of a sharp increase 70
effect of a short circuit 198
effect of a small addition 87
effect of a small increase 284
effect of a small variation 121
effect of a smooth surface 41
effect of a social program 70
effect of a social support 57
effect of a social variable 73
effect of a solar eclipse 117
effect of a solid surface 64
effect of a state statute 84
effect of a steady current 53
effect of a stone dropped 80
effect of a strong current 178
effect of a strong solution 72
effect of a token economy 108
effect of a total eclipse 66
effect of a trade deficit 42
effect of a voice outside 48
effect on a fungus culture 75
effect on a large segment 48
effect on a local economy 40
effect to a treaty between 71
effect to a treaty entered 50
effort be a fixed function 45
effort in a sally against 70
elated by a total victory 81
embark on a broad program 64
embark on a crash program 390
embark on a joint project 47
embark on a joint venture 151
embark on a major program 96
embark on a major project 98
embark on a solid worldly 81
emblem of a people sweetly 63
embryo of a given species 67
emerge as a fully fledged 134
emerge as a major concern 86
emerge as a major problem 257
emerge as a major regional 74
emerge as a social problem 68
emerge as a truly national 73
emerge in a later chapter 67
emerging as a major concern 123
emerging as a major problem 186
emerging as a major regional 57
emotion as a joint function 58
energy at a given instant 133
energy at a given location 45
energy in a given material 48
energy in a hunting society 125
energy in a light quantum 42
energy is a linear function 292
energy is a point function 65
energy is a small fraction 120
energy is a smooth function 53
energy is a state function 586
energy is a strong function 61
energy of a fluid element 99
energy of a light quantum 852
energy of a linear elastic 48
energy of a nerve impulse 89
energy of a rigid diatomic 53
energy of a solid solution 133
energy of a solid surface 50
energy of a state depends 89
engaged as a civil engineer 171
engaged in a brisk exchange 40
