effecting revolution 119 effects preferred 95
efforts consensus 114 efforts negotiated 814
efforts permanent 82 efforts political 309
efforts reasonable 53 efforts knowledge 149
efforts political 41 efforts commercial 72
efforts community 54 efforts consensus 51
efforts framework 71 efforts political 71
efforts practical 68 efforts strategic 56
efforts theoretical 82 efforts universal 60
efforts knowledge 57 efforts confession 47
efforts communist 94 efforts repetition 40
efforts purchaser 72 efforts practical 54
efforts negotiated 139 efforts political 68
efforts framework 54 efforts theoretical 67
election statement 282 employs sentiment 41
enabled competent 65 enabled knowledge 124
enabled compliance 50 enabled tolerable 86
enabled pretended 68 endeavor premature 108
entered defendant 97 example president 114
