effective pressure from their political 59
effective vaccines have been developed 182
empirical equations have been developed 334
empirical equations have been suggested 81
empirical evidence from many countries 40
empirical evidence from other countries 69
empirical formulas have been developed 212
empirical formulas have been suggested 55
empirical relations have been developed 105
empirical relations have been suggested 40
encounter assaults from very different 62
especially addressing those poor innocents 57
evaluation materials have been validated 60
excellent articles have been published 74
excellent programs have been developed 46
