waked bemoaned 49 walks solitary 81
walls beautiful 54 walls cabinets 54
walls hundreds 83 walls mahogany 41
walls pictures 212 walls soldiers 69
walls polished 43 waste tortures 75
waste aircraft 46 wasting atrocious 69
watch outspread 77 watch children 162
water cisterns 312 waxed powerful 114
weaken strengthen 66 weigh benefits 42
weigh benefits 56 where ladyship 59
where involved 41 where involved 40
where employed 65 where employed 110
where involved 197 where villages 68
where children 112 where employed 168
where revisions 59 where involved 49
where employed 51 where services 67
where strangers 67 where employed 78
where children 111 where involved 105
where laughter 95 where purchase 45
where children 62 where promptly 147
where incurred 46 where chattels 51
where services 57 where situated 252
where children 182 where maintain 45
where property 59 where concealed 60
where invested 42 where mentioned 43
where recorded 68 where copiously 58
where cultural 41 where children 639
where families 177 where children 260
where possibly 212 where abundant 81
where numerous 86 where services 52
where produced 43 where produced 156
where expected 48 where involved 67
where educated 43 where employed 45
where parallel 84 where industry 127
which purposes 51 which purposes 40
which downfall 157 which splendid 80
which righteous 185 which attention 48
which immediate 198 which personal 330
which treatment 53 which personal 57
which category 54 which province 66
which expected 71 which received 52
which relevant 49 which category 388
which province 71 which category 101
which heartless 71 which councils 58
which children 205 which holidays 70
which remained 117 which inception 58
which progress 94 which scarcely 97
which persuade 56 which standard 97
which category 378 which province 42
which coverage 58 which province 76
which category 298 which personal 113
which province 76 which reverend 49
which obtained 75 which direction 66
which produced 73 which direction 190
which interest 98 which direction 41
which industry 53 which commonly 81
which attached 49 which elegance 86
which military 46 which opposite 68
which afforded 172 which received 99
which survived 42 which children 72
which economic 53 which hundreds 43
which thousands 48 which approach 40
which direction 113 which remained 63
which oblations 41 which enforced 55
which generous 55 which parallel 49
which possible 50 which continue 104
which composed 42 which proposed 44
which restored 69 which proposed 49
which branches 53 which cellular 119
which involved 44 which services 54
which allergic 145 which ignorant 47
which inclined 66 which involved 116
which identify 51 which children 166
which employed 83 which foremost 275
which foremost 109 which services 43
which services 100 which employed 50
which ignorant 86 which inclined 75
which identify 68 which economic 41
which employed 64 which attention 143
which attention 272 which complete 78
which foremost 60 which attention 128
which practice 59 which children 61
which services 42 which affected 100
which attached 41 which involved 125
which supposed 63 which entirely 89
which compared 51 which military 73
which embarked 44 which chattels 345
which situated 112 which assessed 53
which services 62 which probably 89
which allergic 223 which inclined 45
which prepared 41 which consider 51
which involved 88 which children 60
which invested 54 which incurred 177
which occurred 154 which received 74
which chattels 62 which services 90
which commonly 296 which intended 72
which normally 64 which produced 60
which intended 46 which situated 555
which enforced 50 which acquired 135
which assessed 107 which produced 42
which probably 52 which glittering 72
which suffered 45 which religious 52
which recently 70 which caterers 89
which produced 89 which bequeathed 43
which invested 124 which expended 68
which unbarred 208 which security 48
which fortunes 125 which property 214
which affected 90 which embedded 178
which governed 74 which prolonged 86
which employed 42 which invested 95
which appended 55 which attached 162
which inserted 53 which mentioned 135
which recorded 80 which referred 103
which regarded 57 which composed 81
which observed 95 which authority 54
which balanced 44 which imbedded 52
which industry 63 which cultural 40
which economic 135 which sufferings 55
which composed 42 which children 472
which families 53 which children 159
which possibly 375 which combined 48
which ascribed 87 which permeated 79
which produced 90 which composed 48
which produced 80 which benefits 61
which incurred 119 which obtained 44
which recorded 57 which invested 70
which achieved 435 which attained 96
which services 364 which produced 107
which composed 113 which referred 53
which situated 72 which intended 56
which otherwise 60 which situated 96
which supposed 106 which designed 43
which intended 71 which combined 98
which employed 48 which involved 107
which repaired 55 which suffered 93
which composed 93 which situated 54
which enforced 95 which symptoms 57
which cultural 41 which commonly 83
which employed 246 which intended 48
which produced 121 which situated 99
which destined 51 which combined 63
which children 56 which borrowed 44
which combined 41 which commonly 114
which composed 102 which employed 137
which intended 78 which composed 48
which situated 40 which required 51
which governed 98 which expended 43
which achieved 97 which services 124
which produced 70 which composed 57
which commonly 166 which employed 48
which produced 42 which supplied 67
which suspicion 45 which expected 85
which materials 40 which applause 57
which agreeable 112 which flattering 42
which friendly 79 which handsome 79
which occupied 95 which operated 57
which approval 72 which included 58
which moderate 88 which borrowed 143
which foremost 220 which received 86
which believed 97 which handsome 43
which numerous 48 which powerful 48
which cellular 52 which expected 41
which occupied 41 which operated 434
which vigorous 121 which delicate 41
which economic 49 which produced 94
which muscular 83 which authority 51
which direction 74 which immediate 265
which personal 58 which vivacity 53
which enormous 94 which glittering 48
which children 178 which expansion 58
which interest 47 which probably 73
which disappear 181 which attention 465
which expenses 42 which possible 99
which maintain 73 which attention 50
which attention 914 which purposes 73
which purposes 62 which purposes 114
which purposes 90 which province 72
which problems 188 which problems 51
which direction 42 which extinguish 99
which employed 42 which expected 127
which involved 154 which prepared 94
which supposed 59 which initiated 119
which attached 44 which probably 45
which kindness 50 which inspires 99
while indulged 65 while catherine 40
while children 57 while services 47
while provided 303 while chattels 449
while upstairs 220 while supplied 74
while judgment 54 while economic 43
while children 1532 while families 167
while pregnant 48 while children 861
white platelet 236 white indicate 44
white hardened 40 whole weariness 43
whole laughter 67 whole trembled 60
whole laughter 86 whole pressingly 94
whole supposed 49 whole breakfast 45
whose nicholas 41 whose presence 85
whose orgasmic 123 whose expected 53
whose kindness 40 whose fidelity 43
whose judgment 57 whose elegance 43
whose furrowed 99 whose muscular 71
whose articles 58 whose fidelity 177
whose vertical 95 whose numbered 56
whose languages 40 whose perished 49
wills dictated 123 wines portugal 142
withal majestic 49 within canister 63
within deposits 135 within district 60
within families 76 within cultural 426
within economic 115 within physical 76
within outlined 105 within reserved 136
within distance 69 within security 86
wives delivery 82 woman delivery 105
woman approval 56 woman destined 69
women answered 51 women delivery 266
women minority 82 women achieved 40
women children 44 women tortured 91
women foremost 320 women daughter 68
women agreeable 53 women children 48
women murdered 253 women sexually 43
women tortured 48 women executed 40
women publishing 116 women flattery 68
words improper 41 words courteous 43
words ordinary 52 working notified 67
works citations 46 works chapters 77
works prepared 74 works produced 42
world survived 46 world christian 48
world villains 57 world darkness 60
world children 77 world business 409
world contriving 59 world daughter 43
world interest 96 worry situation 53
worry business 332 would purposes 70
would purposes 64 would disappear 42
would converse 61 would property 48
would straggling 43 would category 90
would category 481 would category 211
would provision 117 would shoulder 100
would category 40 would category 628
would exception 70 would standard 98
would category 80 would category 584
would exception 65 would standard 62
would yourself 44 would diminish 123
would suffered 101 would obtained 43
would europeans 41 would opponent 42
would required 122 would children 61
would patience 92 would laughter 86
would attention 115 would attention 85
would consider 97 would tiresome 65
would presence 47 would situation 43
would beautiful 53 would situation 46
would breakfast 58 would complete 83
would entrance 89 would approval 249
would critique 47 would daughter 199
would examples 240 would spoonful 42
would complete 73 would whatever 55
would despised 55 would southward 60
would anywhere 510 would anywhere 796
would whatever 45 would anywhere 170
would anywhere 551 would innocent 79
would daughter 57 would interest 44
would problems 52 would authority 82
would followed 53 would abridged 113
would interest 53 would outright 75
would economic 52 would highland 81
would anywhere 47 would possible 47
would interest 74 would ordinary 40
would seriously 50 would straight 100
would anywhere 55 would directly 91
would prisoner 207 would seriously 141
would straight 243 would companion 55
would daughter 69 would directly 83
would seriously 120 would children 122
would happened 43 would expected 41
would industry 44 would foremost 113
would children 121 would daughter 99
would children 110 would daughter 57
would interest 114 would yourself 56
would problems 57 would affection 113
would authority 53 would argument 43
would admission 59 would mischief 177
would ordinary 182 would remember 87
would seriously 249 would expected 179
would children 48 would children 46
would tomorrow 89 would possibly 69
would dragoons 92 would returned 63
would received 44 would returned 78
would catiline 88 would direction 75
write describe 48 writing articles 43
wronging blossoms 406 wrongs suffered 66
wrote articles 653 wrote treatises 86
wrote children 149 wrote maturely 41
