wagons see 152 waited was 68
waited had 52 waited had 123
waited had 41 waited and 55
waited had 53 waited had 56
waived was 69 waiver due 59
walked and 45 wanted and 68
wanted that 108 wanted them 51
warmly for 112 warren for 42
warrior who 132 waters and 210
waters are 186 waters that 148
waters and 72 waters are 54
waters and 997 weapons for 93
weapons and 53 weekly and 74
weekly for 89 weekly and 100
weekly and 45 weight year 44
weight for 114 weight for 45
weight with 75 weight and 83
whereas are 60 whereas with 53
whether with 53 whether and 104
whether and 163 whether for 67
whether act 67 whether and 171
whilst too 41 whipping with 53
whoever with 123 whoever this 52
whoever them 245 widely and 62
widely with 596 widest that 69
window sun 40 winter with 54
wisdom with 254 wisdom for 91
wisely had 45 wished his 43
wishes and 52 without them 81
without them 69 without him 286
without with 52 without and 50
without bear 43 without and 41
without and 51 without and 58
without any 114 without that 109
without for 112 without that 958
without with 182 without and 76
without and 204 without all 48
without that 53 without that 521
without that 96 without that 111
without and 60 without with 49
without that 90 without for 146
without and 58 without bit 99
without and 45 without and 41
without that 61 without that 326
without that 477 without for 248
without was 43 without thus 116
without how 43 without and 68
without key 46 without with 207
without who 87 without any 145
without and 517 without with 106
without this 56 without with 135
without that 1398 without that 189
without with 55 without with 123
without new 51 without its 50
without any 58 without them 56
without with 98 without any 46
without him 57 without that 48
without her 123 without that 66
without bit 43 without fear 92
without for 91 without its 48
without with 54 without can 48
without can 67 without can 57
without can 303 without can 147
without can 99 without can 82
without can 67 without can 51
without can 40 without can 97
without can 75 without can 82
without had 69 without can 43
without can 56 without was 41
without can 86 without with 68
wonder for 143 worked that 1936
worked that 108 worked that 130
wrists had 71 writer that 166
writer that 153 writer that 43
writer that 47 writes that 93
writes that 51 wrongly that 108
