wags fellow 64 wait before 62
wait master 53 walk attire 59
walk elysian 70 want charge 114
warm family 44 wars inland 79
wars states 81 wars states 50
wars barons 136 wars nations 55
wars powers 415 wars powers 53
wave before 45 waving seemed 66
ways nature 86 ways various 103
ways wishes 54 ways already 83
wealth source 65 wearing clothes 239
wearing height 89 wearing outfit 92
well honest 44 well lights 102
well weight 138 well school 76
well habits 163 well native 47
well object 72 well special 65
well tastes 47 well various 147
well choice 56 well serious 61
well abreast 174 well something 46
well beyond 83 well advice 113
well another 43 well expert 71
well around 43 well special 42
well through 60 well through 116
well better 54 well ladies 219
well person 281 well learner 41
well authors 44 well solved 343
well serious 42 well places 59
well places 105 well without 87
well gloomy 80 well horses 87
well limits 643 well without 118
well duties 79 well rivers 46
well streams 114 went except 130
went wishes 43 went lights 44
went course 69 went around 615
went around 200 went school 71
went window 56 went whence 97
were wisdom 99 were fellow 91
were become 71 were bought 67
were broken 96 were caused 264
were engaged 78 were failed 135
were forged 44 were formed 201
were helped 52 were joined 60
were killed 305 were robbed 108
were sought 41 were stolen 530
were turned 41 were worked 42
were treason 2326 were crimes 79
were crimes 42 were bribes 291
were belief 193 were demand 144
were desire 108 were opinion 44
were sounds 53 were states 120
were states 76 were groups 49
were nations 69 were states 82
were foster 108 were places 48
were states 104 were states 51
were states 82 were county 61
were extent 131 were manner 44
were strength 59 were africa 47
were leaders 145 were rights 106
were another 341 were guilty 62
were trunks 45 were seemed 56
were seemed 60 were agreed 100
were arisen 44 were become 99
were broken 129 were caused 242
were created 63 were engaged 241
were failed 110 were fallen 48
were formed 98 were joined 55
were killed 143 were passed 60
were played 99 were signed 54
were stolen 204 were worked 52
were amount 57 were rights 55
were through 121 were aboard 218
were ashore 121 were before 145
were closer 49 were inside 110
were through 203 were before 73
were slowly 241 were asleep 43
were behind 103 were freely 317
were through 240 were freely 52
were freely 158 were through 555
were advice 54 were coffee 53
were freely 87 were through 107
were without 146 were access 161
were another 44 were direct 67
were family 41 were raised 64
were sexual 92 were special 43
were voices 53 were weapons 57
