nap for fifteen minutes 51
near and distant cousins 214
near and distant friends 164
near and distant futures 293
near and distant islands 47
near and distant markets 203
near and distant objects 6186
near and distant scenery 43
near and distant sources 98
near and distant suburbs 122
near and distant targets 87
near and ennobling relation 71
near and equally distant 81
near and familiar friends 43
near and hastens quickly 47
near any country village 46
near but socially distant 61
near his imperial majesty 142
near his present location 115
near its anterior surface 59
near its concave surface 44
near its highest position 47
near its maximum density 170
near its present junction 41
near its present location 616
near its present position 948
near its southern borders 70
near its ventral surface 137
near one hundred british 117
near one hundred degrees 376
near one hundred dollars 190
near one hundred millions 252
near one hundred percent 514
near one hundred persons 241
near one hundred thousand 2017
near one thousand dollars 109
near one thousand persons 98
near one thousand sermons 259
near one thousand vessels 105
near our present borders 51
near our present position 147
near raw material sources 332
near six hundred persons 123
near six hundred thousand 742
near ten thousand dollars 145
near two hundred dollars 469
near two hundred members 41
near two hundred millions 259
near two hundred persons 336
near two hundred thousand 2770
near two hundred vessels 175
near two thousand dollars 250
near two thousand persons 287
near two thousand vessels 124
neat and elegant designs 45
neat and elegant language 53
neat and freshly painted 116
neat and orderly chamber 55
neat and orderly everything 41
neat and orderly himself 48
neat and orderly pattern 62
neat and orderly process 64
neat and pleasant village 83
neat and refined spirits 48
neat and rounded outline 62
neat and spacious edifice 187
net air quality benefit 191
net are brought together 95
net heat exchange between 182
new age wrought peaceably 45
new air defense systems 62
new air service between 48
new air traffic control 613
new and altered buildings 83
new and altered editions 60
new and altered grounds 44
new and antique jewelry 44
new and appalling addition 42
new and arduous position 51
new and beginning teachers 145
new and broader concept 168
new and broader context 94
new and broader markets 62
new and broader outlook 110
new and broader program 42
new and closely related 248
new and complex behavior 52
new and complex demands 89
new and complex machine 122
new and complex material 76
new and complex problem 150
new and complex process 68
new and complex society 51
new and complex subject 144
new and complex systems 77
new and confusing element 41
new and correct editions 61
new and creative efforts 51
new and creative element 52
new and creative solution 85
new and creative thoughts 59
new and current members 69
new and decided impulse 44
new and deepest problem 42
new and diseased relation 60
new and distant central 43
new and distant country 231
new and distant markets 163
new and distant sources 61
new and diverse markets 44
new and diverse sources 104
new and drastic measures 89
new and dynamic concept 86
new and dynamic culture 45
new and dynamic element 89
new and dynamic sectors 49
new and dynamic society 106
new and elegant buildings 209
new and elegant designs 45
new and elegant edifice 67
new and elegant plumage 90
new and elevating objects 61
new and exalted position 195
new and expanding country 98
new and expanding demands 47
new and expanding economy 52
new and expanding markets 595
new and expanding sectors 86
new and expanding sources 53
new and fertile country 296
new and foreign concept 59
new and foreign country 83
new and foreign culture 69
new and foreign dynasty 47
new and foreign element 248
new and foreign language 96
new and foreign religion 96
new and freshly painted 217
new and glorious chapter 436
new and glorious destiny 54
new and glorious heights 62
new and glorious history 48
new and gorgeous garment 194
new and gorgeous wonders 41
new and gracious miracle 103
new and grander edifice 40
new and happier chapter 148
new and happier society 69
new and harsher measures 46
new and hastily trained 43
new and heavenly religion 41
new and hitherto undreamt 80
new and hitherto unknown 5964
new and hitherto untried 575
new and hopeful beginning 89
new and hopeful chapter 49
new and hostile country 44
new and illegal pretext 87
new and increasing delight 105
new and increasing demands 334
new and increasing efforts 70
new and increasing sources 49
new and inspiring thoughts 74
new and intense emotions 94
new and largely unknown 270
new and largely untried 220
new and obscure princes 131
new and ominous element 54
new and onerous burdens 66
new and painful insects 44
new and peculiar beauties 121
new and peculiar climate 72
new and peculiar element 65
new and peculiar features 102
new and peculiar position 102
new and peculiar problem 97
new and peculiar process 60
new and peculiar relation 154
new and peculiar religion 40
new and peculiar species 497
new and perfect religion 49
new and perfect society 204
new and perhaps confusing 41
new and perhaps equally 86
new and perhaps foreign 45
new and perhaps hostile 44
new and perhaps radical 83
new and perhaps startling 53
new and perhaps superior 49
new and perhaps threatening 45
new and perhaps totally 128
new and perhaps untried 53
new and perhaps unusual 49
new and pleasant thoughts 98
new and popular dynasty 50
new and precious element 85
new and promising avenues 98
new and promising channel 42
new and promising chapter 46
new and promising concept 40
new and promising country 87
new and promising markets 113
new and promising project 45
new and promising research 131
new and promising variety 62
new and promising venture 41
new and promising writers 76
new and quickly expanding 46
new and radical concept 88
new and radical measures 82
new and radical service 42
new and radical solution 57
new and rapidly advancing 137
new and rapidly enlarging 53
new and rapidly expanding 2171
new and rapidly improving 66
new and rapidly increasing 396
new and reliable sources 41
new and renewed emotions 42
new and returning members 71
new and returning teachers 54
new and revised classes 53
new and revised courses 86
new and revised editions 493
new and revised entries 72
new and revised features 147
new and revised material 501
new and revised systems 51
new and seemingly endless 57
new and shorter channel 77
new and shorter passage 164
new and smaller parties 44
new and spacious avenues 56
new and spacious buildings 47
new and spacious edifice 109
new and startling concept 54
new and startling effects 172
new and startling element 47
new and startling features 68
new and startling opinions 62
new and startling position 65
new and startling question 49
new and startling results 64
new and stately buildings 67
new and stately edifice 46
new and stringent measures 60
new and stronger central 54
new and stronger efforts 66
new and stronger federal 47
new and stronger impetus 46
