napkins and fresh flowers 73
national and board schools 44
national and civic affairs 94
national and civil defense 56
national and civil society 55
national and class awakening 107
national and class enemies 132
national and class origins 109
national and ethnic borders 114
national and ethnic culture 93
national and ethnic divides 54
national and ethnic groupings 69
national and ethnic hatreds 41
national and ethnic loyalty 40
national and ethnic origins 510
national and ethnic tensions 141
national and first official 118
national and human dignity 147
national and human history 43
national and human justice 67
national and human welfare 45
national and inter national 146
national and large regional 204
national and local affairs 993
national and local agendas 106
national and local artists 93
national and local aspects 143
national and local budgets 372
national and local capital 45
national and local chapter 64
national and local concern 222
national and local context 291
national and local control 134
national and local culture 228
national and local customs 146
national and local dailies 64
national and local debates 100
national and local decision 266
national and local deities 98
national and local demands 54
national and local economy 506
national and local effects 43
national and local efforts 391
national and local elected 179
national and local election 206
national and local experts 94
national and local factors 346
national and local features 46
national and local figures 103
national and local finance 324
national and local governing 80
national and local history 580
national and local language 105
national and local library 65
national and local marketing 50
national and local markets 431
national and local matters 138
national and local measures 83
national and local medical 131
national and local museums 204
national and local network 41
national and local offices 400
national and local parties 273
national and local priority 66
national and local private 61
national and local problem 49
national and local program 143
national and local records 144
national and local reforms 46
national and local reports 43
national and local research 157
national and local revenue 158
national and local samples 74
national and local schemes 52
national and local schools 50
national and local service 121
national and local society 58
national and local sources 271
national and local spheres 105
national and local stations 116
national and local stories 83
national and local studies 284
national and local support 315
national and local surveys 519
national and local systems 340
national and local targets 122
national and local taxation 732
national and local tourism 73
national and local tourist 44
national and local welfare 151
national and major regional 76
national and moral renewal 58
national and party affairs 42
national and party history 42
national and racial borders 55
national and racial customs 73
national and racial destiny 66
national and racial factors 43
national and racial groupings 53
national and racial hatreds 184
national and racial history 48
national and racial origins 349
national and racial strains 72
national and racial tensions 46
national and seven regional 40
national and social affairs 151
national and social aspects 132
national and social awakening 53
national and social cohesion 104
national and social conduct 90
national and social content 54
national and social context 84
national and social customs 91
national and social demands 96
national and social economy 67
national and social factors 45
national and social freedom 493
national and social harmony 44
national and social history 119
national and social justice 132
national and social liberty 112
national and social origins 77
national and social problem 59
national and social purpose 47
national and social question 74
national and social revival 85
national and social service 144
national and social tensions 59
national and social upheaval 40
national and social welfare 109
national and state affairs 595
national and state agendas 55
national and state average 49
national and state borders 154
national and state budgets 187
national and state capital 93
national and state concern 95
national and state content 112
national and state control 154
national and state economy 123
national and state efforts 209
national and state elected 59
national and state election 98
national and state figures 103
national and state forests 958
national and state highway 226
national and state history 121
national and state judicial 59
national and state library 171
national and state matters 59
national and state measures 51
national and state medical 149
national and state offices 924
national and state parties 917
national and state program 54
national and state reports 287
national and state research 48
national and state revenue 95
national and state science 78
national and state sources 87
national and state spheres 47
national and state studies 111
