naively assumed that because 55
national affairs and foreign 562
national affairs and national 100
national affairs and private 74
national affairs are exactly 66
national ambient air quality 19341
national ambition and national 44
national apology for slavery 56
national average for african 68
national average for college 141
national average for private 80
national average for similar 87
national average for workers 82
national average with respect 71
national awakening and national 61
national beliefs and customs 47
national borders and between 77
national borders and involve 40
national borders and national 195
national borders and regional 40
national borders and require 51
national borders are crossed 93
national brothers and sisters 52
national capital and assumed 41
national capital and foreign 80
national capital and largest 72
national capital and national 143
national capital and revenue 47
national capital was located 124
national capital was removed 96
national centers for research 56
national cohesion and national 132
national cohesion and purpose 54
national comfort and national 58
national command and control 1165
national compact are violated 69
national concern and national 71
national conduct and economy 48
national congress are preparing 71
national control and national 61
national costume and manners 68
national council and national 65
national culture and becomes 47
national culture and customs 62
national culture and economy 300
national culture and history 580
national culture and ideology 110
national culture and increasing 59
national culture and language 1297
national culture and national 1201
national culture and religion 169
national culture and science 45
national culture and society 218
national culture and welfare 83
national customs and beliefs 49
national customs and culture 51
national customs and language 78
national customs and manners 252
national customs and national 113
national customs and religion 45
national dailies and sundays 189
national decline and national 49
national decline has arrived 83
national defense and civilian 66
national defense and defense 48
national defense and economy 102
national defense and foreign 2418
national defense and general 139
national defense and national 807
national defense and protect 78
national defense and related 335
national defense and science 712
national defense and seacoast 42
national defense and welfare 253
national dignity and freedom 64
national dignity and national 353
national dignity and respect 55
national discord and national 40
national economy and achieve 64
national economy and because 151
national economy and between 70
national economy and control 47
national economy and culture 2180
national economy and defense 214
national economy and develop 57
national economy and enhancing 45
national economy and federal 44
national economy and finance 342
national economy and foreign 305
national economy and general 104
national economy and improve 150
national economy and improving 128
national economy and increase 145
national economy and increasing 78
national economy and national 1063
national economy and private 49
national economy and promote 82
national economy and promoting 69
national economy and provide 132
national economy and providing 55
national economy and regional 82
national economy and science 276
national economy and society 2716
national economy and welfare 369
national economy are capable 71
national economy can develop 65
national economy can provide 41
national economy has brought 42
national economy has entered 46
national economy has shifted 43
national economy was beginning 68
national economy was brought 47
national economy was carried 51
national economy was divided 43
national economy was expanding 75
national economy was largely 52
national economy was rapidly 42
national economy was reduced 62
national economy was suffering 42
national economy with respect 45
national exports and imports 427
national finance and economy 115
national finance and foreign 50
national foreign and defense 46
national forests and federal 45
national forests and national 994
national forests and private 124
national forests are located 238
national forests are managed 277
national forests are subject 40
national freedom and justice 62
national freedom and liberty 49
national freedom and national 320
national gatherings for general 141
national history and culture 1240
national history and destiny 106
national history and language 73
national history and manners 65
national history and national 524
national history and popular 45
national history was written 56
national honesty and decency 86
national ideology and culture 49
national ideology and national 57
national imports and exports 319
national jealousy and aversion 57
national jealousy and national 57
national justice and national 96
national language and culture 1661
national language and customs 238
national language and history 117
national language and language 115
national language and national 477
national language and official 55
national language and primary 62
national language and regional 45
national language and religion 98
national language for official 44
national liberty and national 104
national liberty and religion 109
national library and national 89
national library was founded 71
national loyalty and national 95
national manners and customs 745
national manners and language 56
national manners and national 63
national markets and national 187
national marriage and divorce 157
national network and regional 51
national offices are located 46
national origins and religion 44
national outlook and national 56
national parties and national 163
national parties and regional 46
national parties and several 43
