nay they commanded the 135
near and addressed me 57
near and attempted to 111
near and available to 59
near and downstream of 68
near and important to 188
near and overlooking the 56
near and provident in 55
near and questioned me 53
near and sometimes at 40
near and surrounding the 114
near and whispered in 220
near and whispered to 141
near being compelled to 172
near being consigned to 47
near being destroyed by 225
near being entrapped in 173
near being overtaken by 43
near being surprised by 73
near being swallowed up 210
near each extremity of 199
near her apartment in 167
near her apartment on 113
near her birthplace in 65
near her residence in 62
near her stepmother is 109
near her throughout the 65
near him applauded the 41
near him represent the 53
near him throughout the 105
near his ancestors in 44
near his apartment in 176
near his apartment on 99
near his birthplace at 199
near his birthplace in 1395
near his birthplace of 363
near his birthplace on 83
near his plantation at 46
near his residence at 917
near his residence in 490
near his residence of 64
near his residence on 107
near its completion in 83
near its completion to 54
near its connection to 127
near its extremity by 48
near its extremity is 80
near its extremity to 62
near its headwaters in 194
near its headwaters to 91
near its opposition to 74
near one extremity of 1827
near our apartment in 88
near our broadside as 54
near our definition of 73
near our mountains the 48
near san francisco as 166
near san francisco at 104
near san francisco by 82
near san francisco in 1507
near san francisco is 345
near san francisco on 153
near san francisco or 209
near san francisco the 62
near san francisco to 300
near she committed the 54
near that justifies me 42
near that predicted by 55
near them fountains of 53
near this extremity of 62
near two centuries in 40
near two centuries of 261
near two centuries the 104
neat and commodious as 66
neat and desirable an 47
neat and efficient as 91
neat and efficient in 69
neat and methodical as 68
neat and methodical in 120
neat and organized as 208
neat and organized in 64
neat and soldierly in 41
net and preserved in 51
net area irrigated as 161
net area irrigated by 454
net area irrigated in 303
net area irrigated is 115
net area irrigated to 328
net heat delivered to 57
net sum available to 94
net tax advantage of 153
net tax advantage to 180
net that surrounds the 40
new act abolished the 65
new act authorized the 124
new act continued the 49
new act empowered the 78
new age dominated by 84
new age estimates of 57
new age structure of 59
new and abandoned to 51
new and additional to 66
new and admirable in 49
new and astonishing as 46
new and astonishing thing 46
new and astonishing to 340
new and beneficial to 47
new and bewildering to 92
new and captivating in 290
new and continues to 90
new and delivered as 72
new and desirable in 52
new and different as 726
new and different at 187
new and different by 112
new and different in 4818
new and different is 965
new and different it 67
new and different on 287
new and different or 191
new and different the 90
new and different thing 299
new and different to 1878
new and difficult in 54
new and difficult thing 54
new and difficult to 565
new and effective in 58
new and especially the 69
new and excellent in 57
new and expensive as 49
new and expensive to 58
new and fascinating in 77
new and fascinating to 394
new and frightening to 208
new and important as 161
new and important in 817
new and important is 261
new and important thing 95
new and important to 787
new and incapable of 119
new and interesting as 271
new and interesting at 100
new and interesting in 800
new and interesting is 238
new and interesting on 107
new and interesting or 41
new and interesting thing 106
new and interesting to 3295
new and inventive in 65
new and irregular in 78
new and marvelous to 65
new and monstrous to 118
new and mysterious to 180
new and noteworthy in 59
new and persecuting is 60
new and practical in 53
new and reflected the 64
new and represent the 89
new and repugnant to 47
new and stimulating in 82
new and stimulating to 157
new and thoroughly up 60
new and uncertain in 53
new and undecided as 85
new and unfamiliar as 237
new and unfamiliar in 289
new and unfamiliar is 186
new and unfamiliar or 43
new and unfamiliar thing 70
new and unfamiliar to 1732
new and unpleasant to 43
new and unrelated to 198
new and untouched as 53
new and untouched by 76
new and victorious foe 60
new and wonderful as 315
new and wonderful in 245
new and wonderful is 89
new and wonderful the 50
new and wonderful thing 568
new and wonderful to 1278
new and worthwhile in 51
new and worthwhile to 98
new art movements in 89
new art movements of 75
new car dealership in 95
new car delivered to 46
new car purchased by 66
new car purchases by 48
new car purchases in 98
new day succeeded to 229
new earth described by 41
new earth described in 69
new era commenced in 501
new era commences in 333
new era dominated by 289
new era throughout the 41
new had developed in 59
new has developed in 86
new hiv infections by 116
new hiv infections in 1188
new hiv infections is 103
new idea conceived by 50
new idea developed by 77
new idea developed in 48
new idea presented by 89
new idea presented in 56
new idea presented to 146
new idea suggested by 78
new job consisted of 75
new job scheduled to 45
new joy displayed in 40
new law abolished the 260
new law abolishes the 56
new law attempted to 149
new law authorized the 374
new law authorizes the 182
new law broadened the 65
new law confirmed the 48
new law contained no 46
new law continued the 73
new law continued to 73
new law continues the 73
new law continues to 75
new law empowered the 133
new law endeavored to 51
new law maintains the 74
new law permitted the 253
new law prohibiting the 214
new law prohibits the 128
new law protected the 50
new law reflected the 87
new law reorganizing the 52
new law restricting the 118
new law restricts the 42
new law sponsored by 43
new law strengthens the 44
new law untethered to 53
new men appointed by 59
new men appointed in 40
