narrative unfolds through a 49
navigation systems employ a 129
necessary because without a 55
necessary towards securing a 87
negligent conduct created a 72
newspaper article quoted a 73
newspaper cartoon showed a 100
newspaper wrapped around a 65
nineteenth century almost a 68
nineteenth century around a 70
nineteenth century became a 1127
nineteenth century become a 187
nineteenth century before a 129
nineteenth century called a 84
nineteenth century caused a 361
nineteenth century created a 1439
nineteenth century forced a 51
nineteenth century formed a 249
nineteenth century gained a 54
nineteenth century hardly a 68
nineteenth century lacked a 68
nineteenth century marked a 980
nineteenth century needed a 75
nineteenth century offers a 212
nineteenth century onward a 58
nineteenth century opened a 107
nineteenth century placed a 121
nineteenth century played a 667
nineteenth century proved a 144
nineteenth century reached a 180
nineteenth century reveals a 285
nineteenth century seemed a 56
nineteenth century shared a 109
nineteenth century showed a 420
nineteenth century sought a 62
nineteenth century through a 444
nineteenth century toward a 136
nineteenth century without a 274
numerical results showed a 47
