naively reduced to vacuity 102
nameable quality of painter 47
narrowing towards the horizon 44
narrows between the islands 48
narwhal sighted the abraham 59
nascent science of ecology 45
national ability to produce 54
national academy of letters 108
national academy of science 374
national account is managed 71
national affairs in general 113
national aspects of judaism 69
national average in respect 81
national average of between 59
national average of persons 47
national average of roughly 41
national average of seventy 41
national average of workers 49
national awakening in germany 63
national balance of payment 90
national because of distant 82
national borders to include 51
national capital at brasilia 46
national capital in foreign 47
national capital is located 105
national capital of brasilia 99
national capital of jakarta 55
national capital to increase 63
national centers of decision 47
national compact is violated 223
national congress in january 87
national congress in october 92
national congress of soviets 236
national congress of workers 120
national congress to discuss 45
national consent to taxation 41
national contact on national 63
national control of foreign 383
national control of national 100
national control of natural 275
national control of schools 49
national council in germany 153
national council of bishops 114
national council of defense 87
national council of science 46
national council of teachers 334
national culture in general 483
national culture in relation 54
national culture is defined 58
national culture of malaysia 52
national culture or national 152
national defense by increasing 61
national defense in general 123
national defense or foreign 3276
national defense or national 254
national defense to protect 64
national destiny of america 42
national dignity in letters 97
national division by accepting 530
national economy as measured 81
national economy as regards 42
national economy at present 126
national economy by foreign 100
national economy by increasing 146
national economy by promoting 48
national economy by providing 186
national economy in balance 43
national economy in general 2374
national economy in question 108
national economy in relation 126
national economy in several 51
national economy is capable 52
national economy is carried 42
national economy is closely 65
national economy is divided 199
national economy is expanding 76
national economy is increasing 47
national economy is largely 77
national economy is managed 60
national economy is related 41
national economy is steadily 44
national economy is subject 50
national economy is suffering 44
national economy is usually 53
national economy of finland 60
national economy of germany 134
national economy of ukraine 147
national economy on foreign 149
national economy or culture 57
national economy or defense 43
national economy or national 94
national economy to achieve 161
national economy to advance 42
national economy to develop 175
national economy to foreign 172
national economy to function 121
national economy to increase 83
national economy to produce 86
national economy to promote 43
national economy to provide 103
national economy to support 67
national economy to sustain 44
national efforts to achieve 306
national efforts to address 147
national efforts to control 241
national efforts to develop 301
national efforts to educate 41
national efforts to enhance 47
national efforts to improve 549
national efforts to increase 240
national efforts to prevent 127
national efforts to promote 344
national efforts to protect 188
national efforts to provide 139
national election in january 56
national election in october 87
national election is usually 49
national election of october 47
national element in judaism 93
national expense in america 65
national forests as national 41
national forests be managed 93
national forests in arizona 161
national forests in florida 54
national forests in general 40
national forests in montana 136
national forests in northern 126
national forests in western 75
national forests of arizona 77
national forests of northern 74
national forests of western 78
national forests or national 124
national forests to protect 45
