near ultraviolet and infrared 136
net cultivated area decreased 46
net cultivated area increased 118
net greenhouse gas emissions 616
net horizontal and vertical 45
net investment for purposes 80
net investment was negative 197
net investment was positive 65
new acquisition lay directly 58
new activities and functions 107
new activities and materials 85
new activities and products 87
new activities and programs 166
new activities and projects 104
new activities and services 115
new activities are initiated 42
new adaptations are required 49
new antibiotics and vaccines 78
new applicants for admission 128
new applicants for positions 47
new application for admission 47
new application for approval 57
new application for benefits 81
new approaches and concepts 285
new approaches and insights 159
new approaches and materials 149
new approaches and policies 134
new approaches and programs 143
new approaches and solutions 422
new approaches are possible 62
new approaches are proposed 76
new approaches are required 518
new approaches for addressing 77
new approaches for delivering 52
new approaches for developing 55
new approaches for evaluating 50
new approaches for preventing 49
new approaches for treatment 83
new arrangement for yourself 50
new arrangement was designed 82
new arrangement was effected 74
new arrangement was intended 96
new arrangement was proposed 71
new arrangement was required 46
new arrangement was therefore 44
new aspirations and ambitions 58
new aspirations and energies 56
new assessment and treatment 61
new assignment with enthusiasm 107
new associations and projects 71
new associations are composed 221
new bishoprics was contrary 68
new bitterness and repulsion 66
new boundaries and divisions 45
new businesses and business 91
new businesses and industry 79
new businesses and products 149
new businesses and services 108
new businesses are launched 68
new candidates for admission 108
new candidates for inclusion 61
new categories and concepts 173
new categories for analysis 50
new characters and episodes 61
new characters are inserted 137
new characters are produced 73
new commissions and agencies 44
new competition that requires 115
new components and materials 94
new compromise was rendered 53
new conceptual and linguistic 46
new conference was convened 52
new confidence and authority 86
new confidence and enthusiasm 99
new confidence and maturity 86
new confidence and optimism 81
new confidence and security 118
new confidence and vitality 46
new connections and alliances 45
new connections and contacts 42
new connections and insights 61
new connections and networks 45
new connections and relations 107
new corporation and remained 42
new corporation and transfer 53
new corrections and additions 57
new curriculum and pedagogy 73
new curriculum was designed 111
new declaration was required 45
new definitions and concepts 149
new definitions are required 40
new democratic and socialist 341
new department for education 76
new department was intended 42
new diplomatic and consular 49
new diplomatic and economic 96
new diplomatic and military 120
new discipline that combines 43
new discussions with deputies 48
new divinities and corrupting 42
new ecological and economic 97
new educational and cultural 249
new educational and economic 187
new educational and religious 72
new electrical and chemical 189
new electronic and computer 175
new employment and business 79
new employment and direction 135
new employment and economic 62
new engagements for delivering 75
new enterprise that audacity 43
new enterprise was destined 46
new enterprise was launched 88
new excitement and interest 50
new experience and challenge 42
new experience and openness 53
new experience and security 61
new experience and therefore 60
new experience for american 174
new experience for children 49
new experience for everyone 212
new experience for students 82
new experience she unfolded 43
new experiment was designed 91
new experiment was launched 47
new facilities and expanded 43
new facilities and expansion 79
new facilities and increased 43
new facilities and products 67
new facilities and programs 229
new facilities and services 491
new facilities are designed 78
new facilities are expected 64
new facilities are provided 74
new facilities are required 185
new facilities for education 61
new frameworks and languages 46
new fraternity and sorority 45
new friendship was cemented 51
new functionary our surprise 41
new generations are produced 57
new government and declared 45
new government and intended 53
new government and promised 52
new government for continuing 98
new government had accepted 47
new government had declared 45
new government had promised 94
new government had received 42
new government had scarcely 80
new government has declared 90
new government has embarked 45
new government has promised 124
new government that followed 48
new government that included 130
new government that replaced 55
new government was accepted 198
new government was actually 70
new government was approved 95
new government was attempting 65
new government was composed 296
new government was declared 51
new government was designed 90
new government was entirely 51
new government was entitled 43
new government was expected 137
new government was formally 159
new government was initially 46
new government was launched 236
new government was prepared 205
new government was probably 46
new government was promptly 83
new government was received 113
new government was regarded 90
new government was required 82
new government was struggling 56
new government was supposed 45
new government was therefore 180
new government was threatened 41
new government was welcomed 48
new guidelines and policies 51
new guidelines for american 44
new guidelines for practice 44
new hemoglobin are provided 41
new historical and critical 87
new historical and cultural 343
new historical and economic 59
new historical and literary 82
new horizontal and vertical 213
new households and families 49
new identities and cultural 64
new ideological and artistic 47
new ideological and cultural 122
new ideological and economic 60
new immigrants and migrants 53
new immigrants and refugees 610
new immigrants are expected 44
new immigration and ethnicity 46
new implements and machines 114
new importance and authority 42
new importance and interest 71
new importance and prestige 52
new importance was attached 146
new impressions are received 69
new incentives for business 99
new incentives for increased 48
new indictment was obtained 58
new industries and business 114
new industries and commerce 157
new industries and developing 94
new industries and economic 125
new industries and expanded 149
new industries and expansion 271
new industries and improved 125
new industries and increased 104
new industries and products 385
new industries and provided 41
new industries and services 647
new industries are developing 99
new information and analysis 206
new information and behaviors 48
new information and computer 183
new information and concepts 416
new information and developing 54
new information and education 50
new information and evidence 119
new information and feedback 172
new information and improved 148
new information and insights 1221
new information and materials 88
new information and original 183
new information and personal 40
new information and practice 44
new information and problems 157
new information and processing 66
new information and products 55
new information and provides 50
new information and questions 43
new information and remember 46
new information and retrieve 52
new information and retrieving 61
new information and therefore 195
new information being provided 60
new information being received 56
new information for inclusion 76
new information had surfaced 46
new information has recently 107
new information has resulted 44
new information has surfaced 104
new information may indicate 55
new information not included 43
new information that confirms 61
new information that directly 53
new information that increases 106
new information that produces 45
new information that requires 111
new information that suggests 94
new information that supports 113
new information thus obtained 45
new information was acquired 101
new information was forthcoming 116
new information was obtained 687
new information was probably 40
new information was produced 41
new information was provided 173
new information was received 222
new initiatives and policies 68
new initiatives and programs 116
new initiatives and projects 105
new initiatives are proposed 43
new initiatives are required 138
new initiatives are underway 84
new innovations and products 59
new inspiration and direction 51
new inspiration and expansion 73
new inspiration and invention 56
new institution was designed 88
new institution was formally 56
new institution was intended 84
new institution was required 56
new instrument for clinical 94
new instrument for shortening 47
new instrument was designed 108
new investment and business 63
new investment and economic 149
new investment and expansion 126
new investment and increased 82
new investment and therefore 68
new investment for expansion 74
new investment was directed 55
new investment was financed 75
new investment was required 111
new laboratory and clinical 47
new legislation and guidance 55
new legislation and increased 193
new legislation and policies 218
new legislation and programs 83
new legislation are referred 51
