naive about communism or 266
naked field overlooking the 55
naked sword throughout the 144
named after alexander ii 64
named after alexander the 308
named after secretary of 305
named after varieties of 56
named chief architect of 83
named chief executive in 51
named chief executive of 201
named first president of 284
named first secretary of 745
named stood gallantly up 51
named under secretary of 207
named vicar apostolic in 96
named vicar apostolic of 276
named whose reputation is 110
names appear elsewhere in 177
names appear regularly in 125
names appear repeatedly in 134
names appear throughout the 220
names found throughout the 47
names known throughout the 124
names occur elsewhere in 49
names occur repeatedly in 57
names recur throughout the 50
names shine gloriously by 69
names still preserved in 51
names still preserved to 71
names still prominent in 95
names stood prominent as 50
names which contained the 64
names which designate the 511
names which distinguish the 86
names which expressed the 85
names which indicated the 106
names which reflected the 150
names which represent the 363
names which suggested the 49
names which terminate in 53
nation after centuries of 130
nation finds expression in 99
nation found expression in 118
nation found themselves in 72
nation makes reparation in 64
nation state continues to 148
nation still continued to 71
nation still dependent on 108
nation still subsisted in 46
nation takes possession of 529
nation under conditions of 77
nation under obligation to 79
nation which attempted to 111
nation which cherishes it 45
nation which commanded the 59
nation which conquered the 44
nation which consented to 66
nation which consisted of 44
nation which continued to 209
nation which continues to 143
nation which dominated the 46
nation which dominates the 148
nation which exercises it 46
nation which furnished the 43
nation which generates the 72
nation which inhabited the 91
nation which maintains no 48
nation which possessed the 185
nation which possesses an 87
nation which possesses it 130
nation which possesses no 112
nation which possesses the 430
nation which pretended to 62
nation which professes to 195
nation which purchases the 50
nation which submitted to 60
nation which succeeded in 76
nation which succeeded the 56
nation which supported the 40
nation which undertook to 43
nation whose character is 110
nation whose existence is 225
nation whose existence or 45
nation whose integrity is 58
nation whose interests he 58
nation whose population is 405
nation whose territory is 132
nation would certainly be 79
nation would doubtless be 44
nation would encourage it 81
nation would henceforth be 77
nation would naturally be 50
nation would recognize the 99
nation would specialize in 55
nation would undertake the 47
nation would undertake to 84
naval bases available to 47
naval bases throughout the 242
naval force assembled at 81
naval force assembled in 55
naval force attempted to 67
naval force available to 66
naval force commanded by 355
naval force competent to 167
naval force consisted of 1008
naval force furnished by 70
naval force necessary to 71
naval force possessed by 69
naval power available to 51
naval power continued to 68
naval power dominated the 74
naval power necessary to 127
naval power throughout the 158
nearby farming community of 53
